video_id,publish_date,passive_voice_count,relative_frequency_ipm,vvn_strings,preceding_strings
_7NksAcG_l8,20240714,5,4901.9607843137255,"taken, impacted, killed, taken, bombed","casualties, children, one, they, attack"
RDLZkqqOaLM,20240726,3,1515.9171298635674,"glued, set, supposed","stores, negotiations, That"
cSMPo4XCSYU,20231117,12,3538.779121203185,"prepared, released, hidden, confirmed, told, taken, taken, killed, killed, killed, found, butchered","that, footage, says, that's, north, 7th, she, people, Palestinians, that, that, that"
fhwhQhoKVhk,20231220,11,3378.378378378379,"made, killed, killed, killed, killed, circulated, circulated, suspended, believed, confirmed, called","that, Palestinians, civilians, grandkids, Palestinians, detainees, that, video, who, has, that"
QG9QSHEgX6E,20231107,11,4066.5434380776337,"described, killed, mentioned, mentioned, killed, displaced, killed, killed, restored, reconnected, noted","as, people, this, this, people, You', children, who, Communications, it, that"
l5pL2DhnjEE,20231121,8,3796.867584243,"killed, taken, taken, murdered, found, confined, released, rescued","family, members, they, mother, bodies, terror, hostages, one"
o0arAFe0WmE,20231103,16,5079.3650793650795,"left, taken, started, held, released, killed, released, released, born, murdered, kidnapped, managed, dismembered, injured, built, created","bear, they, there, who, sharit, hostage, who, they, she, daughter, to, gal, they, they, country, beings"
FYck1QG52I0,20231019,1,1049.3179433368311,agreed,shouldn't
xSgxVYaNfXg,20231120,12,5167.958656330749,"killed, heard, seen, fired, told, asked, taken, trapped, brought, reassured, shifted, brought","people, fighting, flares, sh, had, I, they, babies, babies, I, them, that"
7qxY2fjvGhE,20231027,2,1937.984496124031,"received, held","terror, who"
lH3jvaO1wXc,20240221,6,8064.516129032258,"killed, targeted, killed, held, accused, bombed","journalists, they've, journalists, had, Israel, have"
we2YBYfeL58,20231015,4,3868.4719535783365,"flattened, sent, held, caught","buildings, we, militants, military"
xjeZ0ot9I_Q,20240103,7,4281.345565749235,"killed, carried, known, told, planned, killed, killed","others, attack, uh, Parliament, that, that, who"
JwTjZs1kkzI,20231205,11,6037.321624588364,"told, driven, engaged, asked, released, bombed, bombed, pushed, bombed, killed, killed","gazin, population, they, uh, who, we, um, that, people, been, colleagues"
BIF4B4s1WWk,20240406,4,3536.6931918656055,"affected, displaced, permitted, banned","aid, we, that, we"
EEMrHbVn-x4,20231110,6,1479.2899408284022,"attacked, pushed, designated, injured, subjected, offered","forces, that, that, drivers, have, that"
