<	SYM	<
doc	NN	doc
>	SYM	>
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
This	DT	this
is	VBZ	be
CNN	NP	CNN
breaking	JJ	breaking
news	NN	news
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Okay	NP	Okay
,	,	,
happening	VVG	happen
right	RB	right
now	RB	now
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
National	JJ	national
security	NN	security
adviser	NN	adviser
Jake	NN	Jake
&	CC	&
nbsp	NN	nbsp
;	:	;
Sullivan	NP	Sullivan
is	VBZ	be
speaking	VVG	speak
at	IN	at
tel	NN	tel
aviv	NN	aviv
after	IN	after
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
meeting	NN	meeting
with	IN	with
Israeli	JJ	Israeli
leaders	NNS	leader
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
&	CC	&
nbsp	NN	nbsp
;	:	;
listen	VV	listen
in	IN	in
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
President	NP	President
Biden	NP	Biden
,	,	,
on	IN	on
his	PP$	his
[	SYM	[
3	CD	@card@
:	:	:
49	CD	@card@
:	:	:
03	NP	@card@
AM	NP	AM
]	SYM	]
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
President	NP	President
Biden	NP	Biden
,	,	,
on	IN	on
his	PP$	his
visit	NN	visit
on	IN	on
October	NP	October
18th	JJ	18th
&	CC	&
nbsp	JJ	nbsp
;	:	;
and	CC	and
our	PP$	our
message	NN	message
then	RB	then
is	VBZ	be
the	DT	the
same	JJ	same
as	IN	as
my	PP$	my
message	NN	message
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
today	NN	today
.	SENT	.
But	CC	but
just	RB	just
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
stands	VVZ	stand
with	IN	with
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
.	SENT	.
As	IN	as
president	NN	president
Biden	NP	Biden
has	VHZ	have
said	VVN	say
many	JJ	many
times	NNS	time
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
has	VHZ	have
a	DT	a
right	NN	right
,	,	,
indeed	RB	indeed
a	DT	a
duty	NN	duty
to	TO	to
defend	VV	defend
&	CC	&
nbsp	NN	nbsp
;	:	;
itself	PP	itself
against	IN	against
hamas	NN	hamas
.	SENT	.
A	DT	a
terrorist	JJ	terrorist
group	NN	group
that	IN/that	that
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
committed	VVN	commit
the	DT	the
worst	JJS	bad
massacre	NN	massacre
of	IN	of
the	DT	the
jewish	NN	jewish
&	CC	&
nbsp	NN	nbsp
;	:	;
people	NNS	people
since	IN	since
the	DT	the
holocaust	NN	holocaust
.	SENT	.
That	IN/that	that
used	VVN	use
and	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
sexual	JJ	sexual
violence	NN	violence
to	TO	to
terrorize	VV	terrorize
Israeli	JJ	Israeli
&	CC	&
nbsp	JJ	nbsp
;	:	;
women	NNS	woman
.	SENT	.
That	DT	that
continues	VVZ	continue
to	TO	to
hold	VV	hold
hostages	NNS	hostage
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
women	NNS	woman
,	,	,
the	DT	the
elderly	JJ	elderly
,	,	,
the	DT	the
sick	JJ	sick
,	,	,
the	DT	the
wounded	JJ	wounded
&	CC	&
nbsp	JJ	nbsp
;	:	;
and	CC	and
heightened	JJ	heightened
tunnels	NNS	tunnel
they	PP	they
purposely	RB	purposely
built	VVD	build
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
under	IN	under
infrastructure	NN	infrastructure
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
here	RB	here
today	NN	today
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
on	IN	on
president	NN	president
Biden	NP	Biden
'	POS	'
s	JJ	s
behalf	NN	behalf
to	TO	to
emphasize	VV	emphasize
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
our	PP$	our
continued	JJ	continued
commitment	NN	commitment
to	TO	to
support	VV	support
Israel	NP	Israel
&	CC	&
nbsp	NP	nbsp
;	:	;
in	IN	in
its	PP$	its
fight	NN	fight
against	IN	against
hamas	NNS	hamas
.	SENT	.
Yesterday	NN	yesterday
and	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
today	NN	today
I	PP	I
met	VVD	meet
with	IN	with
Israeli	JJ	Israeli
prime	JJ	prime
minister	NN	minister
&	CC	&
nbsp	NN	nbsp
;	:	;
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
war	NN	war
cabinet	NN	cabinet
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
president	NN	president
her	PP$	her
sock	NN	sock
and	CC	and
arrangement	NN	arrangement
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
senior	JJ	senior
officials	NNS	official
.	SENT	.
We	PP	we
discuss	VVP	discuss
the	DT	the
ongoing	JJ	ongoing
war	NN	war
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
military	JJ	military
operations	NNS	operation
and	CC	and
we	PP	we
discussed	VVD	discuss
our	PP$	our
&	CC	&
nbsp	NN	nbsp
;	:	;
shared	VVN	share
objective	NN	objective
of	IN	of
ensuring	VVG	ensure
the	DT	the
hamas	JJ	hamas
will	NN	will
[	SYM	[
3	CD	@card@
:	:	:
50	CD	@card@
:	:	:
03	NP	@card@
AM	NP	AM
]	SYM	]
of	IN	of
ensuring	VVG	ensure
the	DT	the
hamas	NN	hamas
will	MD	will
never	RB	never
again	RB	again
pose	VV	pose
a	DT	a
&	CC	&
nbsp	NN	nbsp
;	:	;
threat	NN	threat
to	TO	to
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
.	SENT	.
While	IN	while
minimizing	VVG	minimize
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
harm	VV	harm
to	TO	to
civilians	NNS	civilian
,	,	,
while	IN	while
ensuring	VVG	ensure
the	DT	the
increased	VVN	increase
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
sustained	JJ	sustained
flow	NN	flow
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
into	IN	into
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
gaza	NN	gaza
and	CC	and
while	IN	while
working	VVG	work
day	NN	day
in	IN	in
and	CC	and
day	NN	day
out	RB	out
,	,	,
hour	NN	hour
by	IN	by
&	CC	&
nbsp	NN	nbsp
;	:	;
hour	NN	hour
to	TO	to
secure	VV	secure
the	DT	the
release	NN	release
of	IN	of
all	DT	all
of	IN	of
the	DT	the
remaining	VVG	remain
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
hostages	NNS	hostage
so	RB	so
that	IN/that	that
they	PP	they
could	MD	could
return	VV	return
home	NN	home
to	TO	to
their	PP$	their
&	CC	&
nbsp	NN	nbsp
;	:	;
loved	VVN	love
ones	NNS	one
.	SENT	.
We	PP	we
consulted	VVD	consult
on	IN	on
a	DT	a
joint	JJ	joint
efforts	NNS	effort
with	IN	with
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
united	VVN	unite
nations	NNS	nation
,	,	,
with	IN	with
Egypt	NP	Egypt
,	,	,
and	CC	and
other	JJ	other
regional	JJ	regional
&	CC	&
nbsp	JJ	nbsp
;	:	;
partners	NNS	partner
to	TO	to
deliver	VV	deliver
the	DT	the
humanitarian	JJ	humanitarian
aid	NN	aid
.	SENT	.
We	PP	we
did	VVD	do
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
not	RB	not
do	VVP	do
a	DT	a
great	JJ	great
job	NN	job
of	IN	of
putting	VVG	put
the	DT	the
podium	NN	podium
sign	NN	sign
