Just	RB	just
to	TO	to
speak	VV	speak
to	TO	to
the	DT	the
significance	NN	significance
of	IN	of
what	WP	what
it	PP	it
means	VVZ	mean
here	RB	here
in	IN	in
Israel	NP	Israel
.	SENT	.
Everywhere	RB	everywhere
you	PP	you
go	VVP	go
,	,	,
you	PP	you
see	VVP	see
the	DT	the
fliers	NNS	flier
of	IN	of
these	DT	these
hostages	NNS	hostage
,	,	,
the	DT	the
ones	NNS	one
that	WDT	that
you	PP	you
see	VVP	see
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
and	CC	and
London	NP	London
and	CC	and
other	JJ	other
countries	NNS	country
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VV	see
there	RB	there
,	,	,
that	WDT	that
is	VBZ	be
the	DT	the
convoy	NN	convoy
.	SENT	.
We	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
who	WP	who
'	POS	'
s	NN	S
inside	IN	inside
this	DT	this
convoy	NN	convoy
,	,	,
but	CC	but
you	PP	you
can	MD	can
see	VV	see
,	,	,
John	NP	John
,	,	,
that	DT	that
convoy	NN	convoy
making	VVG	make
its	PP$	its
way	NN	way
through	IN	through
the	DT	the
Rafah	NP	Rafah
crossing	NN	crossing
that	WDT	that
is	VBZ	be
a	DT	a
crossing	NN	crossing
between	IN	between
Gaza	NP	Gaza
and	CC	and
Egypt	NP	Egypt
right	RB	right
now	RB	now
.	SENT	.
You	PP	you
can	MD	can
hear	VV	hear
cheers	NNS	cheer
and	CC	and
horns	NNS	horn
honking	VVG	honk
on	IN	on
again	RB	again
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
pictures	NNS	picture
right	RB	right
now	RB	now
from	IN	from
the	DT	the
Rafah	NP	Rafah
crossing	VVG	cross
of	IN	of
a	DT	a
convoy	NN	convoy
moving	VVG	move
through	RP	through
with	IN	with
beeping	VVG	beep
and	CC	and
honking	VVG	honk
at	IN	at
the	DT	the
Red	NP	Red
Cross	NP	Cross
convoy	NN	convoy
.	SENT	.
We	PP	we
cannot	MD	can
know	VV	know
for	IN	for
certain	JJ	certain
who	WP	who
is	VBZ	be
part	NN	part
of	IN	of
that	DT	that
convoy	NN	convoy
right	RB	right
now	RB	now
,	,	,
if	IN	if
the	DT	the
hostages	NNS	hostage
are	VBP	be
part	NN	part
of	IN	of
it	PP	it
.	SENT	.
But	CC	but
you	PP	you
did	VVD	do
hear	VV	hear
some	DT	some
honking	NN	honking
,	,	,
some	DT	some
celebration	NN	celebration
there	RB	there
.	SENT	.
Unclear	JJ	unclear
to	TO	to
me	PP	me
exactly	RB	exactly
where	WRB	where
that	DT	that
celebration	NN	celebration
would	MD	would
be	VB	be
coming	VVG	come
from	IN	from
if	IN	if
it	PP	it
was	VBD	be
the	DT	the
Red	NP	Red
Cross	NP	Cross
convoy	NN	convoy
carrying	VVG	carry
those	DT	those
hostages	NNS	hostage
.	SENT	.
But	CC	but
we	PP	we
are	VBP	be
seeing	VVG	see
that	DT	that
activity	NN	activity
at	IN	at
Rafah	NP	Rafah
right	RB	right
here	RB	here
,	,	,
which	WDT	which
will	MD	will
be	VB	be
a	DT	a
key	JJ	key
transit	NN	transit
point	NN	point
,	,	,
Katelyn	NP	Katelyn
,	,	,
for	IN	for
these	DT	these
hostages	NNS	hostage
as	IN	as
they	PP	they
