According	VVG	accord
to	TO	to
the	DT	the
AFP	NP	AFP
,	,	,
senior	JJ	senior
Israeli	JJ	Israeli
military	JJ	military
officials	NNS	official
have	VHP	have
said	VVN	say
aro	NP	Aro
two	CD	two
civilians	NNS	civilian
have	VHP	have
been	VBN	be
killed	VVN	kill
.	SENT	.
For	IN	for
every	DT	every
Hamas	JJ	Hamas
fighter	NN	fighter
that	IN/that	that
you	PP	you
have	VHP	have
successfully	RB	successfully
killed	VVN	kill
in	IN	in
the	DT	the
Gaza	NP	Gaza
So	IN	so
that	DT	that
'	''	'
s	NN	S
two	CD	two
civilians	NNS	civilian
for	IN	for
every	DT	every
terrorist	NN	terrorist
.	SENT	.
Can	MD	can
you	PP	you
confirm	VV	confirm
that	DT	that
?	SENT	?
I	PP	I
can	MD	can
confirm	VV	confirm
the	DT	the
reports	NNS	report
and	CC	and
I	PP	I
can	MD	can
say	VV	say
that	DT	that
if	IN	if
that	WDT	that
is	VBZ	be
tr	NN	tr
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
our	PP$	our
numbers	NNS	number
wil	NP	wil
be	VB	be
corroborated	VVN	corroborate
.	SENT	.
If	IN	if
you	PP	you
compare	VVP	compare
,	,	,
though	RB	though
,	,	,
that	DT	that
ratio	NN	ratio
to	TO	to
any	DT	any
other	JJ	other
conflict	NN	conflict
in	IN	in
urban	JJ	urban
t	NN	t
between	IN	between
a	DT	a
military	JJ	military
and	CC	and
a	DT	a
terrorist	JJ	terrorist
organized	JJ	organized
and	CC	and
using	VVG	use
civilians	NNS	civilian
as	IN	as
their	PP$	their
human	JJ	human
shield	NN	shield
and	CC	and
embedd	NN	embedd
in	IN	in
the	DT	the
civilian	JJ	civilian
population	NN	population
,	,	,
you	PP	you
will	MD	will
find	VV	find
that	IN/that	that
that	DT	that
ratio	NN	ratio
is	VBZ	be
tremendous	JJ	tremendous
,	,	,
tremendously	RB	tremendously
positive	JJ	positive
and	CC	and
perhaps	RB	perhaps
unique	JJ	unique
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
understand	VVP	understand
that	IN/that	that
there	EX	there
are	VBP	be
civilian	JJ	civilian
casualties	NNS	casualty
and	CC	and
understand	VV	understand
that	DT	that
footage	NN	footage
and	CC	and
coverage	NN	coverage
goes	VVZ	go
towards	IN	towards
emotions	NNS	emotion
and	CC	and
to	TO	to
to	TO	to
cover	VV	cover
those	DT	those
civilian	JJ	civilian
casualties	NNS	casualty
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
want	VVP	want
to	TO	to
say	VV	say
is	VBZ	be
that	IN/that	that
we	PP	we
will	MD	will
get	VV	get
those	DT	those
figure	NN	figure
and	CC	and
they	PP	they
will	MD	will
be	VB	be
official	JJ	official
and	CC	and
on	IN	on
record	NN	record
by	IN	by
the	DT	the
IDF	NP	IDF
with	IN	with
the	DT	the
name	NN	name
behind	IN	behind
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
say	VV	say
and	CC	and
to	TO	to
back	VV	back
up	RP	up
afterwards	RB	afterwards
with	IN	with
names	NNS	name
and	CC	and
numbers	NNS	number
that	IN/that	that
we	PP	we
are	VBP	be
indeed	RB	indeed
targeting	VVG	target
the	DT	the
terrorists	NNS	terrorist
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
after	IN	after
the	DT	the
civilians	NNS	civilian
and	CC	and
we	PP	we
are	VBP	be
going	VVG	go
into	IN	into
great	JJ	great
effo	NN	effo
in	IN	in
order	NN	order
to	TO	to
keep	VV	keep
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
it	PP	it
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
hard	JJ	hard
to	TO	to
comprehend	VV	comprehend
two	CD	two
for	IN	for
one	CD	one
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
say	VVP	say
you	PP	you
'	''	'
re	IN	re
going	VVG	go
to	TO	to
great	JJ	great
efforts	NNS	effort
,	,	,
Colonel	NP	Colonel
,	,	,
one	CD	one
of	IN	of
those	DT	those
efforts	NNS	effort
is	VBZ	be
those	DT	those
IDF	NP	IDF
directions	NNS	direction
,	,	,
which	WDT	which
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VV	know
when	WRB	when
you	PP	you
actually	RB	actually
plugged	VVD	plug
in	IN	in
,	,	,
but	CC	but
I	PP	I
had	VHD	have
shared	VVN	share
with	IN	with
anyone	NN	anyone
watching	VVG	watch
at	IN	at
the	DT	the
top	NN	top
of	IN	of
the	DT	the
show	NN	show
the	DT	the
directions	NNS	direction
for	IN	for
evacuation	NN	evacuation
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
So	RB	so
,	,	,
you	PP	you
know	VVP	know
,	,	,
there	EX	there
'	''	'
s	VVG	s
the	DT	the
QR	NP	QR
cod	NN	cod
And	CC	and
then	RB	then
if	IN	if
you	PP	you
click	VVP	click
on	IN	on
can	NN	can
'	POS	'
t	NN	t
r	NN	r
because	IN	because
there	EX	there
'	''	'
s	VVG	s
a	DT	a
blackout	NN	blackout
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
click	VV	click
on	IN	on
it	PP	it
and	CC	and
you	PP	you
were	VBD	be
to	TO	to
see	VV	see
where	WRB	where
to	TO	to
go	VV	go
in	IN	in
this	DT	this
urban	JJ	urban
area	NN	area
,	,	,
a	DT	a
tiny	JJ	tiny
little	JJ	little
parcels	NNS	parcel
block	NN	block
by	IN	by
block	NN	block
and	CC	and
numbers	NNS	number
,	,	,
I	PP	I
suppose	VVP	suppose
it	PP	it
'	''	'
s	NNS	s
hard	JJ	hard
to	TO	to
even	RB	even
read	VV	read
How	WRB	how
do	VVP	do
you	PP	you
really	RB	really
expect	VVP	expect
anybody	NN	anybody
to	TO	to
get	VV	get
that	IN/that	that
,	,	,
to	TO	to
click	VV	click
on	IN	on
it	PP	it
to	TO	to
see	VV	see
it	PP	it
,	,	,
which	WDT	which
they	PP	they
can	MD	can
'	''	'
t	NN	t
do	VVP	do
r	NN	r
now	RB	now
,	,	,
again	RB	again
,	,	,
because	IN	because
the	DT	the
blackout	NN	blackout
and	CC	and
then	RB	then
to	TO	to
follow	VV	follow
the	DT	the
direction	NN	direction
and	CC	and
to	TO	to
get	VV	get
somewhere	RB	somewhere
safely	RB	safely
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
is	VBZ	be
that	WDT	that
is	VBZ	be
that	IN/that	that
reasonab	NN	reasonab
And	CC	and
I	PP	I
think	VVP	think
,	,	,
Aaron	NP	Aaron
,	,	,
that	WDT	that
it	PP	it
may	MD	may
not	RB	not
be	VB	be
perfect	JJ	perfect
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
the	DT	the
best	JJS	good
thing	NN	thing
that	IN/that	that
we	PP	we
And	CC	and
the	DT	the
situation	NN	situation
is	VBZ	be
that	IN/that	that
for	IN	for
we	PP	we
we	PP	we
have	VHP	have
designated	VVN	designate
a	DT	a
humanitaria	NN	humanitaria
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
asking	VVG	ask
civilian	JJ	civilian
to	TO	to
go	VV	go
there	RB	there
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
civilians	NNS	civilian
for	IN	for
various	JJ	various
reasons	NNS	reason
,	,	,
because	IN	because
they	PP	they
'	POS	'
re	NN	re
under	IN	under
the	DT	the
control	NN	control
of	IN	of
Hamas	NP	Hamas
,	,	,
because	IN	because
the	DT	the
international	JJ	international
aid	NN	aid
organizations	NNS	organization
have	VHP	have
channeled	VVN	channel
them	PP	them
there	RB	there
.	SENT	.
Many	JJ	many
other	JJ	other
reasons	NNS	reason
have	VHP	have
not	RB	not
yet	RB	yet
gone	VVN	go
through	IN	through
the	DT	the
humanitarian	JJ	humanitarian
zone	NN	zone
,	,	,
which	WDT	which
I	PP	I
think	VVP	think
is	VBZ	be
very	RB	very
unfortunat	VVG	unfortunat
The	DT	the
reason	NN	reason
why	WRB	why
we	PP	we
made	VVD	make
that	IN/that	that
or	CC	or
designated	VVN	designate
that	IN/that	that
humanitarian	NN	humanitarian
is	VBZ	be
because	IN	because
it	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
areas	NNS	area
where	WRB	where
Hamas	NP	Hamas
isn	NP	isn
'	POS	'
t	NN	t
embedded	VVN	embed
above	IN	above
and	CC	and
below	IN	below
ground	NN	ground
and	CC	and
therefore	RB	therefore
a	DT	a
relatively	RB	relatively
safe	JJ	safe
because	IN	because
we	PP	we
would	MD	would
have	VH	have
no	DT	no
interes	NNS	interes
in	IN	in
fighting	VVG	fight
there	RB	there
because	IN	because
Hamas	NP	Hamas
isn	NP	isn
'	POS	'
t	NN	t
there	RB	there
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VVG	s
what	WP	what
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
asking	VVG	ask
all	DT	all
along	IN	along
the	DT	the
attempt	NN	attempt
or	CC	or
what	WP	what
you	PP	you
showed	VVD	show
on	IN	on
the	DT	the
map	NN	map
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
agree	VV	agree
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
perfect	JJ	perfect
,	,	,
but	CC	but
by	IN	by
by	IN	by
the	DT	the
way	NN	way
,	,	,
