Joining	VVG	join
me	PP	me
now	RB	now
is	VBZ	be
CNN	NP	CNN
military	JJ	military
analyst	NN	analyst
colonel	NN	colonel
&	CC	&
nbsp	NN	nbsp
;	:	;
Cedric	NP	Cedric
Leighton	NP	Leighton
.	SENT	.
Colonel	NP	Colonel
,	,	,
thank	VVP	thank
you	PP	you
for	IN	for
your	PP$	your
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
time	NN	time
this	DT	this
morning	NN	morning
.	SENT	.
First	RB	first
off	RB	off
,	,	,
I	PP	I
want	VVP	want
to	TO	to
get	VV	get
your	PP$	your
&	CC	&
nbsp	NN	nbsp
;	:	;
reaction	NN	reaction
to	TO	to
secretary	NN	secretary
of	IN	of
state	NN	state
Antony	NP	Antony
blinken	NP	blinken
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
ramallah	NN	ramallah
.	SENT	.
He	PP	he
with	IN	with
was	VBD	be
just	RB	just
there	RB	there
meeting	VVG	meet
with	IN	with
&	CC	&
nbsp	NN	nbsp
;	:	;
Mahmoud	NP	Mahmoud
abbas	NP	Abbas
,	,	,
the	DT	the
Palestinian	JJ	Palestinian
authorities	NNS	authority
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
president	NN	president
.	SENT	.
What	WP	what
does	VVZ	do
that	RB	that
tell	VV	tell
you	PP	you
,	,	,
especially	RB	especially
&	CC	&
nbsp	NN	nbsp
;	:	;
that	IN/that	that
he	PP	he
is	VBZ	be
engaging	VVG	engage
once	RB	once
again	RB	again
in	IN	in
shuttle	NN	shuttle
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
diplomacy	NN	diplomacy
.	SENT	.
Weighs	VVZ	weigh
at	IN	at
the	DT	the
summit	NN	summit
Saturday	NP	Saturday
meeting	NN	meeting
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
the	DT	the
foreign	JJ	foreign
ministers	NNS	minister
of	IN	of
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
and	NP	and
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Jordan	NP	Jordan
.	SENT	.
What	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
of	IN	of
this	DT	this
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Yeah	RB	yeah
,	,	,
good	JJ	good
morning	NN	morning
,	,	,
Amara	NP	Amara
.	SENT	.
Well	RB	well
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
think	VVP	think
what	WP	what
secretary	NN	secretary
blinken	NP	blinken
is	VBZ	be
doing	VVG	do
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
trying	VVG	try
to	TO	to
shore	VV	shore
up	RP	up
support	NN	support
among	IN	among
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Palestinian	JJ	Palestinian
authority	NN	authority
as	RB	as
well	RB	well
as	IN	as
the	DT	the
Arab	JJ	Arab
&	CC	&
nbsp	JJ	nbsp
;	:	;
nations	NNS	nation
for	IN	for
a	DT	a
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
.	SENT	.
He	PP	he
would	MD	would
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
like	IN	like
the	DT	the
Palestinian	JJ	Palestinian
authority	NN	authority
also	RB	also
to	TO	to
take	VV	take
over	RP	over
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
administration	NN	administration
of	IN	of
gaza	NN	gaza
once	IN	once
Israel	NP	Israel
achieves	VVZ	achieve
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
its	PP$	its
goals	NNS	goal
of	IN	of
destroying	VVG	destroy
hamas	NNS	hamas
.	SENT	.
Whether	IN	whether
or	CC	or
not	RB	not
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
can	MD	can
achieve	VV	achieve
the	DT	the
goals	NNS	goal
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
another	DT	another
matter	NN	matter
.	SENT	.
I	PP	I
think	VVP	think
the	DT	the
goal	NN	goal
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
secretary	NN	secretary
of	IN	of
state	NN	state
is	VBZ	be
very	RB	very
much	RB	much
[	SYM	[
6	CD	@card@
:	:	:
10	CD	@card@
:	:	:
46	NP	@card@
AM	NP	AM
]	SYM	]
secretary	NN	secretary
of	IN	of
state	NN	state
is	VBZ	be
very	RB	very
much	JJ	much
to	TO	to
get	VV	get
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
Palestinian	JJ	Palestinian
authority	NN	authority
represented	VVN	represent
by	IN	by
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Mahmoud	NP	Mahmoud
abbas	NNS	abbas
in	IN	in
on	IN	on
his	PP$	his
side	NN	side
and	CC	and
make	VVP	make
that	IN/that	that
&	CC	&
nbsp	NN	nbsp
;	:	;
work	VV	work
for	IN	for
him	PP	him
from	IN	from
a	DT	a
political	JJ	political
standpoint	NN	standpoint
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
What	WP	what
are	VBP	be
your	PP$	your
thoughts	NNS	thought
on	IN	on
this	DT	this
four	CD	four
-	NN	-
hour	NN	hour
window	NN	window
&	CC	&
nbsp	NN	nbsp
;	:	;
for	IN	for
this	DT	this
safe	JJ	safe
corridor	NN	corridor
?	SENT	?
That	DT	that
window	NN	window
is	VBZ	be
about	RB	about
to	TO	to
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
close	RB	close
at	IN	at
2	CD	@card@
:	:	:
00	CD	@card@
P	NN	P
.	SENT	.
M	NP	M
.	SENT	.
Local	JJ	local
time	NN	time
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
after	IN	after
&	CC	&
nbsp	NN	nbsp
;	:	;
1	CD	@card@
:	:	:
00	CD	@card@
there	RB	there
.	SENT	.
And	CC	and
Elia	NP	Elia
brought	VVD	bring
up	RP	up
these	DT	these
issues	NNS	issue
.	SENT	.
How	WRB	how
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
do	VVP	do
you	PP	you
get	VV	get
the	DT	the
messages	NNS	message
to	TO	to
the	DT	the
civilians	NNS	civilian
dealing	NN	dealing
&	CC	&
nbsp	NN	nbsp
;	:	;
with	IN	with
power	NN	power
outages	NNS	outage
and	CC	and
internet	NN	Internet
outages	NNS	outage
in	IN	in
gaza	NN	gaza
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
and	CC	and
let	VV	let
'	''	'
s	NNS	s
say	VVP	say
they	PP	they
do	VVP	do
get	VV	get
the	DT	the
message	NN	message
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
Of	IN	of
course	NN	course
,	,	,
resources	NNS	resource
is	VBZ	be
a	DT	a
huge	JJ	huge
problem	NN	problem
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
right	RB	right
,	,	,
because	IN	because
no	DT	no
fuel	NN	fuel
,	,	,
as	IN	as
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
Special	JJ	special
envoy	NN	envoy
,	,	,
David	NP	David
Satterfield	NP	Satterfield
,	,	,
no	DT	no
new	JJ	new
fuel	NN	fuel
has	VHZ	have
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
gone	VVN	go
into	IN	into
gaza	NN	gaza
since	IN	since
the	DT	the
war	NN	war
began	VVD	begin
.	SENT	.
How	WRB	how
helpful	JJ	helpful
do	VVP	do
&	CC	&
nbsp	NN	nbsp
;	:	;
you	PP	you
think	VVP	think
this	DT	this
safe	JJ	safe
corridor	NN	corridor
that	IN/that	that
idf	NN	idf
is	VBZ	be
opening	VVG	open
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
will	MD	will
be	VB	be
for	IN	for
the	DT	the
civilians	NNS	civilian
to	TO	to
move	VV	move
south	RB	south
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
too	RB	too
short	RB	short
a	DT	a
time	NN	time
period	NN	period
.	SENT	.
[	SYM	[
6	CD	@card@
:	:	:
11	CD	@card@
:	:	:
47	NP	@card@
AM	NP	AM
]	SYM	]
period	NN	period
.	SENT	.
Four	CD	four
hours	NNS	hour
is	VBZ	be
not	RB	not
enough	JJ	enough
time	NN	time
to	TO	to
get	VV	get
&	CC	&
nbsp	NN	nbsp
;	:	;
people	NNS	people
out	RB	out
,	,	,
especially	RB	especially
those	DT	those
that	WDT	that
have	VHP	have
special	JJ	special
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
needs	NNS	need
or	CC	or
are	VBP	be
in	IN	in
,	,	,
you	PP	you
know	VVP	know
,	,	,
in	IN	in
a	DT	a
place	NN	place
where	WRB	where
&	CC	&
nbsp	NN	nbsp
;	:	;
they	PP	they
can	MD	can
'	''	'
t	NN	t
really	RB	really
get	VV	get
transportation	NN	transportation
.	SENT	.
So	RB	so
far	RB	far
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
my	PP$	my
knowledge	NN	knowledge
at	IN	at
least	JJS	least
,	,	,
we	PP	we
have	VHP	have
not	RB	not
seen	VVN	see
&	CC	&
nbsp	NN	nbsp
;	:	;
a	DT	a
stream	NN	stream
of	IN	of
refugees	NNS	refugee
on	IN	on
foot	NN	foot
marching	VVG	march
down	RP	down
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
you	PP	you
know	VVP	know
,	,	,
the	DT	the
highway	NN	highway
there	RB	there
.	SENT	.
So	RB	so
Elliot	NP	Elliot
is	VBZ	be
right	JJ	right
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
If	IN	if
you	PP	you
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
any	DT	any
internet	NN	Internet
connectivity	NN	connectivity
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
if	IN	if
you	PP	you
