SIDNER	NP	SIDNER
.	SENT	.
SHE	PP	she
'	POS	'
S	NP	S
JOINING	VVG	join
US	PP	us
FROM	IN	from
JERUSALEM	NP	Jerusalem
.	SENT	.
ISRAEL	NP	Israel
HAS	VHZ	have
BEEN	VBN	be
CONDUCTING	VVG	conduct
RAIDING	NN	raiding
IN	IN	in
THE	DT	the
WEST	JJ	west
BANK	NP	BANK
AS	IN	as
IT	PP	it
WAGES	VVZ	wage
THIS	DT	this
WAR	NN	war
AGAINST	IN	against
HAMAS	NP	HAMAS
.	SENT	.
HOW	WRB	how
EXTENSIVE	JJ	extensive
ARE	VBP	be
THESE	DT	these
ISRAELI	JJ	Israeli
MILITARY	JJ	military
OPERATIONS	NP	OPERATIONS
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Reporter	NN	reporter
:	:	:
VERY	RB	very
EXTENSIVE	JJ	extensive
TO	TO	to
SAY	VV	say
THE	DT	the
LEAST	JJS	least
.	SENT	.
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	NN	military
SAID	VVD	say
THAT	IN/that	that
IT	PP	it
HAD	VHD	have
BEEN	VBN	be
CONDUCTING	VVG	conduct
WIDE	JJ	wide
SCALE	NN	scale
WHAT	WP	what
IT	PP	it
CALLS	VVZ	call
COUNTERTERRORISM	NN	counterterrorism
ACTIVITY	NN	activity
IN	IN	in
THE	DT	the
WEST	JJ	west
BANK	NP	BANK
WHERE	WRB	where
THEY	PP	they
HAVE	VHP	have
ARRESTED	VVN	arrest
MORE	JJR	more
THAN	IN	than
60	CD	@card@
PALESTINIANS	NNS	Palestinian
IN	IN	in
THE	DT	the
LAST	JJ	last
DAY	NN	day
OR	CC	or
SO	RB	so
.	SENT	.
I	PP	I
SHOULD	MD	should
ALSO	RB	also
MENTION	VV	mention
THAT	IN/that	that
THE	DT	the
TENSIONS	NNS	tension
IN	IN	in
THE	DT	the
WEST	JJ	west
BANK	NP	BANK
VERY	RB	very
,	,	,
VERY	RB	very
HIGH	JJ	high
.	SENT	.
ESPECIALLY	RB	especially
AFTER	IN	after
THAT	DT	that
BLAST	NN	blast
AT	IN	at
THE	DT	the
HOSPITAL	NN	hospital
BECAUSE	IN	because
THE	DT	the
PALESTINIANS	NPS	Palestinians
BASICALLY	RB	basically
DO	VVP	do
NOT	RB	not
BELIEVE	VV	believe
THE	DT	the
ISRAELI	JJ	Israeli
EVIDENCE	NN	evidence
OR	CC	or
ISRAELI	JJ	Israeli
MILITARY	JJ	military
