One	CD	one
of	IN	of
the	DT	the
family	NN	family
members	NNS	member
desperately	RB	desperately
holding	VVG	hold
out	RP	out
hope	NN	hope
that	IN/that	that
some	DT	some
of	IN	of
these	DT	these
hostages	NNS	hostage
will	MD	will
be	VB	be
rescued	VVN	rescue
is	VBZ	be
the	DT	the
only	JJ	only
Asher	NP	Asher
.	SENT	.
He	PP	he
is	VBZ	be
missing	VVG	miss
his	PP$	his
wife	NN	wife
and	CC	and
his	PP$	his
two	CD	two
young	JJ	young
daughters	NNS	daughter
.	SENT	.
They	PP	they
were	VBD	be
taken	VVN	take
while	IN	while
visiting	VVG	visit
his	PP$	his
mother	NN	mother
in	IN	in
law	NN	law
.	SENT	.
Near	IN	near
Gaza	NP	Gaza
.	SENT	.
Our	PP$	our
viewers	NNS	viewer
will	MD	will
remember	VV	remember
that	IN/that	that
we	PP	we
first	RB	first
spoke	VVD	speak
to	TO	to
Yoni	NP	Yoni
on	IN	on
the	DT	the
day	NN	day
of	IN	of
the	DT	the
Hamas	JJ	Hamas
attack	NN	attack
,	,	,
just	RB	just
hours	NNS	hour
after	IN	after
he	PP	he
first	RB	first
saw	VVD	see
his	PP$	his
family	NN	family
in	IN	in
this	DT	this
viral	JJ	viral
video	NN	video
.	SENT	.
Online	JJ	online
.	SENT	.
You	PP	you
can	MD	can
see	VV	see
a	DT	a
gunman	NN	gunman
placing	VVG	place
a	DT	a
cloth	NN	cloth
over	IN	over
his	PP$	his
wife	NN	wife
'	POS	'
s	NN	S
head	NN	head
.	SENT	.
His	PP$	his
mother	NN	mother
in	IN	in
law	NN	law
and	CC	and
his	PP$	his
two	CD	two
daughters	NNS	daughter
are	VBP	be
huddled	VVN	huddle
in	IN	in
the	DT	the
back	NN	back
of	IN	of
the	DT	the
truck	NN	truck
after	IN	after
seeing	VVG	see
this	DT	this
video	NN	video
.	SENT	.
Yoni	NP	Yoni
tried	VVD	try
to	TO	to
track	VV	track
his	PP$	his
wife	NN	wife
'	POS	'
s	NN	S
location	NN	location
.	SENT	.
It	PP	it
said	VVD	say
her	PP$	her
phone	NN	phone
was	VBD	be
in	IN	in
Gaza	NP	Gaza
.	SENT	.
We	PP	we
have	VHP	have
been	VBN	be
checking	VVG	check
in	IN	in
with	IN	with
Yoni	NP	Yoni
ever	RB	ever
since	IN	since
then	RB	then
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
able	JJ	able
to	TO	to
meet	VV	meet
him	PP	him
in	IN	in
person	NN	person
over	IN	over
the	DT	the
weekend	NN	weekend
.	SENT	.
Traveling	VVG	travel
to	TO	to
his	PP$	his
home	NN	home
north	NN	north
of	IN	of
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
Here	RB	here
is	VBZ	be
our	PP$	our
conversation	NN	conversation
Well	RB	well
,	,	,
Yoni	NP	Yoni
,	,	,
the	DT	the
chance	NN	chance
to	TO	to
see	VV	see
each	DT	each
other	JJ	other
and	CC	and
see	VV	see
you	PP	you
in	IN	in
person	NN	person
How	WRB	how
are	VBP	be
you	PP	you
doing	VVG	do
now	RB	now
?	SENT	?
Well	RB	well
,	,	,
eight	CD	eight
days	NNS	day
since	IN	since
my	PP$	my
wife	NN	wife
and	CC	and
two	CD	two
daughters	NNS	daughter
got	VVN	get
kidnaped	VVD	kidnap
I	PP	I
am	VBP	be
realizing	VVG	realize
that	IN/that	that
I	PP	I
got	VVD	get
to	TO	to
see	VV	see
the	DT	the
gates	NNS	gate
of	IN	of
hell	NN	hell
.	SENT	.
I	PP	I
got	VVD	get
to	TO	to
see	VV	see
how	WRB	how
Hill	NP	Hill
looks	VVZ	look
like	IN	like
I	PP	I
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
if	IN	if
there	EX	there
are	VBP	be
any	DT	any
more	JJR	more
tears	NNS	tear
left	VVN	leave
in	IN	in
me	PP	me
,	,	,
but	CC	but
it	PP	it
became	VVD	become
real	JJ	real
.	SENT	.
I	PP	I
became	VVD	become
it	PP	it
became	VVD	become
clear	JJ	clear
to	TO	to
me	PP	me
that	IN/that	that
I	PP	I
saw	VVD	see
her	PP	her
.	SENT	.
I	PP	I
saw	VVD	see
what	WP	what
her	PP	her
looks	VVZ	look
like	IN	like
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VVP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
the	DT	the
phone	NN	phone
call	VVP	call
that	IN/that	that
I	PP	I
got	VVD	get
from	IN	from
my	PP$	my
wife	NN	wife
.	SENT	.
10	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
telling	VVG	tell
me	PP	me
that	IN/that	that
they	PP	they
'	''	'
re	IN	re
entering	VVG	enter
the	DT	the
house	NN	house
shooting	NN	shooting
and	CC	and
that	IN/that	that
we	PP	we
got	VVD	get
disconnected	VVN	disconnect
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
even	RB	even
the	DT	the
video	NN	video
.	SENT	.
9	CD	@card@
seconds	NNS	second
long	JJ	long
video	NN	video
,	,	,
which	WDT	which
I	PP	I
saw	VVD	see
my	PP$	my
wife	NN	wife
getting	VVG	get
taken	VVN	take
with	IN	with
my	PP$	my
two	CD	two
daughters	NNS	daughter
,	,	,
recognizing	VVG	recognize
them	PP	them
just	RB	just
like	VVP	like
that	DT	that
.	SENT	.
After	IN	after
a	DT	a
few	JJ	few
hours	NNS	hour
of	IN	of
nerve	NN	nerve
wracking	VVG	wrack
time	NN	time
,	,	,
which	WDT	which
I	PP	I
tried	VVD	try
to	TO	to
get	VV	get
information	NN	information
,	,	,
the	DT	the
hell	NN	hell
was	VBD	be
the	DT	the
images	NNS	image
.	SENT	.
I	NP	I
didn	NP	didn
'	POS	'
t	NN	t
watch	VV	watch
them	PP	them
.	SENT	.
I	PP	I
heard	VVD	hear
.	SENT	.
I	PP	I
understand	VVP	understand
very	RB	very
quickly	RB	quickly
that	IN/that	that
when	WRB	when
I	PP	I
saw	VVD	see
that	IN/that	that
when	WRB	when
I	PP	I
knew	VVD	know
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
possibility	NN	possibility
that	IN/that	that
I	PP	I
get	VVP	get
held	VVN	hold
by	IN	by
such	JJ	such
.	SENT	.
I	PP	I
