<	SYM	<
doc	NN	doc
>	SYM	>
5	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
Shams	NP	Shams
eyes	NNS	eye
are	VBP	be
a	DT	a
portal	NN	portal
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
the	DT	the
Past	JJ	past
she	PP	she
cannot	MD	can
forget	VV	forget
there	RB	there
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
are	VBP	be
the	DT	the
streets	NNS	street
and	CC	and
homes	NNS	home
scarred	VVN	scar
by	IN	by
War	NP	War
&	CC	&
nbsp	NP	nbsp
;	:	;
this	DT	this
building	NN	building
where	WRB	where
she	PP	she
recited	VVD	recite
her	PP$	her
final	JJ	final
&	CC	&
nbsp	JJ	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
prayers	NNS	prayer
and	CC	and
then	RB	then
there	EX	there
is	VBZ	be
the	DT	the
indelible	JJ	indelible
sight	NN	sight
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
her	PP$	her
father	NN	father
and	CC	and
sister	NN	sister
shot	NN	shot
dead	JJ	dead
before	IN	before
her	PP$	her
eyes	NNS	eye
sh	NN	sh
'	POS	'
s	JJ	s
mother	NN	mother
saah	NN	saah
who	WP	who
suffered	VVD	suffer
&	CC	&
nbsp	NN	nbsp
;	:	;
Burns	NP	Burns
as	IN	as
a	DT	a
child	NN	child
will	MD	will
never	RB	never
forget	VV	forget
that	DT	that
day	NN	day
but	CC	but
there	EX	there
'	''	'
s	NN	S
more	RBR	more
to	TO	to
their	PP$	their
story	NN	story
than	IN	than
&	CC	&
nbsp	NN	nbsp
;	:	;
tragedy	NN	tragedy
and	CC	and
loss	NN	loss
in	IN	in
war	NN	war
Tor	NP	Tor
Gaza	NP	Gaza
sham	NN	sham
and	CC	and
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
sa	NP	Sa
'	POS	'
s	NN	S
story	NN	story
is	VBZ	be
unlike	IN	unlike
any	DT	any
other	JJ	other
we	PP	we
have	VHP	have
come	VVN	come
&	CC	&
nbsp	NN	nbsp
;	:	;
across	IN	across
in	IN	in
10	CD	@card@
months	NNS	month
of	IN	of
War	NP	War
that	WDT	that
'	POS	'
s	NNS	s
because	IN	because
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
saah	NP	Saah
doesn	NP	doesn
'	POS	'
t	NN	t
just	RB	just
accuse	VVP	accuse
Israeli	JJ	Israeli
troops	NNS	troop
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
killing	VVG	kill
her	PP$	her
husband	NN	husband
acram	NN	acram
and	CC	and
daughter	NN	daughter
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Yasmin	NP	Yasmin
an	DT	an
Israeli	JJ	Israeli
soldier	NN	soldier
may	MD	may
also	RB	also
have	VH	have
saved	VVN	save
&	CC	&
nbsp	NN	nbsp
;	:	;
her	PP$	her
life	NN	life
on	IN	on
November	NP	November
24th	JJ	24th
the	DT	the
week	NN	week
-	NN	-
long	JJ	long
truce	NN	truce
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
begins	VVZ	begin
thousands	NNS	thousand
of	IN	of
&	CC	&
nbsp	NN	nbsp
;	:	;
people	NNS	people
begin	VVP	begin
heading	VVG	head
back	RB	back
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Northern	NP	Northern
Gaza	NP	Gaza
sa	NP	Sa
and	CC	and
her	PP$	her
family	NN	family
are	VBP	be
among	IN	among
them	PP	them
&	CC	&
nbsp	NN	nbsp
;	:	;
but	CC	but
as	RB	as
they	PP	they
approach	VVP	approach
the	DT	the
salatin	NN	salatin
neighborhood	NN	neighborhood
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
where	WRB	where
they	PP	they
lived	VVD	live
they	PP	they
find	VVP	find
themselves	PP	themselves
&	CC	&
nbsp	NN	nbsp
;	:	;
walking	VVG	walk
alone	RB	alone
and	CC	and
then	RB	then
shots	NNS	shot
ring	VVP	ring
out	RP	out
her	PP$	her
husband	NN	husband
soon	RB	soon
decides	VVZ	decide
to	TO	to
crawl	VV	crawl
away	RP	away
&	CC	&
nbsp	NN	nbsp
;	:	;
to	TO	to
try	VV	try
to	TO	to
find	VV	find
help	NN	help
but	CC	but
moments	NNS	moment
later	RBR	later
he	PP	he
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
shot	VVN	shoot
again	RB	again
fatally	RB	fatally
sah	NN	sah
lies	VVZ	lie
on	IN	on
the	DT	the
ground	NN	ground
&	CC	&
nbsp	NN	nbsp
;	:	;
bleeding	VVG	bleed
cradling	VVG	cradle
her	PP$	her
eldest	JJ	eldest
daughter	NN	daughter
yasine	NN	yasine
[	SYM	[
Music	NN	music
]	SYM	]
as	IN	as
a	DT	a
mother	NN	mother
I	PP	I
mean	VVP	mean
you	PP	you
must	MD	must
have	VH	have
felt	VVN	feel
&	CC	&
nbsp	NN	nbsp
;	:	;
absolutely	RB	absolutely
helpless	JJ	helpless
in	IN	in
that	DT	that
moment	NN	moment
yasine	NN	yasine
soon	RB	soon
died	VVD	die
in	IN	in
her	PP$	her
mother	NN	mother
'	POS	'
s	NN	S
arms	NNS	arm
&	CC	&
nbsp	NN	nbsp
;	:	;
for	IN	for
hours	NNS	hour
sah	NN	sah
lies	VVZ	lie
here	RB	here
with	IN	with
Sham	NP	Sham
&	CC	&
nbsp	NP	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
unable	JJ	unable
to	TO	to
move	VV	move
until	IN	until
she	PP	she
finally	RB	finally
&	CC	&
nbsp	NN	nbsp
;	:	;
finds	VVZ	find
the	DT	the
strength	NN	strength
to	TO	to
crawl	VV	crawl
down	RP	down
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
street	NN	street
and	CC	and
into	IN	into
this	DT	this
nearby	JJ	nearby
home	NN	home
&	CC	&
nbsp	NN	nbsp
;	:	;
we	PP	we
obtained	VVD	obtain
footage	NN	footage
from	IN	from
that	DT	that
house	NN	house
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
after	IN	after
our	PP$	our
first	JJ	first
interview	NN	interview
with	IN	with
sah	NN	sah
this	DT	this
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
she	PP	she
and	CC	and
Sha	NP	Sha
are	VBP	be
seeing	VVG	see
it	PP	it
and	CC	and
Sham	NP	Sham
begins	VVZ	begin
to	TO	to
tell	VV	tell
my	PP$	my
&	CC	&
nbsp	NN	nbsp
;	:	;
colleague	NN	colleague
air	NN	air
Salman	NP	Salman
what	WP	what
happened	VVD	happen
to	TO	to
her	PP	her
an	DT	an
explosion	NN	explosion
then	RB	then
rocks	VVZ	rock
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
bathroom	NN	bathroom
Israeli	JJ	Israeli
soldiers	NNS	soldier
enter	VVP	enter
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
the	DT	the
house	NN	house
and	CC	and
call	VV	call
out	RP	out
in	IN	in
Arabic	NP	Arabic
what	WP	what
happens	VVZ	happen
&	CC	&
nbsp	NN	nbsp
;	:	;
next	JJ	next
is	VBZ	be
captured	VVN	capture
on	IN	on
muted	JJ	muted
body	NN	body
camera	NN	camera
footage	NN	footage
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
provided	VVN	provide
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
Two	CD	two
&	CC	&
nbsp	NN	nbsp
;	:	;
Soldiers	NNS	soldier
treating	VVG	treat
sana	NP	Sana
'	POS	'
s	JJ	s
gunshot	NN	gunshot
wounds	NNS	wound
the	DT	the
medic	NN	medic
soon	RB	soon
realizes	VVZ	realize
her	PP$	her
condition	NN	condition
&	CC	&
nbsp	NN	nbsp
;	:	;
is	VBZ	be
serious	JJ	serious
she	PP	she
needs	VVZ	need
to	TO	to
get	VV	get
to	TO	to
a	DT	a
hospital	NN	hospital
Israeli	JJ	Israeli
soldiers	NNS	soldier
carry	VVP	carry
saana	NN	saana
&	CC	&
nbsp	NN	nbsp
;	:	;
out	RB	out
of	IN	of
