<video_id>ywOzeZl7uIU</video_id>	JJ	<video_id>ywOzeZl7uIU</video_id>
<video_title>104	NN	<video_title>104
civilians	NNS	civilian
killed	VVD	kill
trying	VVG	try
to	TO	to
access	VV	access
food	NN	food
aid	NN	aid
trucks	NNS	truck
in	IN	in
Gaza,	NP	Gaza,
Palestinian	JJ	Palestinian
health	NN	health
ministry	NN	ministry
says</video_title>	NN	says</video_title>
<thumbnail_path>data/en_CNN\104	NN	<thumbnail_path>data/en_CNN\104
civilians	NNS	civilian
killed	VVD	kill
trying	VVG	try
to	TO	to
access	VV	access
food	NN	food
aid	NN	aid
trucks	NNS	truck
in	IN	in
Gaza,	NP	Gaza,
Palestinian	JJ	Palestinian
health	NN	health
ministry	NN	ministry
says.jpg</thumbnail_path>	NN	says.jpg</thumbnail_path>
<publish_date>20240229</publish_date>	NN	<publish_date>20240229</publish_date>
<doc>	NN	<doc>
,	,	,
ARE	VBP	be
FOLLOWING	VVG	follow
SOME	DT	some
BREAKING	VVG	break
NEWS	NN	news
OUT	RP	out
OF	IN	of
GAZA.	NP	GAZA.
WE	PP	we
WANTED	VVD	want
TO	TO	to
BRING	VV	bring
TO	TO	to
YOU	PP	you
I	PP	I
WITNESSES	NNS	witness
AND	CC	and
THE	DT	the
HAMAS-RUN	JJ	HAMAS-RUN
PALESTINIAN	JJ	Palestinian
MINISTRY	NN	ministry
OF	IN	of
HEALTH	NP	HEALTH
SAY	VVP	say
THAT	IN/that	that
MORE	JJR	more
THAN	IN	than
100	CD	@card@
PEOPLE	NNS	people
WERE	VBD	be
KILLED	VVN	kill
IN	IN	in
WHAT	WP	what
IS	VBZ	be
BEING	VBG	be
DESCRIBED	VVN	describe
AS	IN	as
A	DT	a
CHAOTIC	JJ	chaotic
INCIDENT,	NP	INCIDENT,
AS	NP	AS
IDF	NP	IDF
SOLDIERS	NNS	soldier
OPENED	VVD	open
FIRE	NN	fire
AS	IN	as
PEOPLE	NNS	people
WERE	VBD	be
TRYING	VVG	try
TO	TO	to
GET	VV	get
FOOD	NN	food
FROM	IN	from
AID	NN	aid
TRUCKS.	NP	TRUCKS.
CNN'S	NP	CNN'S
JEREMY	NP	Jeremy
DIAMOND	NN	diamond
IS	VBZ	be
GATHERING	VVG	gather
NEW	NP	NEW
DETAILS.	NP	DETAILS.
HE'S	NP	HE'S
BEEN	VBN	be
PICKING	VVG	pick
UP	RP	up
SOME	DT	some
NEW	NP	NEW
REPORTING.	NP	REPORTING.
JEREMY,	NP	JEREMY,
BRING	VV	bring
US	PP	us
UP	RP	up
TO	TO	to
SPEED	VV	speed
HERE	RB	here
&gt;&gt;	JJ	&gt;&gt;
WELL	RB	well
FIRST	RB	first
OF	IN	of
ALL,	NP	ALL,
KATE,	NP	KATE,
I	PP	I
THINK	VVP	think
IT'S	NNS	IT'S
IMPORTANT	JJ	important
TO	TO	to
NOTE	VV	note
THAT	IN/that	that
THE	DT	the
AID	NN	aid
SITUATION,	NP	SITUATION,
THE	DT	the
HUMANITARIAN	JJ	humanitarian
SITUATION	NN	situation
IN	IN	in
NORTHERN	NP	NORTHERN
GAZA,	NP	GAZA,
IS	VBZ	be
JUST	RB	just
SO,	NP	SO,
SO	IN	so
DESPERATE	JJ	desperate
AND	CC	and
THAT	WDT	that
SEEMS	VVZ	seem
TO	TO	to
BE	VB	be
PART	NN	part
OF	IN	of
WHAT	WP	what
LED	VVD	lead
TO	TO	to
THIS	DT	this
SCENE.	NP	SCENE.
HUNDREDS,	NP	HUNDREDS,
IF	IN	if
NOT	RB	not
THOUSANDS	NNS	thousand
OF	IN	of
PEOPLE	NNS	people
SURROUNDING	VVG	surround
SOME	DT	some
OF	IN	of
THESE	DT	these
AID	NN	aid
TRUCKS	NNS	truck
THAT	WDT	that
WERE	VBD	be
ABLE	JJ	able
TO	TO	to
ENTER	VV	enter
NORTHERN	NP	NORTHERN
GAZA.	NP	GAZA.
SOME	DT	some
OF	IN	of
THE	DT	the
VERY	RB	very
FEW	JJ	few
AID	NN	aid
TRUCKS	NNS	truck
THAT	WDT	that
HAVE	VHP	have
ACTUALLY	RB	actually
BEEN	VBN	be
ABLE	JJ	able
TO	TO	to
MAKE	VV	make
IT	PP	it
IN	IN	in
THERE.	NP	THERE.
AND	CC	and
YOU	PP	you
CAN	MD	can
SEE	VV	see
IN	IN	in
THIS	DT	this
VIDEO	NN	video
BY	IN	by
THE	DT	the
ISRAELI,	NP	ISRAELI,
FROM	IN	from
THE	DT	the
ISRAELI	NP	Israeli
MILITARY,	NP	MILITARY,
THE	DT	the
CROWDS	NNS	crowd
OF	IN	of
PEOPLE	NNS	people
AROUND	IN	around
THESE	DT	these
TRUCKS.	NP	TRUCKS.
BUT	CC	but
WHAT	WP	what
APPEARS	VVZ	appear
TO	TO	to
HAVE	VH	have
HAPPENED	VVN	happen
IS	VBZ	be
THAT	IN/that	that
THE	DT	the
ISRAELI	JJ	Israeli
MILITARY	JJ	military
OPEN	JJ	open
FIRE	NN	fire
ON	IN	on
SOME	DT	some
OF	IN	of
THESE	DT	these
PEOPLE	NNS	people
WHO	WP	who
ARE	VBP	be
SURROUNDING	VVG	surround
THESE	DT	these
TRUCKS	NNS	truck
AND	CC	and
ISRAELI	JJ	Israeli
MILITARY	JJ	military
OFFICIAL	NN	official
TELLING	VVG	tell
US	PP	us
THAT	IN/that	that
THE	DT	the
CROWD	NN	crowd
APPROACHED	VVD	approach
THE	DT	the
FORCES	NNS	force
IN	IN	in
A	DT	a
MANNER	NN	manner
THAT	IN/that	that
POST	NN	post
WAS	VBD	be
A	DT	a
THREAT	NN	threat
TO	TO	to
THE	DT	the
TROOPS.	NP	TROOPS.
AND	CC	and
THEY	PP	they
SAY	VVP	say
THAT	IN/that	that
THOSE	DT	those
TROOPS	NNS	troop
THEN	RB	then
RESPONDED	VVD	respond
WITH	IN	with
LIVE	JJ	live
FIRE.	NP	FIRE.
NOW,	NP	NOW,
EYEWITNESSES	NNS	eyewitness
ON	IN	on
THE	DT	the
SCENE	NN	scene
HAVE	VHP	have
TOLD	VVN	tell
US	PP	us
THAT	IN/that	that
ISRAELI	JJ	Israeli
TANKS	NNS	tank
AS	IN	as
WELL	RB	well
AS	IN	as
DRONES	NNS	drone
OPENED	VVD	open
FIRE	NN	fire
ON	IN	on
THIS	DT	this
CROWD	NN	crowd
&gt;&gt;	NN	&gt;&gt;
AND	CC	and
THAT	DT	that
&gt;&gt;	NN	&gt;&gt;
FOLLOWING	VVG	follow
THAT,	NP	THAT,
THERE	EX	there
WAS	VBD	be
A	DT	a
CHAOTIC	JJ	chaotic
SCENE.	NP	SCENE.
IT'S	NP	IT'S
SOME	DT	some
OF	IN	of
THE	DT	the
DRIVERS	NNS	driver
OF	IN	of
THESE	DT	these
AID	NN	aid
TRUCKS	NNS	truck
APPARENTLY	RB	apparently
TRIED	VVD	try
TO	TO	to
GET	VV	get
AWAY	RP	away
AMID	IN	amid
THIS	DT	this
GUNFIRE	NN	gunfire
AND	CC	and
KILLED	VVD	kill
SEVERAL	JJ	several
ADDITIONAL	JJ	additional
PEOPLE,	NP	PEOPLE,
WERE	VBD	be
TOLD	VVN	tell
THAT	IN/that	that
104	CD	@card@
PEOPLE	NNS	people
WERE	VBD	be
KILLED	VVN	kill
IN	IN	in
THIS	DT	this
INCIDENT,	NP	INCIDENT,
760	CD	@card@
PEOPLE	NNS	people
INJURED	VVN	injure
ACCORDING	VVG	accord
TO	TO	to
THE	DT	the
PALESTINIAN	JJ	Palestinian
MINISTRY	NN	ministry
OF	IN	of
HEALTH,	NP	HEALTH,
IT'S	NP	IT'S
NOT	RB	not
CLEAR	JJ	clear
YET	RB	yet
HOW	WRB	how
MANY	JJ	many
OF	IN	of
THOSE	DT	those
WERE	VBD	be
KILLED	VVN	kill
BY	IN	by
ISRAELI	JJ	Israeli
GUNFIRE	NN	gunfire
VERSUS	CC	versus
BUY	VV	buy
HE'S	NP	HE'S
TRUCKS	NNS	truck
AND	CC	and
THE	DT	the
ENSUING	VVG	ensue
