OPTIMISM	NN	optimism
ABOUT	IN	about
A	DT	a
POTENTIAL	JJ	potential
DEAL	NN	deal
TO	TO	to
FREE	VV	free
SOME	DT	some
OF	IN	of
THE	DT	the
HOSTAGES	NNS	hostage
HELD	VVN	hold
BY	IN	by
HAMAS	NNS	HAMAS
TELLING	VVG	tell
REPORTERS	NNS	reporter
YESTERDAY	NN	yesterday
HE	PP	he
BELIEVES	VVZ	believe
IT	PP	it
'	''	'
S	NP	S
,	,	,
QUOTE	NN	quote
,	,	,
GOING	VVG	go
TO	TO	to
HAPPEN	VV	happen
.	SENT	.
FAMILIES	NNS	family
OF	IN	of
THE	DT	the
AMERICANS	NPS	Americans
BELIEVED	VVD	believe
TO	TO	to
BE	VB	be
HELD	VVN	hold
HOSTAGE	NN	hostage
WILL	MD	will
MEET	VV	meet
WITH	IN	with
OFFICIALS	NNS	official
AT	IN	at
THE	DT	the
STATE	NN	state
DEPARTMENT	NN	department
AND	CC	and
ON	NP	ON
CAPITOL	NP	Capitol
HILL	NN	hill
TODAY	NN	today
.	SENT	.
THAT	IN/that	that
COMES	VVZ	come
AFTER	IN	after
THOUSANDS	NNS	thousand
OF	IN	of
DEMONSTRATORS	NNS	demonstrator
FILLED	VVD	fill
THE	DT	the
NATIONAL	NP	NATIONAL
MALL	NN	mall
YESTERDAY	NN	yesterday
IN	IN	in
THE	DT	the
MARCH	NN	march
FOR	IN	for
ISRAEL	NP	Israel
,	,	,
MANY	JJ	many
SHOWING	VVG	show
SUPPORT	NP	SUPPORT
FOR	IN	for
THOSE	DT	those
HOSTAGES	NNS	hostage
.	SENT	.
NOW	RB	now
,	,	,
THE	DT	the
FAMILY	NN	family
OF	IN	of
8	CD	@card@
-	NN	-
YEAR	NN	year
-	NN	-
OLD	JJ	old
EMILY	NP	Emily
HAND	NN	hand
ARE	VBP	be
ANXIOUSLY	RB	anxiously
AWAITING	VVG	await
NEWS	NN	news
,	,	,
INITIALLY	RB	initially
BELIEVED	VVN	believe
TO	TO	to
HAVE	VH	have
BEEN	VBN	be
KILLED	VVN	kill
DURING	IN	during
THE	DT	the
OCTOBER	NP	October
7th	JJ	7th
HAMAS	NN	HAMAS
ATTACKS	NNS	attack
BUT	CC	but
NOW	RB	now
BELIEVED	VVN	believe
TO	TO	to
BE	VB	be
AMONG	IN	among
THE	DT	the
239	CD	@card@
HOSTAGES	NNS	hostage
.	SENT	.
BEFORE	IN	before
LEARNING	VVG	learn
HIS	PP$	his
DAUGHTER	NN	daughter
WAS	VBD	be
ALIVE	JJ	alive
,	,	,
HER	PP$	her
FATHER	NN	father
SAID	VVD	say
HER	PP$	her
DEATH	NN	death
WAS	VBD	be
A	DT	a
BETTER	JJR	good
ALTERNATIVE	NN	alternative
THAN	IN	than
BEING	VBG	be
HELD	VVN	hold
CAPTIVE	NN	captive
BY	IN	by
HAMAS	NP	HAMAS
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
THAT	WDT	that
WAS	VBD	be
THE	DT	the
WEST	NN	west
