Let	NP	Let
'	POS	'
s	JJ	s
start	NN	start
with	IN	with
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
at	IN	at
that	DT	that
&	CC	&
nbsp	NN	nbsp
;	:	;
hospital	NN	hospital
.	SENT	.
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
said	VVN	say
that	IN/that	that
they	PP	they
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
are	VBP	be
engaged	VVN	engage
in	IN	in
intense	JJ	intense
fighting	NN	fighting
around	IN	around
Al	NP	Al
shifa	NN	shifa
&	CC	&
nbsp	NN	nbsp
;	:	;
hospital	NN	hospital
,	,	,
the	DT	the
largest	JJS	large
medical	JJ	medical
facility	NN	facility
in	IN	in
gaza	NN	gaza
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
I	PP	I
know	VVP	know
you	PP	you
say	VVP	say
that	IN/that	that
the	DT	the
hospital	NN	hospital
sits	VVZ	sit
on	IN	on
top	NN	top
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
a	DT	a
hamas	JJ	hamas
command	NN	command
and	CC	and
control	NN	control
center	NN	center
.	SENT	.
But	CC	but
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
of	IN	of
course	NN	course
,	,	,
there	EX	there
are	VBP	be
also	RB	also
patients	NNS	patient
,	,	,
civilians	NNS	civilian
&	CC	&
nbsp	NN	nbsp
;	:	;
sheltering	VVG	shelter
in	IN	in
that	DT	that
complex	JJ	complex
getting	VVG	get
treatment	NN	treatment
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
How	WRB	how
do	VVP	do
you	PP	you
intend	VVP	intend
to	TO	to
go	VV	go
after	IN	after
hamas	NNS	hamas
without	IN	without
&	CC	&
nbsp	NN	nbsp
;	:	;
putting	VVG	put
sick	JJ	sick
and	CC	and
injured	JJ	injured
civilians	NNS	civilian
in	IN	in
that	DT	that
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
hospital	NN	hospital
at	IN	at
more	JJR	more
risk	NN	risk
than	IN	than
they	PP	they
already	RB	already
are	VBP	be
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
We	PP	we
'	POS	'
ve	NN	ve
called	VVD	call
to	TO	to
evacuate	VV	evacuate
all	PDT	all
the	DT	the
patients	NNS	patient
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
from	IN	from
that	DT	that
hospital	NN	hospital
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
100	CD	@card@
or	CC	or
so	RB	so
&	CC	&
nbsp	NN	nbsp
;	:	;
have	VHP	have
already	RB	already
been	VBN	be
evacuated	VVN	evacuate
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
called	VVD	call
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
for	IN	for
hospitals	NNS	hospital
,	,	,
and	CC	and
the	DT	the
French	JJ	French
president	NN	president
&	CC	&
nbsp	NN	nbsp
;	:	;
has	VHZ	have
sent	VVN	send
a	DT	a
floating	JJ	floating
hospital	NN	hospital
ship	NN	ship
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
asked	VVN	ask
emirates	NNS	emirate
to	TO	to
send	VV	send
a	DT	a
field	NN	field
hospital	NN	hospital
.	SENT	.
&	CC	&
nbsp	NN	nbsp
;	:	;
They	PP	they
have	VHP	have
.	SENT	.
Other	JJ	other
countries	NNS	country
have	VHP	have
done	VVN	do
the	DT	the
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
same	JJ	same
.	SENT	.
There	EX	there
'	''	'
s	VVG	s
no	DT	no
reason	NN	reason
why	WRB	why
we	PP	we
just	RB	just
&	CC	&
nbsp	NN	nbsp
;	:	;
can	MD	can
'	''	'
t	NN	t
take	VV	take
the	DT	the
patients	NNS	patient
out	RP	out
of	IN	of
there	RB	there
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
instead	RB	instead
of	IN	of
letting	VVG	let
hamas	NNS	hamas
use	VV	use
it	PP	it
as	IN	as
a	DT	a
command	NN	command
&	CC	&
nbsp	NN	nbsp
;	:	;
center	NN	center
for	IN	for
terrorism	NN	terrorism
with	IN	with
the	DT	the
rockets	NNS	rocket
they	PP	they
[	SYM	[
9	CD	@card@
:	:	:
03	CD	@card@
:	:	:
40	NP	@card@
AM	NP	AM
]	SYM	]
terrorism	NN	terrorism
with	IN	with
the	DT	the
rockets	NNS	rocket
they	PP	they
fire	VVP	fire
against	IN	against
&	CC	&
nbsp	NN	nbsp
;	:	;
Israel	NP	Israel
,	,	,
for	IN	for
the	DT	the
terror	NN	terror
tunnels	VVZ	tunnel
they	PP	they
use	VVP	use
to	TO	to
kill	VV	kill
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
Israeli	JJ	Israeli
civilians	NNS	civilian
.	SENT	.
Remember	VV	remember
,	,	,
Dana	NP	Dana
,	,	,
let	VVN	let
'	POS	'
s	NNS	s
keep	VVP	keep
&	CC	&
nbsp	NN	nbsp
;	:	;
this	DT	this
in	IN	in
focus	NN	focus
.	SENT	.
Just	RB	just
imagine	VV	imagine
what	WP	what
would	MD	would
happen	VV	happen
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
if	IN	if
the	DT	the
United	NP	United
States	NPS	States
were	VBD	be
attacked	VVN	attack
viciously	RB	viciously
&	CC	&
nbsp	NN	nbsp
;	:	;
by	IN	by
20	CD	@card@
9	CD	@card@
/	SYM	/
11s	NP	11s
,	,	,
that	WDT	that
'	POS	'
s	NNS	s
the	DT	the
proportion	NN	proportion
number	NN	number
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
50	CD	@card@
,	,	,
000	CD	@card@
Americans	NPS	Americans
killed	VVN	kill
,	,	,
10	CD	@card@
,	,	,
000	CD	@card@
Americans	NNS	American
&	CC	&
nbsp	NN	nbsp
;	:	;
held	VVN	hold
hostage	NN	hostage
including	VVG	include
babies	NNS	baby
,	,	,
elderly	JJ	elderly
,	,	,
women	NNS	woman
,	,	,
&	CC	&
nbsp	NN	nbsp
;	:	;
&	CC	&
nbsp	NN	nbsp
;	:	;
children	NNS	child
,	,	,
10	CD	@card@
,	,	,
000	CD	@card@
rockets	NNS	rocket
falling	VVG	fall
on	IN	on
your	PP$	your
cities	NNS	city
.	SENT	.
&	CC	&
