<video_id>J5tFbJRdZAw</video_id>	JJ	<video_id>J5tFbJRdZAw</video_id>
<video_title>Israeli	NN	<video_title>Israeli
mother	NN	mother
of	IN	of
missing	VVG	miss
son	NN	son
sends	VVZ	send
message	NN	message
to	TO	to
Hamas</video_title>	NP	Hamas</video_title>
<thumbnail_path>data/en_CNN\Israeli	NP	<thumbnail_path>data/en_CNN\Israeli
mother	NN	mother
of	IN	of
missing	VVG	miss
son	NN	son
sends	VVZ	send
message	NN	message
to	TO	to
Hamas.jpg</thumbnail_path>	NP	Hamas.jpg</thumbnail_path>
<publish_date>20231009</publish_date>	NN	<publish_date>20231009</publish_date>
<doc>	NN	<doc>
Hamas	NN	Hamas
is	VBZ	be
warning	VVG	warn
it	PP	it
will	MD	will
execute	VV	execute
the	DT	the
hostages	NNS	hostage
it	PP	it
kidnapped	VVD	kidnap
over	IN	over
the	DT	the
weekend	NN	weekend
if	IN	if
Israel	NP	Israel
continues	VVZ	continue
to	TO	to
retaliate	VV	retaliate
in	IN	in
Gaza.	NP	Gaza.
I	PP	I
want	VVP	want
to	TO	to
bring	VV	bring
in	IN	in
shelly	JJ	shelly
shem	NN	shem
tov.	NP	tov.
Hamas	NP	Hamas
kidnaped	VVD	kidnap
her	PP$	her
21	CD	@card@
year	NN	year
old	JJ	old
son,	NP	son,
Omer	NP	Omer
from	IN	from
the	DT	the
supernova	NN	supernova
Music	NN	music
festival	NN	festival
on	IN	on
Saturday.	NP	Saturday.
They	PP	they
kidnaped	VVD	kidnap
him	PP	him
and	CC	and
took	VVD	take
him	PP	him
to	TO	to
Gaza.	NP	Gaza.
Shelly,	NP	Shelly,
when	WRB	when
did	VVD	do
you	PP	you
last	JJ	last
year	NN	year
from	IN	from
your	PP$	your
son?	NN	son?
A	DT	a
I	PP	I
heard	VVD	hear
from	IN	from
my	PP$	my
son	NN	son
on	IN	on
a	DT	a
Saturday	NP	Saturday
morning	NN	morning
at	IN	at
8:00	CD	@card@
when	WRB	when
he	PP	he
was	VBD	be
he	PP	he
called	VVD	call
us	PP	us
that	IN/that	that
he	PP	he
is	VBZ	be
in	IN	in
he	PP	he
was	VBD	be
in	IN	in
panic	NN	panic
and	CC	and
he	PP	he
told	VVD	tell
us	PP	us
that	IN/that	that
they	PP	they
are	VBP	be
shooting	VVG	shoot
guns	NNS	gun
and	CC	and
big	JJ	big
mess	NN	mess
there.	RB	there.
And	CC	and
he	PP	he
tried	VVD	try
to	TO	to
escape	VV	escape
with	IN	with
the	DT	the
friends	NNS	friend
car	NN	car
and	CC	and
my	PP$	my
daughter	NN	daughter
told	VVD	tell
him	PP	him
to	TO	to
to	TO	to
send	VV	send
a	DT	a
Google	NP	Google
Live	NP	Live
or	CC	or
and	NP	and
and	CC	and
he	PP	he
sent	VVD	send
us	PP	us
the	DT	the
Israel	NP	Israel
that	IN/that	that
they	PP	they
give	VVP	give
your	PP$	your
life	NN	life
and	CC	and
then	RB	then
we	PP	we
so	RB	so
he	PP	he
told	VVD	tell
us	PP	us
I	PP	I
will	MD	will
talk	VV	talk
with	IN	with
you.	NN	you.
I	PP	I
will	MD	will
talk	VV	talk
with	IN	with
you.	JJ	you.
And	CC	and
then	RB	then
we	PP	we
saw	VVD	see
in	IN	in
the	DT	the
Google	NP	Google
live	JJ	live
map	NN	map
that	IN/that	that
he	PP	he
is	VBZ	be
going	VVG	go
to	TO	to
to	TO	to
near	VV	near
the	DT	the
border.	JJ	border.
And	CC	and
then	RB	then
we	PP	we
saw	VVD	see
that	IN/that	that
he's	NNS	he's
moving	VVG	move
into	IN	into
Gaza.	NP	Gaza.
And	CC	and
it	PP	it
was	VBD	be
the	DT	the
last	JJ	last
time	NN	time
that	IN/that	that
we	PP	we
contacted	VVD	contact
him.	NP	him.
Do	VVP	do
you	PP	you
do	VVP	do
you	PP	you
know	VVP	know
anything	NN	anything
about	IN	about
his	PP$	his
condition	NN	condition
right	NN	right
now?	NN	now?
Has	VHZ	have
has	VHZ	have
Hamas	NN	Hamas
or	CC	or
the	DT	the
IDF	NP	IDF
or	CC	or
the	DT	the
Israeli	JJ	Israeli
government?	NN	government?
Has	VHZ	have
there	RB	there
been	VBN	be
any	DT	any
communication?	JJ	communication?
Yeah,	NP	Yeah,
I	PP	I
don't	VVD	don't
know	VV	know
what	WP	what
is	VBZ	be
what	WP	what
his	PP$	his
condition.	NN	condition.
I	PP	I
know	VVP	know
on	IN	on
the	DT	the
air	NN	air
on	IN	on
Saturday	NP	Saturday
night,	NP	night,
we	PP	we
got	VVD	get
a	DT	a
telegram	NN	telegram
video	NN	video
that	IN/that	that
almost	RB	almost
he	PP	he
was	VBD	be
lying	VVG	lie
down	RP	down
in	IN	in
the	DT	the
back	NN	back
of	IN	of
a	DT	a
pickup	NN	pickup
truck	NN	truck
and	CC	and
handcuffed.	NN	handcuffed.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
video	JJ	video
that.	NN	that.
So	IN	so
I	PP	I
so	RB	so
that	IN/that	that
so	RB	so
that	DT	that
he's	NNS	he's
alive	RB	alive
and	CC	and
he	PP	he
looks	VVZ	look
and	CC	and
that	WDT	that
is	VBZ	be
he's	JJ	he's
okay.	NN	okay.
He	PP	he
didn't	VVD	didn't
get	VV	get
hurt.	JJ	hurt.
And	CC	and
so	RB	so
I	PP	I
know	VVP	know
he's	NNS	he's
alive.	JJ	alive.
But	CC	but
from	IN	from
that	DT	that
video	NN	video
until	IN	until
now,	NP	now,
I	PP	I
don't	VVD	don't
know	VV	know
Nothing.	NP	Nothing.
Nothing.	NP	Nothing.
What	WP	what
message	NN	message
would	MD	would
you	PP	you
want	VV	want
to	TO	to
convey	VV	convey
to	TO	to
the	DT	the
kidnapers?	NN	kidnapers?
The	DT	the
people	NNS	people
that	WDT	that
have	VHP	have
him	PP	him
right	NN	right
now?	NN	now?
What	WP	what
do	VVP	do
you	PP	you
want	VVP	want
to	TO	to
tell	VV	tell
them?	NN	them?
If	IN	if
they're	NN	they're
watching	VVG	watch
right	JJ	right
now,	NNS	now,
I	PP	I
just	RB	just
want	VVP	want
my	PP$	my
my	PP$	my
baby,	VVG	baby,
my	PP$	my
my	PP$	my
son	NN	son
back.	NN	back.
And	CC	and
I	PP	I
want	VVP	want
it	PP	it
to	TO	to
end.	JJ	end.
And	CC	and
I	PP	I
want	VVP	want
to	TO	to
say	VV	say
to	TO	to
everybody	NN	everybody
that	IN/that	that
I'm	NN	I'm
in	IN	in
nightmare	NN	nightmare
and	CC	and
I'm	NN	I'm
it's	NNS	it's
a	DT	a
nightmare	NN	nightmare
that	IN/that	that
that	DT	that
is	VBZ	be
few	JJ	few
days	NNS	day
left,	VVP	left,
that	IN/that	that
I	PP	I
don't	VVD	don't
know	VV	know
what	WP	what
to	TO	to
do	VV	do
and	CC	and
how	WRB	how
to	TO	to
help	VV	help
my	PP$	my
son.	NN	son.
I	PP	I
cannot	MD	can
tell	VV	tell
him.	NN	him.
And	CC	and
the	DT	the
things	NNS	thing
that	WDT	that
I	PP	I
think	VVP	think
that	IN/that	that
I	PP	I
want	VVP	want
is	VBZ	be
only	RB	only
that	IN/that	that
he	PP	he
will	MD	will
come	VV	come
back	JJ	back
that's	NNS	that's
it.	JJ	it.
That's	NP	That's
it.	NP	it.
Shelly	NP	Shelly
Shem	NP	Shem
Tov.	NP	Tov.
We	PP	we
will	MD	will
be	VB	be
thinking	VVG	think
and	CC	and
praying	VVG	pray
for	IN	for
your	PP$	your
son.	NN	son.
Thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
telling	VVG	tell
your	PP$	your
story.	NN	story.
Please	VV	please
stay	NN	stay
in	IN	in
touch	NN	touch
with	IN	with
us	PP	us
so	RB	so
that	IN/that	that
we	PP	we
can	MD	can
continue	VV	continue
to	TO	to
stay	VV	stay
on	IN	on
top	NN	top
of	IN	of
your	PP$	your
son's	NN	son's
story.	NN	story.
Thank	VV	thank
you.	JJ	you.
</doc>	NN	</doc>
