Ambassador	NP	Ambassador
last	JJ	last
week	NN	week
in	IN	in
the	DT	the
German	JJ	German
Parliament	NP	Parliament
the	DT	the
bundestag	NN	bundestag
chancellor	NN	chancellor
Schultz	NP	Schultz
uh	UH	uh
criticized	VVD	criticize
the	DT	the
president	NN	president
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
Mahmud	NP	Mahmud
abas	NNS	aba
for	IN	for
not	RB	not
having	VHG	have
reacted	VVN	react
to	TO	to
what	WP	what
was	VBD	be
taking	VVG	take
place	NN	place
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
Israel	NP	Israel
at	IN	at
the	DT	the
time	VV	time
uh	UH	uh
saying	VVG	say
that	IN/that	that
he	PP	he
thought	VVD	think
it	PP	it
was	VBD	be
a	DT	a
shameful	JJ	shameful
way	NN	way
of	IN	of
reacting	VVG	react
or	CC	or
not	RB	not
reacting	VVG	react
why	WRB	why
did	VVD	do
it	PP	it
take	VVP	take
so	RB	so
long	RB	long
do	VVP	do
you	PP	you
think	VVP	think
for	IN	for
a	DT	a
reaction	NN	reaction
to	TO	to
come	VV	come
from	IN	from
president	NN	president
us	PP	us
well	RB	well
first	RB	first
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
having	VHG	have
me	PP	me
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
uh	UH	uh
no	UH	no
one	PP	one
took	VVD	take
any	DT	any
time	NN	time
to	TO	to
express	VV	express
uh	UH	uh
our	PP$	our
position	NN	position
Vis	NP	Vis
A	NP	A
the	DT	the
events	NNS	event
that	WDT	that
have	VHP	have
been	VBN	be
unfolding	VVG	unfold
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
uh	UH	uh
nine	CD	nine
days	NNS	day
or	CC	or
the	DT	the
events	NNS	event
that	WDT	that
have	VHP	have
been	VBN	be
unfolding	VVG	unfold
uh	UH	uh
the	DT	the
last	JJ	last
75	CD	@card@
years	NNS	year
let	VVD	let
me	PP	me
be	VB	be
very	RB	very
clear	JJ	clear
we	PP	we
'	''	'
ve	RB	ve
been	VBN	be
uh	UH	uh
condemning	VVG	condemn
violence	NN	violence
for	IN	for
75	CD	@card@
years	NNS	year
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
condemning	VVG	condemn
uh	UH	uh
terrorism	NN	terrorism
for	IN	for
75	CD	@card@
years	NNS	year
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
calling	VVG	call
on	IN	on
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
intervene	VV	intervene
to	TO	to
implement	VV	implement
international	JJ	international
law	NN	law
to	TO	to
uphold	VV	uphold
the	DT	the
human	JJ	human
rights	NNS	right
for	IN	for
75	CD	@card@
years	NNS	year
we	PP	we
'	POS	'
ve	NN	ve
signed	VVD	sign
a	DT	a
historic	JJ	historic
peace	NN	peace
agreement	NN	agreement
a	DT	a
peace	NN	peace
agreement	NN	agreement
that	WDT	that
was	VBD	be
signed	VVN	sign
by	IN	by
his	PP$	his
Excellency	NN	Excellency
president	NN	president
abas	NNS	aba
himself	PP	himself
uh	UH	uh
that	WDT	that
promised	VVD	promise
a	DT	a
better	RBR	well
future	JJ	future
for	IN	for
all	PDT	all
the	DT	the
children	NNS	child
and	CC	and
peoples	NNS	people
of	IN	of
the	DT	the
region	NN	region
we	PP	we
remained	VVD	remain
committed	VVN	commit
to	TO	to
that	DT	that
agreement	NN	agreement
we	PP	we
remained	VVD	remain
committed	VVN	commit
to	TO	to
the	DT	the
agreements	NNS	agreement
that	WDT	that
ensued	VVD	ensue
we	PP	we
remain	VVP	remain
committed	VVN	commit
to	TO	to
international	JJ	international
law	NN	law
and	CC	and
to	TO	to
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
to	TO	to
Human	NP	Human
Rights	NPS	Rights
and	CC	and
we	PP	we
remain	VVP	remain
committed	VVN	commit
to	TO	to
these	DT	these
agreements	NNS	agreement
as	IN	as
we	PP	we
speak	VVP	speak
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN/that	that
every	DT	every
single	JJ	single
agreement	NN	agreement
every	DT	every
single	JJ	single
provision	NN	provision
in	IN	in
those	DT	those
agreements	NNS	agreement
were	VBD	be
violated	VVN	violate
by	IN	by
Israel	NP	Israel
had	VHD	have
those	DT	those
agreements	NNS	agreement
been	VBN	be
honored	VVN	honor
had	VHD	have
those	DT	those
agreements	NNS	agreement
been	VBN	be
respected	VVN	respect
had	VHD	have
the	DT	the
International	NP	International
Community	NP	Community
intervened	VVD	intervene
to	TO	to
bring	VV	bring
Israel	NP	Israel
to	TO	to
commit	VV	commit
to	TO	to
those	DT	those
agreements	NNS	agreement
we	PP	we
would	MD	would
have	VH	have
been	VBN	be
in	IN	in
a	DT	a
different	JJ	different
place	NN	place
today	NN	today
so	IN	so
I	PP	I
I	PP	I
I	PP	I
I	PP	I
would	MD	would
respectfully	RB	respectfully
disagree	VV	disagree
uh	UH	uh
with	IN	with
the	DT	the
assumption	NN	assumption
that	IN/that	that
we	PP	we
took	VVD	take
our	PP$	our
time	NN	time
to	TO	to
express	VV	express
our	PP$	our
opinion	NN	opinion
I	PP	I
think	VVP	think
that	DT	that
uh	UH	uh
you	PP	you
took	VVD	take
your	PP$	your
time	NN	time
in	IN	in
hearing	VVG	hear
us	PP	us
out	RP	out
so	IN	so
you	PP	you
are	VBP	be
saying	VVG	say
you	PP	you
said	VVD	say
you	PP	you
condemn	VV	condemn
terrorism	NN	terrorism
uh	UH	uh
does	VVZ	do
that	WDT	that
include	VVP	include
these	DT	these
attacks	NNS	attack
of	IN	of
hamus	NNS	hamus
do	VVP	do
you	PP	you
condemn	VV	condemn
them	PP	them
as	IN	as
terrorism	NN	terrorism
on	IN	on
Israel	NP	Israel
I	NP	I
'	POS	'
ve	NN	ve
told	VVD	tell
you	PP	you
where	WRB	where
we	PP	we
stand	VVP	stand
we	PP	we
condemn	VV	condemn
civil	JJ	civil
the	DT	the
killings	NNS	killing
of	IN	of
civilians	NNS	civilian
everywhere	RB	everywhere
we	PP	we
reject	VVP	reject
the	DT	the
killings	NNS	killing
and	CC	and
targeting	VVG	target
of	IN	of
civilians	NNS	civilian
everywhere	RB	everywhere
irrespective	RB	irrespective
of	IN	of
nationality	NN	nationality
race	NN	race
or	CC	or
religion	NN	religion
we	PP	we
call	VVP	call
for	IN	for
the	DT	the
immediate	JJ	immediate
release	NN	release
of	IN	of
hostages	NNS	hostage
uh	UH	uh
prisoners	NNS	prisoner
detainees	NNS	detainee
on	IN	on
both	DT	both
sides	NNS	side
we	PP	we
wish	VVP	wish
to	TO	to
see	VV	see
an	DT	an
immediate	JJ	immediate
end	NN	end
to	TO	to
the	DT	the
ongoing	JJ	ongoing
aggression	NN	aggression
that	WDT	that
has	VHZ	have
so	RB	so
far	RB	far
claimed	VVD	claim
the	DT	the
lives	NNS	life
of	IN	of
thousands	NNS	thousand
of	IN	of
innocent	JJ	innocent
people	NNS	people
we	PP	we
wish	VVP	wish
to	TO	to
see	VV	see
the	DT	the
current	JJ	current
trajectory	NN	trajectory
the	DT	the
of	IN	of
which	WDT	which
only	RB	only
portends	VVZ	portend
the	DT	the
death	NN	death
and	CC	and
murder	NN	murder
of	IN	of
thousands	NNS	thousand
more	RBR	more
we	PP	we
wish	VVP	wish
to	TO	to
see	VV	see
an	DT	an
end	NN	end
to	TO	to
the	DT	the
current	JJ	current
trajectory	NN	trajectory
and	CC	and
that	IN/that	that
trajectory	NN	trajectory
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
end	VV	end
without	IN	without
a	DT	a
meaningful	JJ	meaningful
serious	JJ	serious
intervention	NN	intervention
by	IN	by
the	DT	the
International	NP	International
Community	NP	Community
what	WP	what
kind	NN	kind
of	IN	of
intervention	NN	intervention
are	VBP	be
you	PP	you
talking	VVG	talk
about	RB	about
to	TO	to
bring	VV	bring
Israel	NP	Israel
to	TO	to
end	VV	end
the	DT	the
aggression	NN	aggression
what	WP	what
is	VBZ	be
happening	VVG	happen
today	NN	today
in	IN	in
Gaza	NP	Gaza
as	IN	as
you	PP	you
see	VVP	see
is	VBZ	be
an	DT	an
unbridled	JJ	unbridled
aggression	NN	aggression
that	WDT	that
is	VBZ	be
targeting	VVG	target
the	DT	the
most	RBS	most
innocent	JJ	innocent
the	DT	the
people	NNS	people
that	WDT	that
had	VHD	have
no	DT	no
hand	NN	hand
or	CC	or
decision	NN	decision
in	IN	in
the	DT	the
conflict	NN	conflict
that	WDT	that
has	VHZ	have
started	VVN	start
not	RB	not
9	CD	@card@
days	NNS	day
ago	RB	ago
but	CC	but
has	VHZ	have
been	VBN	be
ongoing	JJ	ongoing
