hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
fled	VVN	flee
the	DT	the
city	NN	city
of	IN	of
Rafa	NP	Rafa
as	IN	as
Israeli	JJ	Israeli
forces	NNS	force
intensify	VV	intensify
their	PP$	their
military	JJ	military
operation	NN	operation
there	RB	there
neighboring	VVG	neighbor
Egypt	NP	Egypt
has	VHZ	have
now	RB	now
told	VVN	tell
the	DT	the
United	NP	United
States	NP	States
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	JJ	s
actions	NNS	action
in	IN	in
Gaza	NP	Gaza
are	VBP	be
jeopardizing	VVG	jeopardize
Regional	JJ	regional
security	NN	security
foreign	JJ	foreign
minister	NN	minister
Sam	NP	Sam
shukri	NP	shukri
discussed	VVD	discuss
the	DT	the
need	NN	need
to	TO	to
restart	VV	restart
Aid	NN	aid
deliveries	NNS	delivery
to	TO	to
Gaza	NP	Gaza
in	IN	in
a	DT	a
phone	NN	phone
call	NN	call
with	IN	with
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
the	DT	the
two	CD	two
also	RB	also
discussed	VVN	discuss
the	DT	the
Israeli	JJ	Israeli
seizure	NN	seizure
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
of	IN	of
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
Cairo	NP	Cairo
says	VVZ	say
the	DT	the
presence	NN	presence
of	IN	of
Israeli	JJ	Israeli
troops	NNS	troop
and	CC	and
tanks	NNS	tank
violates	VVZ	violate
2007	CD	@card@
treaty	NN	treaty
Israel	NP	Israel
'	POS	'
s	NN	S
move	NN	move
has	VHZ	have
exacerbated	VVN	exacerbate
simmering	VVG	simmer
tensions	NNS	tension
between	IN	between
Egypt	NP	Egypt
and	CC	and
Israel	NP	Israel
so	RB	so
much	RB	much
so	RB	so
that	IN/that	that
Egypt	NP	Egypt
