<video_id>sz0O7_Ex2Po</video_id>	JJ	<video_id>sz0O7_Ex2Po</video_id>
<video_title>Live:	NN	<video_title>Live:
South	NP	South
Africa	NP	Africa
asks	VVZ	ask
top	JJ	top
UN	NP	UN
court	NN	court
to	TO	to
stop	VV	stop
Israel's	NP	Israel's
Rafah	NP	Rafah
offensive	NN	offensive
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Live	JJ	<thumbnail_path>en_DW\Live
South	NP	South
Africa	NP	Africa
asks	VVZ	ask
top	JJ	top
UN	NP	UN
court	NN	court
to	TO	to
stop	VV	stop
Israel's	NP	Israel's
Rafah	NP	Rafah
offensive	NN	offensive
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240516</publish_date>	NN	<publish_date>20240516</publish_date>
<doc>	NN	<doc>
is	VBZ	be
escalating	VVG	escalate
its	PP$	its
attacks	NNS	attack
on	IN	on
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
so	RB	so
doing	VVG	do
is	VBZ	be
willfully	RB	willfully
breaching	VVG	breach
The	DT	the
Binding	JJ	binding
orders	NNS	order
of	IN	of
this	DT	this
court	NN	court
Israel	NP	Israel
similarly	RB	similarly
breaches	VVZ	breach
The	DT	the
Binding	JJ	binding
resolutions	NNS	resolution
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
erroneously	RB	erroneously
believing	VVG	believe
from	IN	from
the	DT	the
lack	NN	lack
of	IN	of
counter	JJ	counter
measures	NNS	measure
by	IN	by
the	DT	the
International	NP	International
Community	NP	Community
that	IN/that	that
it	PP	it
is	VBZ	be
exempt	JJ	exempt
from	IN	from
having	VHG	have
to	TO	to
respect	VV	respect
international	JJ	international
law	NN	law
this	DT	this
institutionalized	VVN	institutionalize
impunity	NN	impunity
has	VHZ	have
LED	VVN	lead
Israel	NP	Israel
to	TO	to
engage	VV	engage
in	IN	in
in	IN	in
this	DT	this
genocide	NN	genocide
which	WDT	which
has	VHZ	have
shocked	VVN	shock
the	DT	the
conscience	NN	conscience
of	IN	of
humanity	NN	humanity
South	NP	South
Africa	NP	Africa
is	VBZ	be
mindful	JJ	mindful
that	IN/that	that
the	DT	the
present	JJ	present
genocide	NN	genocide
operates	VVZ	operate
in	IN	in
denial	NN	denial
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people's	NNS	people's
inalienable	JJ	inalienable
right	NN	right
to	TO	to
self-determination	NN	self-determination
and	CC	and
Collective	JJ	collective
right	NN	right
to	TO	to
return	VV	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
Palestine	NP	Palestine
this	DT	this
genocide	NN	genocide
takes	VVZ	take
place	NN	place
within	IN	within
the	DT	the
context	NN	context
of	IN	of
the	DT	the
ongoing	JJ	ongoing
nagba	NN	nagba
the	DT	the
76th	JJ	76th
anniversary	NN	anniversary
of	IN	of
which	WDT	which
was	VBD	be
celebrated	VVN	celebrate
yesterday	NN	yesterday
the	DT	the
continued	JJ	continued
Force	NP	Force
displacement	NN	displacement
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
the	DT	the
Eraser	NN	eraser
of	IN	of
Palestinian	JJ	Palestinian
presence	NN	presence
in	IN	in
Palestine	NP	Palestine
and	CC	and
replacement	NN	replacement
with	IN	with
Colonial	NP	Colonial
settlers	NNS	settler
a	DT	a
criminal	JJ	criminal
process	NN	process
entrenched	VVN	entrench
and	CC	and
maintained	VVN	maintain
by	IN	by
76	CD	@card@
years	NNS	year
of	IN	of
apartate	NN	apartate
and	CC	and
56	CD	@card@
years	NNS	year
of	IN	of
illegal	JJ	illegal
belligerent	JJ	belligerent
occupation	NN	occupation
undoubtedly	RB	undoubtedly
the	DT	the
ongoing	JJ	ongoing
sins	NNS	sin
of	IN	of
Palestinians	NNS	Palestinian
being	VBG	be
forced	VVN	force
to	TO	to
repeatedly	RB	repeatedly
free	JJ	free
for	IN	for
their	PP$	their
lives	NNS	life
is	VBZ	be
only	RB	only
remiss	JJ	remiss
of	IN	of
the	DT	the
naagar	NN	naagar
of	IN	of
1948	CD	@card@
it	PP	it
is	VBZ	be
a	DT	a
continuation	NN	continuation
of	IN	of
it	PP	it
7	CD	@card@
months	NNS	month
ago	RB	ago
South	NP	South
Africa	NP	Africa
could	MD	could
not	RB	not
have	VH	have
imagined	VVN	imagine
that	IN/that	that
Gaza	NP	Gaza
would	MD	would
now	RB	now
be	VB	be
mostly	RB	mostly
wiped	VVN	wipe
off	RP	off
the	DT	the
map	NN	map
it	PP	it
could	MD	could
not	RB	not
foresee	VV	foresee
that	IN/that	that
every	DT	every
family	NN	family
every	DT	every
neighborhood	NN	neighborhood
every	DT	every
class	NN	class
of	IN	of
students	NNS	student
every	DT	every
workplace	NN	workplace
would	MD	would
be	VB	be
pulled	VVN	pull
apart	RB	apart
killed	VVD	kill
maimed	VVD	maim
displaced	VVN	displace
malnourished	JJ	malnourished
or	CC	or
starved	VVN	starve
South	NP	South
Africa	NP	Africa
had	VHD	have
hoped	VVN	hope
when	WRB	when
we	PP	we
last	RB	last
appeared	VVD	appear
before	IN	before
this	DT	this
court	NN	court
to	TO	to
hold	VV	hold
this	DT	this
genocidal	JJ	genocidal
process	NN	process
to	TO	to
preserve	VV	preserve
Palestine	NP	Palestine
and	CC	and
its	PP$	its
people	NNS	people
instead	RB	instead
Israel's	NP	Israel's
genocide	NN	genocide
has	VHZ	have
continued	VVN	continue
a	DT	a
paace	NN	paace
and	CC	and
has	VHZ	have
just	RB	just
reached	VVN	reach
a	DT	a
new	JJ	new
and	CC	and
horrific	JJ	horrific
stage	NN	stage
Israel	NP	Israel
has	VHZ	have
sought	VVN	seek
to	TO	to
F	NN	F
its	PP$	its
crimes	NNS	crime
through	IN	through
the	DT	the
weaponization	NN	weaponization
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
it	PP	it
pretends	VVZ	pretend
that	IN/that	that
the	DT	the
civilians	NNS	civilian
it	PP	it
ruthlessly	RB	ruthlessly
kills	VVZ	kill
through	IN	through
its	PP$	its
2,000	CD	@card@
PB	NP	PB
bombs	NNS	bomb
through	IN	through
its	PP$	its
targeted	JJ	targeted
air	NN	air
strikes	NNS	strike
through	IN	through
its	PP$	its
artificial	JJ	artificial
intelligence	NN	intelligence
systems	NNS	system
through	IN	through
its	PP$	its
executions	NNS	execution
are	VBP	be
human	JJ	human
Shields	NP	Shields
this	DT	this
whitewashing	VVG	whitewash
of	IN	of
Israel's	NP	Israel's
genocide	NN	genocide
misses	VVZ	miss
the	DT	the
key	JJ	key
and	CC	and
fundamental	JJ	fundamental
element	NN	element
that	IN/that	that
of	IN	of
the	DT	the
massive	JJ	massive
and	CC	and
still	RB	still
mounting	VVG	mount
evidence	NN	evidence
of	IN	of
Israel's	NP	Israel's
genocidal	JJ	genocidal
intent	NN	intent
documented	VVN	document
documents	NNS	document
and	CC	and
videos	NNS	video
of	IN	of
Israeli	JJ	Israeli
parliamentarians	NNS	parliamentarian
and	CC	and
military	JJ	military
leaders	NNS	leader
calling	VVG	call
for	IN	for
the	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
Gaza	NP	Gaza
incitement	NN	incitement
by	IN	by
Israeli	JJ	Israeli
civil	JJ	civil
society	NN	society
and	CC	and
leading	VVG	lead
public	JJ	public
Israeli	JJ	Israeli
figures	NNS	figure
all	RB	all
collectively	RB	collectively
supporting	VVG	support
the	DT	the
genocide	NN	genocide
and	CC	and
its	PP$	its
continuation	NN	continuation
Israel	NP	Israel
continues	VVZ	continue
to	TO	to
show	VV	show
utter	JJ	utter
contempt	NN	contempt
for	IN	for
Palestinian	JJ	Palestinian
life	NN	life
operating	VVG	operate
with	IN	with
impunity	NN	impunity
South	NP	South
Africa	NP	Africa
has	VHZ	have
no	RB	no
no	DT	no
other	JJ	other
option	NN	option
than	IN	than
to	TO	to
once	RB	once
again	RB	again
seek	VV	seek
protection	NN	protection
in	IN	in
the	DT	the
halls	NNS	hall
of	IN	of
justice	NN	justice
for	IN	for
the	DT	the
fundamental	JJ	fundamental
rights	NNS	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
their	PP$	their
existence	NN	existence
although	IN	although
this	DT	this
present	JJ	present
application	NN	application
was	VBD	be
triggered	VVN	trigger
by	IN	by
the	DT	the
unfolding	VVG	unfold
horrific	JJ	horrific
situation	NN	situation
in	IN	in
Rafa	NP	Rafa
Israel's	NP	Israel's
genocidal	JJ	genocidal
Onslaught	NN	onslaught
across	IN	across
C	NP	C
has	VHZ	have
intensified	VVN	intensify
over	IN	over
the	DT	the
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
also	RB	also
warranting	VVG	warrant
the	DT	the
attention	NN	attention
of	IN	of
this	DT	this
court	NN	court
with	IN	with
that	DT	that
Mr	NP	Mr
President	NP	President
I	PP	I
respectably	RB	respectably
wish	VVP	wish
to	TO	to
request	VV	request
you	PP	you
to	TO	to
invite	VV	invite
Professor	NP	Professor
Von	NP	Von
L	NP	L
to	TO	to
set	VV	set
out	RP	out
South	NP	South
Africa	NP	Africa
substantive	JJ	substantive
legal	JJ	legal
arguments	NNS	argument
I	PP	I
thank	VVP	thank
you	PP	you
I	PP	I
thank	VVP	thank
the	DT	the
agent	NN	agent
of	IN	of
South	NP	South
