seated	VVN	seat
the	DT	the
sitting	VVG	sit
is	VBZ	be
open	RB	open
the	DT	the
court	NN	court
meets	VVZ	meet
today	NN	today
and	CC	and
will	MD	will
meet	VV	meet
tomorrow	NN	tomorrow
under	IN	under
article	NN	article
74	CD	@card@
paragraph	NN	paragraph
3	CD	@card@
of	IN	of
the	DT	the
rules	NNS	rule
of	IN	of
court	NN	court
to	TO	to
hear	VV	hear
the	DT	the
oral	JJ	oral
observations	NNS	observation
of	IN	of
the	DT	the
parties	NNS	party
on	IN	on
the	DT	the
request	NN	request
for	IN	for
the	DT	the
indic	NN	indic
of	IN	of
provisional	JJ	provisional
measures	NNS	measure
submitted	VVN	submit
by	IN	by
the	DT	the
Republic	NP	Republic
of	IN	of
South	NP	South
Africa	NP	Africa
in	IN	in
the	DT	the
case	NN	case
concerning	VVG	concern
application	NN	application
of	IN	of
the	DT	the
convention	NN	convention
on	IN	on
the	DT	the
prevention	NN	prevention
and	CC	and
Punishment	NN	punishment
of	IN	of
the	DT	the
crime	NN	crime
of	IN	of
genocide	NN	genocide
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
South	NP	South
Africa	NP	Africa
versus	CC	versus
Israel	NP	Israel
the	DT	the
court	NN	court
does	VVZ	do
not	RB	not
include	VV	include
upon	IN	upon
the	DT	the
bench	NN	bench
a	DT	a
judge	NN	judge
of	IN	of
the	DT	the
nationality	NN	nationality
of	IN	of
either	DT	either
party	NN	party
accordingly	RB	accordingly
both	DT	both
parties	NNS	party
Avail	VVP	avail
themselves	PP	themselves
of	IN	of
the	DT	the
right	NN	right
under	IN	under
article	NN	article
31	CD	@card@
paragraph	NN	paragraph
3	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
to	TO	to
choose	VV	choose
a	DT	a
judge	NN	judge
ad	FW	ad
hoc	FW	hoc
South	NP	South
Africa	NP	Africa
has	VHZ	have
chosen	VVN	choose
judge	NN	judge
dikang	NN	dikang
Ernest	NP	Ernest
Mosen	NP	Mosen
and	CC	and
Israel	NP	Israel
judge	NN	judge
Aaron	NP	Aaron
Barack	NP	Barack
article	NN	article
20	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
provides	VVZ	provide
that	IN/that	that
every	DT	every
member	NN	member
of	IN	of
the	DT	the
Court	NP	Court
shall	MD	shall
before	IN	before
taking	VVG	take
up	RP	up
his	PP$	his
duties	NNS	duty
make	VVP	make
a	DT	a
solemn	JJ	solemn
declaration	NN	declaration
in	IN	in
open	JJ	open
court	NN	court
that	IN/that	that
he	PP	he
will	MD	will
exercise	VV	exercise
his	PP$	his
powers	NNS	power
impartially	RB	impartially
and	CC	and
conscientiously	RB	conscientiously
pursuant	JJ	pursuant
to	TO	to
article	VV	article
31	CD	@card@
paragraph	NN	paragraph
6	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
that	IN/that	that
same	JJ	same
provision	NN	provision
applies	VVZ	apply
to	TO	to
judges	NNS	judge
ad	FW	ad
hoc	FW	hoc
before	IN	before
inviting	VVG	invite
judge	NN	judge
syic	JJ	syic
judge	NN	judge
Barack	NP	Barack
to	TO	to
make	VV	make
their	PP$	their
solemn	JJ	solemn
declarations	NNS	declaration
I	PP	I
shall	MD	shall
first	RB	first
in	IN	in
accordance	NN	accordance
with	IN	with
custom	NN	custom
say	VVP	say
a	DT	a
few	JJ	few
words	NNS	word
about	IN	about
their	PP$	their
careers	NNS	career
and	CC	and
qualifications	NNS	qualification
judge	NN	judge
dick	NN	dick
gong	NN	gong
Ernest	NP	Ernest
Mosen	NP	Mosen
of	IN	of
South	NP	South
African	NP	African
nationality	NN	nationality
has	VHZ	have
had	VHN	have
a	DT	a
distinguished	JJ	distinguished
career	NN	career
as	IN	as
a	DT	a
judge	NN	judge
law	NN	law
practitioner	NN	practitioner
and	CC	and
academic	JJ	academic
after	IN	after
obtaining	VVG	obtain
degrees	NNS	degree
in	IN	in
English	JJ	English
political	JJ	political
science	NN	science
and	CC	and
law	NN	law
from	IN	from
the	DT	the
University	NP	University
of	IN	of
South	NP	South
Africa	NP	Africa
he	PP	he
practiced	VVD	practice
as	IN	as
an	DT	an
attorney	NN	attorney
and	CC	and
an	DT	an
advocate	NN	advocate
with	IN	with
the	DT	the
Petoria	NP	Petoria
bar	NN	bar
in	IN	in
20	CD	@card@
2001	CD	@card@
he	PP	he
was	VBD	be
appointed	VVN	appoint
a	DT	a
judge	NN	judge
on	IN	on
the	DT	the
high	JJ	high
court	NN	court
in	IN	in
ptor	NN	ptor
and	CC	and
a	DT	a
year	NN	year
later	RBR	later
