than	IN	than
you	PP	you
Mr	NP	Mr
President	NP	President
colleagues	NNS	colleague
finding	VVG	find
a	DT	a
way	NN	way
to	TO	to
better	RBR	well
support	VV	support
African	NP	African
Union	NP	Union
Le	NP	Le
peace	NN	peace
support	NN	support
operations	NNS	operation
is	VBZ	be
a	DT	a
priority	NN	priority
for	IN	for
the	DT	the
United	NP	United
States	NPS	States
in	IN	in
2016	CD	@card@
we	PP	we
spearheaded	VVD	spearhead
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
2320	CD	@card@
which	WDT	which
cemented	VVD	cement
the	DT	the
consensus	NN	consensus
behind	IN	behind
the	DT	the
idea	NN	idea
of	IN	of
Burden	NP	Burden
sharing	VVG	share
between	IN	between
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
the	DT	the
African	NP	African
Union	NP	Union
to	TO	to
support	VV	support
the	DT	the
deployment	NN	deployment
and	CC	and
sustainment	NN	sustainment
of	IN	of
these	DT	these
operations	NNS	operation
that	IN/that	that
resolution	NN	resolution
was	VBD	be
adopted	VVN	adopt
unanimously	RB	unanimously
by	IN	by
the	DT	the
council	NN	council
with	IN	with
all	DT	all
council	NN	council
members	NNS	member
to	TO	to
reach	VV	reach
consensus	NN	consensus
on	IN	on
this	DT	this
draft	NN	draft
resolution	NN	resolution
and	CC	and
we	PP	we
commend	VVP	commend
the	DT	the
pen	NN	pen
holders	NNS	holder
for	IN	for
their	PP$	their
efforts	NNS	effort
as	IN	as
well	RB	well
and	CC	and
to	TO	to
be	VB	be
clear	VV	clear
there	EX	there
are	VBP	be
many	JJ	many
important	JJ	important
elements	NNS	element
in	IN	in
this	DT	this
draft	NN	draft
resolution	NN	resolution
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
supports	VVZ	support
but	CC	but
there	EX	there
is	VBZ	be
one	CD	one
critical	JJ	critical
element	NN	element
that	IN/that	that
this	DT	this
resolution	NN	resolution
lacks	VVZ	lack
an	DT	an
explicit	JJ	explicit
delineation	NN	delineation
of	IN	of
the	DT	the
financial	JJ	financial
burden	NN	burden
that	IN/that	that
UN	NP	UN
member	NN	member
states	NNS	state
will	MD	will
need	VV	need
to	TO	to
bear	VV	bear
for	IN	for
these	DT	these
operations	NNS	operation
as	RB	as
drafted	VVD	draft
we	PP	we
interpret	VV	interpret
the	DT	the
draft	NN	draft
resolution	NN	resolution
as	RB	as
not	RB	not
repeat	VV	repeat
not	RB	not
100	CD	@card@
%	NN	%
funding	NN	funding
from	IN	from
the	DT	the
UN	NP	UN
since	IN	since
