<video_id>uC6VJnEUctQ</video_id>	JJ	<video_id>uC6VJnEUctQ</video_id>
<video_title>Why	JJ	<video_title>Why
hasn't	NN	hasn't
Hamas	NNS	Hamas
accepted	VVD	accept
the	DT	the
peace	NN	peace
plan	NN	plan
as	IN	as
it	PP	it
was	VBD	be
laid	VVN	lay
out?	NN	out?
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Why	NP	<thumbnail_path>en_DW\Why
hasn't	NP	hasn't
Hamas	NP	Hamas
accepted	VVD	accept
the	DT	the
peace	NN	peace
plan	NN	plan
as	IN	as
it	PP	it
was	VBD	be
laid	VVN	lay
out	IN	out
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240613</publish_date>	NN	<publish_date>20240613</publish_date>
<doc>	NN	<doc>
We	PP	we
Begin	NP	Begin
the	DT	the
day	NN	day
with	IN	with
the	DT	the
question	NN	question
are	VBP	be
we	PP	we
any	RB	any
closer	RBR	closer
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
according	VVG	accord
to	TO	to
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
the	DT	the
answer	NN	answer
is	VBZ	be
yes	UH	yes
and	CC	and
only	RB	only
one	CD	one
thing	NN	thing
is	VBZ	be
standing	VVG	stand
in	IN	in
the	DT	the
way	NN	way
the	DT	the
militant	JJ	militant
group	NN	group
Hamas	NN	Hamas
Hamas	NN	Hamas
which	WDT	which
is	VBZ	be
regarded	VVN	regard
by	IN	by
many	JJ	many
countries	NNS	country
as	IN	as
a	DT	a
terrorist	JJ	terrorist
organization	NN	organization
reportedly	RB	reportedly
reacted	VVD	react
positively	RB	positively
to	TO	to
the	DT	the
proposal	NN	proposal
backed	VVN	back
by	IN	by
the	DT	the
US	NP	US
for	IN	for
a	DT	a
truce	NN	truce
but	CC	but
now	RB	now
it's	NNS	it's
asking	VVG	ask
for	IN	for
changes	NNS	change
many	JJ	many
of	IN	of
those	DT	those
