high	JJ	high
-	NN	-
ranking	VVG	rank
members	NNS	member
of	IN	of
Iran	NP	Iran
'	POS	'
s	JJ	s
paramilitary	JJ	paramilitary
revolutionary	JJ	revolutionary
guard	NN	guard
have	VHP	have
reportedly	RB	reportedly
been	VBN	be
killed	VVN	kill
in	IN	in
a	DT	a
suspected	JJ	suspected
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
in	IN	in
Syria	NP	Syria
Iranian	NP	Iranian
and	CC	and
Syrian	NP	Syrian
State	NP	State
media	NNS	medium
say	VVP	say
a	DT	a
commander	NN	commander
and	CC	and
one	CD	one
of	IN	of
his	PP$	his
deputies	NNS	deputy
died	VVN	die
in	IN	in
the	DT	the
strike	NN	strike
as	RB	as
well	RB	well
as	IN	as
two	CD	two
more	JJR	more
members	NNS	member
of	IN	of
the	DT	the
force	NN	force
it	PP	it
hit	VVD	hit
a	DT	a
building	NN	building
in	IN	in
the	DT	the
capital	JJ	capital
Damascus	NP	Damascus
Rescuers	NNS	rescuer
are	VBP	be
still	RB	still
searching	VVG	search
for	IN	for
people	NNS	people
trapped	VVN	trap
inside	IN	inside
the	DT	the
rubble	NN	rubble
Regional	JJ	regional
tensions	NNS	tension
are	VBP	be
escalating	VVG	escalate
as	IN	as
Israel	NP	Israel
continues	VVZ	continue
its	PP$	its
war	NN	war
on	IN	on
Hamas	NNS	Hamas
in	IN	in
response	NN	response
to	TO	to
the	DT	the
October	NP	October
7th	JJ	7th
Terror	NN	terror
attacks	NNS	attack
let	VVD	let
'	''	'
s	NNS	s
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
now	RB	now
from	IN	from
DW	JJ	DW
special	JJ	special
correspondent	NN	correspondent
AIA	NP	AIA
Ibrahim	NP	Ibrahim
in	IN	in
Jerusalem	NP	Jerusalem
a	DT	a
can	MD	can
you	PP	you
confirm	VV	confirm
this	DT	this
was	VBD	be
an	DT	an
Israeli	JJ	Israeli
attack	NN	attack
no	RB	no
we	PP	we
can	MD	can
'	''	'
t	NN	t
confirm	VVP	confirm
that	IN/that	that
because	IN	because
there	EX	there
has	VHZ	have
not	RB	not
yet	RB	yet
been	VBN	be
any	DT	any
comment	NN	comment
from	IN	from
Israel	NP	Israel
regarding	VVG	regard
uh	UH	uh
that	DT	that
uh	UH	uh
air	NN	air
strike	NN	strike
um	NN	um
that	RB	that
'	POS	'
s	NN	S
not	RB	not
unusual	JJ	unusual
for	IN	for
strikes	NNS	strike
believed	VVN	believe
to	TO	to
be	VB	be
um	RB	um
believed	VVN	believe
to	TO	to
have	VH	have
Israel	NP	Israel
behind	IN	behind
them	PP	them
uh	UH	uh
in	IN	in
the	DT	the
region	NN	region
earlier	RBR	earlier
uh	UH	uh
this	DT	this
month	NN	month
um	NN	um
an	DT	an
an	DT	an
alleged	JJ	alleged
Israeli	JJ	Israeli
drone	NN	drone
strike	NN	strike
killed	VVD	kill
a	DT	a
senior	JJ	senior
Hamas	NN	Hamas
advisor	NN	advisor
uh	UH	uh
in	IN	in
Beirut	NP	Beirut
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
never	RB	never
confirmed	VVN	confirm
nor	CC	nor
denied	VVN	deny
or	CC	or
taken	VVN	take
any	DT	any
responsibility	NN	responsibility
for	IN	for
it	PP	it
although	IN	although
it	PP	it
is	VBZ	be
widely	RB	widely
believed	VVN	believe
that	IN/that	that
it	PP	it
was	VBD	be
an	DT	an
Israeli	JJ	Israeli
uh	UH	uh
uh	UH	uh
attack	NN	attack
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
unusual	JJ	unusual
not	RB	not
to	TO	to
have	VH	have
comment	NN	comment
so	RB	so
soon	RB	soon
after	IN	after
a	DT	a
strike	NN	strike
or	CC	or
to	TO	to
never	RB	never
get	VV	get
comment	NN	comment
at	IN	at
all	PDT	all
this	DT	this
information	NN	information
is	VBZ	be
um	VVG	um
you	PP	you
about	IN	about
the	DT	the
strike	NN	strike
has	VHZ	have
been	VBN	be
announced	VVN	announce
on	IN	on
Iranian	JJ	Iranian
uh	UH	uh
State	NP	State
uh	UH	uh
uh	UH	uh
media	NNS	medium
that	WDT	that
'	POS	'
s	NNS	s
according	VVG	accord
to	TO	to
the	DT	the
Reuters	NP	Reuters
news	NN	news
agency	NN	agency
and	CC	and
what	WP	what
do	VVP	do
you	PP	you
know	VVP	know
about	IN	about
the	DT	the
people	NNS	people
who	WP	who
were	VBD	be
targeted	VVN	target
we	PP	we
know	VVP	know
again	RB	again
according	VVG	accord
to	TO	to
uh	UH	uh
Iranian	JJ	Iranian
State	NP	State
media	NNS	medium
that	IN/that	that
these	DT	these
were	VBD	be
for	IN	for
um	JJ	um
revolutionary	JJ	revolutionary
guard	NN	guard
advisers	NNS	adviser
military	JJ	military
advisers	NNS	adviser
that	WDT	that
were	VBD	be
in	IN	in
Damascus	NP	Damascus
advising	VVG	advise
uh	UH	uh
the	DT	the
government	NN	government
of	IN	of
um	JJ	um
president	NN	president
Bashar	NP	Bashar
al	NP	al
-	NN	-
assad	NN	assad
who	WP	who
is	VBZ	be
closely	RB	closely
Allied	JJ	allied
uh	UH	uh
with	IN	with
Iran	NP	Iran
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
strong	JJ	strong
backers	NNS	backer
of	IN	of
the	DT	the
