<video_id>6PMv_Z6a_yU</video_id>	JJ	<video_id>6PMv_Z6a_yU</video_id>
<video_title>EU	NN	<video_title>EU
ministers	NNS	minister
meet	VVP	meet
with	IN	with
Israeli	JJ	Israeli
and	CC	and
Palestinian	JJ	Palestinian
counterparts	NNS	counterpart
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\EU	NN	<thumbnail_path>en_DW\EU
ministers	NNS	minister
meet	VVP	meet
with	IN	with
Israeli	JJ	Israeli
and	CC	and
Palestinian	JJ	Palestinian
counterparts	NNS	counterpart
DW	JJ	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240122</publish_date>	NN	<publish_date>20240122</publish_date>
<doc>	NN	<doc>
EU	NP	EU
foreign	JJ	foreign
ministers	NNS	minister
are	VBP	be
meeting	VVG	meet
today	NN	today
hoping	VVG	hope
to	TO	to
agree	VV	agree
on	IN	on
a	DT	a
road	NN	road
map	NN	map
to	TO	to
peace	NN	peace
in	IN	in
the	DT	the
Israeli	JJ	Israeli
Palestinian	JJ	Palestinian
conflict	NN	conflict
the	DT	the
eu's	NN	eu's
initiative	NN	initiative
comes	VVZ	come
as	IN	as
Israel	NP	Israel
faces	VVZ	face
mounting	VVG	mount
International	NP	International
pressure	NN	pressure
to	TO	to
end	VV	end
its	PP$	its
offensive	NN	offensive
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
their	PP$	their
plan	NN	plan
is	VBZ	be
a	DT	a
call	NN	call
for	IN	for
a	DT	a
preparatory	JJ	preparatory
peace	NN	peace
conference	NN	conference
that	WDT	that
would	MD	would
be	VB	be
organized	VVN	organize
by	IN	by
the	DT	the
EU	NP	EU
Egypt	NP	Egypt
Jordan	NP	Jordan
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
the	DT	the
league	NN	league
of	IN	of
Arab	JJ	Arab
n	NN	n
Arab	JJ	Arab
states	NNS	state
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
United	NP	United
Nations	NPS	Nations
would	MD	would
also	RB	also
be	VB	be
invited	VVN	invite
to	TO	to
take	VV	take
part	NN	part
Germany's	NP	Germany's
foreign	JJ	foreign
minister	NN	minister
has	VHZ	have
the	DT	the
only	JJ	only
solution	NN	solution
to	TO	to
the	DT	the
conflict	NN	conflict
is	VBZ	be
a	DT	a
two-state	NN	two-state
solution	NN	solution
Israel	NP	Israel
can	MD	can
only	RB	only
be	VB	be
safe	JJ	safe
if	IN	if
Palestinians	NPS	Palestinians
are	VBP	be
safe	JJ	safe
and	CC	and
if	IN	if
they	PP	they
can	MD	can
live	VV	live
with	IN	with
dignity	NN	dignity
and	CC	and
Palestinians	NNS	Palestinian
can	MD	can
only	RB	only
be	VB	be
safe	JJ	safe
and	CC	and
live	JJ	live
with	IN	with
dignity	NN	dignity
and	CC	and
freedom	NN	freedom
if	IN	if
Israel	NP	Israel
is	VBZ	be
safe	JJ	safe
that	WDT	that
is	VBZ	be
why	WRB	why
the	DT	the
two-state	NN	two-state
solution	NN	solution
is	VBZ	be
the	DT	the
only	JJ	only
solution	NN	solution
and	CC	and
all	DT	all
of	IN	of
those	DT	those
who	WP	who
are	VBP	be
not	RB	not
in	IN	in
favor	NN	favor
of	IN	of
this	DT	this
have	VHP	have
so	RB	so
far	RB	far
failed	VVN	fail
to	TO	to
come	VV	come
up	RP	up
with	IN	with
an	DT	an
alternative	JJ	alternative
solution	NN	solution
there	EX	there
can	MD	can
only	RB	only
be	VB	be
peace	NN	peace
if	IN	if
there's	JJ	there's
peace	NN	peace
for	IN	for
all	PDT	all
the	DT	the
people	NNS	people
living	VVG	live
in	IN	in
the	DT	the
region	NN	region
I'm	NN	I'm
joined	VVD	join
Now	RB	now
by	IN	by
DW	NP	DW
Brussels	NP	Brussels
correspondent	NN	correspondent
Jack	NP	Jack
perck	NP	perck
reporting	VVG	report
from	IN	from
that	DT	that
meeting	NN	meeting
of	IN	of
the	DT	the
EU	NP	EU
foreign	NN	foreign
ministers	VVZ	minister
hi	UH	hi
Jack	NP	Jack
we've	NP	we've
just	RB	just
heard	VVD	hear
an	DT	an
Elena	NP	Elena
barbach	NP	barbach
there	RB	there
demanding	VVG	demand
a	DT	a
two	CD	two
State	NN	state
solution	NN	solution
is	VBZ	be
there	RB	there
General	JJ	general
agreement	NN	agreement
among	IN	among
EU	NP	EU
foreign	JJ	foreign
ministers	NNS	minister
that	IN/that	that
that	WDT	that
this	DT	this
is	VBZ	be
the	DT	the
preferred	JJ	preferred
option	NN	option
for	IN	for
peace	NN	peace
region	NN	region
it	PP	it
definitely	RB	definitely
is	VBZ	be
and	CC	and
it's	NNS	it's
been	VBN	be
really	RB	really
interesting	JJ	interesting
as	IN	as
we've	NN	we've
seen	VVN	see
the	DT	the
foreign	JJ	foreign
minister	NN	minister
enter	VV	enter
their	PP$	their
meetings	NNS	meeting
here	RB	here
in	IN	in
Brussels	NP	Brussels
today	NN	today
that	IN/that	that
they've	NP	they've
all	RB	all
wanted	VVD	want
to	TO	to
talk	VV	talk
again	RB	again
about	IN	about
this	DT	this
two-state	NN	two-state
solution	NN	solution
as	IN	as
the	DT	the
key	JJ	key
sort	NN	sort
of	IN	of
Cornerstone	NP	Cornerstone
of	IN	of
EU	NP	EU
foreign	JJ	foreign
policy	NN	policy
with	IN	with
regards	NNS	regard
to	TO	to
everything	NN	everything
that's	NNS	that's
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
the	DT	the
reason	NN	reason
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
talk	VV	talk
about	RB	about
that	WDT	that
is	VBZ	be
it	PP	it
because	IN	because
it's	NNS	it's
easy	JJ	easy
for	IN	for
them	PP	them
to	TO	to
come	VV	come
to	TO	to
an	DT	an
agreement	NN	agreement
on	IN	on
it	PP	it
that	WDT	that
was	VBD	be
this	DT	this
has	VHZ	have
been	VBN	be
an	DT	an
EU	NP	EU
position	NN	position
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
two-state	NN	two-state
solution	NN	solution
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
for	IN	for
many	JJ	many
many	JJ	many
years	NNS	year
and	CC	and
what	WP	what
we've	NN	we've
seen	VVN	see
is	VBZ	be
divisions	NNS	division
among	IN	among
EU	NP	EU
members	NNS	member
countries	NNS	country
specifically	RB	specifically
over	IN	over
C	NP	C
for	IN	for
ceasefire	NN	ceasefire
how	WRB	how
much	JJ	much
pressure	NN	pressure
should	MD	should
be	VB	be
put	VVN	put
on	IN	on
Israel	NP	Israel
in	IN	in
order	NN	order
to	TO	to
allow	VV	allow
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
Etc	NN	etc
but	CC	but
on	IN	on
this	DT	this
issue	NN	issue
of	IN	of
the	DT	the
two-state	NN	two-state
solution	NN	solution
this	DT	this
is	VBZ	be
a	DT	a
unified	JJ	unified
position	NN	position
already	RB	already
and	CC	and
we're	RB	we're
seeing	VVG	see
that	IN/that	that
messaging	VVG	message
really	RB	really
come	VVN	come
out	RP	out
strongly	RB	strongly
as	IN	as
perhaps	RB	perhaps
some	DT	some
of	IN	of
the	DT	the
divisions	NNS	division
amongst	IN	amongst
the	DT	the
EU	NP	EU
member	NN	member
states	NNS	state
have	VHP	have
started	VVN	start
to	TO	to
show	VV	show
in	IN	in
recent	JJ	recent
weeks	NNS	week
it's	NNS	it's
a	DT	a
really	RB	really
important	JJ	important
meeting	NN	meeting
of	IN	of
foreign	JJ	foreign
ministers	NNS	minister
here	RB	here
in	IN	in
Brussels	NP	Brussels
today	NN	today
they	PP	they
don't	VVD	don't
only	RB	only
have	VH	have
their	PP$	their
27	CD	@card@
members	NNS	member
of	IN	of
the	DT	the
European	JJ	European
Union	NN	union
but	CC	but
we've	NN	we've
just	RB	just
seen	VVN	see
the	DT	the
Israeli	JJ	Israeli
foreign	JJ	foreign
minister	NN	minister
Israel	NP	Israel
GS	NP	GS
enter	VVP	enter
the	DT	the
room	NN	room
he	PP	he
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
speaking	VVG	speak
to	TO	to
them	PP	them
as	RB	as
well	RB	well
about	IN	about
the	DT	the
issues	NNS	issue
and	CC	and
later	RBR	later
on	IN	on
in	IN	in
the	DT	the
day	NN	day
we	PP	we
have	VHP	have
the	DT	the
Palestinian	JJ	Palestinian
foreign	JJ	foreign
minister	NN	minister
arriving	VVG	arrive
as	RB	as
well	RB	well
as	IN	as
the	DT	the
foreign	JJ	foreign
ministers	NNS	minister
from	IN	from
other	JJ	other
Arab	JJ	Arab
states	NNS	state
so	IN	so
that	DT	that
peace	NN	peace
conference	NN	conference
that	IN/that	that
you	PP	you
talked	VVD	talk
about	RB	about
that	IN/that	that
the	DT	the
EU	NP	EU
is	VBZ	be
potentially	RB	potentially
suggesting	VVG	suggest
this	DT	this
seems	VVZ	seem
like	IN	like
something	NN	something
of	IN	of
a	DT	a
precursor	NN	precursor
whether	IN	whether
the	DT	the
EU	NP	EU
can	MD	can
get	VV	get
not	RB	not
only	JJ	only
EU	NP	EU
countries	NNS	country
on	IN	on
board	NN	board
with	IN	with
this	DT	this
conference	NN	conference
but	CC	but
whether	IN	whether
they	PP	they
can	MD	can
persuade	VV	persuade
other	JJ	other
players	NNS	player
in	IN	in
this	DT	this
in	IN	in
this	DT	this
issue	NN	issue
as	IN	as
well	RB	well
and	CC	and
Jack	NP	Jack
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
about	IN	about
media	NNS	medium
report	VVP	report
rep	NN	rep
we've	NN	we've
been	VBN	be
seeing	VVG	see
that	DT	that
EU	NP	EU
member	NN	member
states	NNS	state
will	MD	will
also	RB	also
be	VB	be
discussing	VVG	discuss
possible	JJ	possible
consequences	NNS	consequence
for	IN	for
Israel	NP	Israel
if	IN	if
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
continues	VVZ	continue
to	TO	to
oppose	VV	oppose
Palestinian	JJ	Palestinian
statehood	NN	statehood
is	VBZ	be
it	PP	it
already	RB	already
clear	VV	clear
what	WP	what
might	MD	might
be	VB	be
on	IN	on
the	DT	the
table	NN	table
there	RB	there
not	RB	not
not	RB	not
really	RB	really
at	IN	at
all	PDT	all
this	DT	this
suggestion	NN	suggestion
that	IN/that	that
the	DT	the
Ft	NP	Ft
has	VHZ	have
been	VBN	be
reporting	VVG	report
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
potential	JJ	potential
consequences	NNS	consequence
if	IN	if
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
didn't	NP	didn't
get	VV	get
on	IN	on
board	NN	board
with	IN	with
the	DT	the
the	DT	the
two-	NN	two-
State	NN	state
solution	NN	solution
idea	NN	idea
uh	UH	uh
that's	NN	that's
it's	NNS	it's
it's	NNS	it's
it's	NNS	it's
just	RB	just
from	IN	from
a	DT	a
document	NN	document
that	WDT	that
was	VBD	be
leaked	VVN	leak
head	NN	head
of	IN	of
this	DT	this
meeting	NN	meeting
so	RB	so
many	JJ	many
of	IN	of
the	DT	the
other	JJ	other
countries	NNS	country
we've	NN	we've
pressed	VVD	press
some	DT	some
of	IN	of
the	DT	the
foreign	JJ	foreign
ministers	NNS	minister
to	TO	to
ask	VV	ask
them	PP	them
what	WP	what
their	PP$	their
potential	JJ	potential
positions	NNS	position
would	MD	would
be	VB	be
on	IN	on
it	PP	it
but	CC	but
they	PP	they
don't	VVD	don't
want	VV	want
to	TO	to
be	VB	be
drawn	VVN	draw
this	DT	this
is	VBZ	be
the	DT	the
working	VVG	work
document	NN	document
that	WDT	that
goes	VVZ	go
into	IN	into
the	DT	the
meeting	NN	meeting
what	WP	what
comes	VVZ	come
out	RP	out
of	IN	of
the	DT	the
meeting	NN	meeting
as	RB	as
far	RB	far
as	IN	as
an	DT	an
agreement	NN	agreement
is	VBZ	be
something	NN	something
completely	RB	completely
different	JJ	different
often	RB	often
times	CC	times
just	RB	just
back	RB	back
on	IN	on
the	DT	the
two-state	NN	two-state
solution	NN	solution
issue	NN	issue
though	IN	though
and	NP	and
and	CC	and
this	DT	this
sort	NN	sort
of	IN	of
press	NN	press
for	IN	for
uh	UH	uh
press	NN	press
for	IN	for
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
to	TO	to
get	VV	get
on	IN	on
board	NN	board
with	IN	with
that	WDT	that
he	PP	he
himself	PP	himself
the	DT	the
prime	JJ	prime
minister	NN	minister
of	IN	of
Israel	NP	Israel
and	CC	and
other	JJ	other
senior	JJ	senior
Israeli	JJ	Israeli
ministers	NNS	minister
have	VHP	have
not	RB	not
wanted	VVN	want
to	TO	to
talk	VV	talk
about	IN	about
the	DT	the
creation	NN	creation
of	IN	of
any	DT	any
sort	NN	sort
of	IN	of
State	NP	State
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
there	RB	there
there's	RB	there's
been	VBN	be
some	DT	some
messaging	VVG	message
really	RB	really
opposed	VVN	oppose
to	TO	to
that	DT	that
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
weeks	NNS	week
especially	RB	especially
and	CC	and
that's	NNS	that's
as	IN	as
well	RB	well
why	WRB	why
European	NP	European
Union	NP	Union
foreign	JJ	foreign
ministers	NNS	minister
are	VBP	be
wanting	VVG	want
to	TO	to
talk	VV	talk
about	IN	about
this	DT	this
because	IN	because
they	PP	they
can	MD	can
not	RB	not
only	RB	only
be	VB	be
unified	VVN	unify
but	CC	but
it's	NNS	it's
a	DT	a
position	NN	position
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
impress	VV	impress
on	IN	on
the	DT	the
Israelis	NPS	Israelis
as	RB	as
well	RB	well
so	IN	so
they	PP	they
may	MD	may
may	MD	may
be	VB	be
unified	VVN	unify
but	RB	but
but	CC	but
how	WRB	how
much	JJ	much
influence	NN	influence
does	VVZ	do
the	DT	the
EU	NP	EU
really	RB	really
have	VHP	have
here	RB	here
I	PP	I
mean	VVP	mean
we've	NN	we've
seen	VVN	see
Israel's	NP	Israel's
most	RBS	most
powerful	JJ	powerful
Ally	NP	Ally
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
trying	VVG	try
to	TO	to
convince	VV	convince
Netanyahu	NP	Netanyahu
unsuccessful	JJ	unsuccessful
in	IN	in
making	VVG	make
any	DT	any
Headway	NN	headway
that	IN/that	that
a	DT	a
two-state	NN	two-state
solution	NN	solution
would	MD	would
be	VB	be
the	DT	the
right	JJ	right
response	NN	response
can	MD	can
the	DT	the
EU	NP	EU
make	VV	make
a	DT	a
bigger	JJR	big
impact	NN	impact
it's	NNS	it's
I	PP	I
think	VVP	think
there's	RB	there's
there's	RB	there's
no	DT	no
Illusions	NNS	illusion
or	CC	or
delusions	NNS	delusion
here	RB	here
in	IN	in
Brussels	NP	Brussels
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
really	RB	really
the	DT	the
power	NN	power
player	NN	player
uh	UH	uh
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
Israel	NP	Israel
but	CC	but
they	PP	they
do	VVP	do
have	VH	have
strong	JJ	strong
economic	JJ	economic
ties	NNS	tie
with	IN	with
Israel	NP	Israel
they	PP	they
also	RB	also
have	VHP	have
influence	NN	influence
with	IN	with
in	RB	in
in	IN	in
with	IN	with
Palestinians	NNS	Palestinian
as	IN	as
well	RB	well
certain	JJ	certain
EU	NP	EU
countries	NNS	country
specifically	RB	specifically
countries	NNS	country
like	IN	like
smaller	JJR	small
count	NN	count
countries	NNS	country
like	IN	like
Cyprus	NP	Cyprus
have	VHP	have
very	RB	very
strong	JJ	strong
diplomatic	JJ	diplomatic
ties	NNS	tie
across	IN	across
the	DT	the
Middle	NP	Middle
East	NP	East
geographically	RB	geographically
and	CC	and
historically	RB	historically
obviously	RB	obviously
so	IN	so
they	PP	they
do	VVP	do
know	VV	know
that	IN/that	that
they	PP	they
do	VVP	do
have	VH	have
diplomatic	JJ	diplomatic
uh	UH	uh
sway	VV	sway
as	IN	as
you	PP	you
say	VVP	say
the	DT	the
question	NN	question
of	IN	of
whether	IN	whether
they	PP	they
really	RB	really
can	MD	can
force	VV	force
Israel's	NP	Israel's
hand	NN	hand
to	TO	to
bring	VV	bring
an	DT	an
end	NN	end
to	TO	to
the	DT	the
conflict	NN	conflict
if	IN	if
if	IN	if
that's	NNS	that's
what	WP	what
uh	UH	uh
is	VBZ	be
being	VBG	be
called	VVN	call
for	IN	for
the	DT	the
two-state	NN	two-state
solution	NN	solution
all	RB	all
of	IN	of
that	DT	that
kind	NN	kind
of	IN	of
stuff	VV	stuff
uh	UH	uh
it's	NNS	it's
difficult	JJ	difficult
to	TO	to
see	VV	see
but	CC	but
what	WP	what
they'll	RB	they'll
try	VVP	try
and	CC	and
assert	VVP	assert
as	RB	as
much	RB	much
power	VV	power
uh	UH	uh
on	IN	on
the	DT	the
visiting	VVG	visit
ministers	NNS	minister
as	IN	as
they	PP	they
can	MD	can
today	NN	today
during	IN	during
these	DT	these
