<video_id>lNpe1MvCJl4</video_id>	JJ	<video_id>lNpe1MvCJl4</video_id>
<video_title>Israeli	NN	<video_title>Israeli
minister	NN	minister
quits	VVZ	quit
coalition	NN	coalition
after	IN	after
Netanyahu	NP	Netanyahu
doesn't	NP	doesn't
include	VVP	include
him	PP	him
in	IN	in
war	NN	war
cabinet	NN	cabinet
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NP	<thumbnail_path>en_DW\Israeli
minister	NN	minister
quits	VVZ	quit
coalition	NN	coalition
after	IN	after
Netanyahu	NP	Netanyahu
doesn't	NP	doesn't
include	VVP	include
him	PP	him
in	IN	in
war	NN	war
cabinet	NN	cabinet
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240325</publish_date>	NN	<publish_date>20240325</publish_date>
<doc>	NN	<doc>
meanwhile	RB	meanwhile
veteran	JJ	veteran
Israeli	NP	Israeli
Minister	NP	Minister
Gideon	NP	Gideon
s	NN	S
has	VHZ	have
resigned	VVN	resign
from	IN	from
Benjamin	NP	Benjamin
netanyahu's	NP	netanyahu's
emergency	NN	emergency
Unity	NP	Unity
government	NN	government
Mr	NP	Mr
s	NN	S
said	VVD	say
he'd	NNS	he'd
taken	VVN	take
the	DT	the
decision	NN	decision
after	IN	after
he	PP	he
was	VBD	be
not	RB	not
included	VVN	include
in	IN	in
the	DT	the
highest	JJS	high
level	NN	level
War	NN	war
cabinet	NN	cabinet
he	PP	he
was	VBD	be
one	CD	one
of	IN	of
several	JJ	several
opposition	NN	opposition
lawmakers	NNS	lawmaker
who	WP	who
joined	VVD	join
the	DT	the
unity	NN	unity
government	NN	government
to	TO	to
help	VV	help
manage	VV	manage
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
after	IN	after
hamas's	NP	hamas's
October	NP	October
7	CD	@card@
terror	NN	terror
attack	NN	attack
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
from	IN	from
journalist	NN	journalist
Samy	NP	Samy
sakol	NP	sakol
in	IN	in
Jerusalem	NP	Jerusalem
