<video_id>yRsTAfLJDmU</video_id>	JJ	<video_id>yRsTAfLJDmU</video_id>
<video_title>How	NN	<video_title>How
an	DT	an
escalation	NN	escalation
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
could	MD	could
affect	VV	affect
the	DT	the
entire	JJ	entire
world	NN	world
|	SYM	|
DW	NP	DW
Business</video_title>	NP	Business</video_title>
<thumbnail_path>en_DW\How	NN	<thumbnail_path>en_DW\How
an	DT	an
escalation	NN	escalation
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
could	MD	could
affect	VV	affect
the	DT	the
entire	JJ	entire
world	NN	world
DW	NP	DW
Business.jpg</thumbnail_path>	NP	Business.jpg</thumbnail_path>
<publish_date>20231101</publish_date>	NN	<publish_date>20231101</publish_date>
<doc>	NN	<doc>
before	IN	before
Russia's	NN	Russia's
invasion	NN	invasion
of	IN	of
Ukraine	NP	Ukraine
there	EX	there
was	VBD	be
relatively	RB	relatively
little	JJ	little
public	JJ	public
awareness	NN	awareness
of	IN	of
how	WRB	how
much	RB	much
the	DT	the
world	NN	world
relied	VVN	rely
on	IN	on
Ukraine	NP	Ukraine
for	IN	for
the	DT	the
supply	NN	supply
of	IN	of
grain	NN	grain
or	CC	or
how	WRB	how
much	RB	much
Europe	NP	Europe
depended	VVD	depend
on	IN	on
Russia	NP	Russia
for	IN	for
its	PP$	its
energy	NN	energy
Supply	NN	supply
now	RB	now
as	IN	as
the	DT	the
devastating	JJ	devastating
conflict	NN	conflict
continues	VVZ	continue
to	TO	to
unfold	VV	unfold
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
some	RB	some
are	VBP	be
beginning	VVG	begin
to	TO	to
wonder	VV	wonder
what	WP	what
the	DT	the
bigger	JJR	big
economic	JJ	economic
ramifications	NNS	ramification
might	MD	might
be	VB	be
especially	RB	especially
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
global	JJ	global
supply	NN	supply
of	IN	of
oil	NN	oil
which	WDT	which
could	MD	could
be	VB	be
affected	VVN	affect
if	IN	if
Iran	NP	Iran
were	VBD	be
to	TO	to
become	VV	become
more	RBR	more
embroiled	VVN	embroil
in	IN	in
the	DT	the
conflict	NN	conflict
the	DT	the
region	NN	region
is	VBZ	be
also	RB	also
a	DT	a
key	JJ	key
shift	NN	shift
route	NN	route
with	IN	with
disruption	NN	disruption
to	TO	to
key	JJ	key
waterways	NNS	waterway
like	IN	like
the	DT	the
sez	NN	sez
canal	NN	canal
and	CC	and
the	DT	the
straight	JJ	straight
of	IN	of
hermus	NN	hermus
potentially	RB	potentially
causing	VVG	cause
delays	NNS	delay
in	IN	in
deliveries	NNS	delivery
and	CC	and
earlier	RBR	earlier
I	PP	I
spoke	VVD	speak
to	TO	to
CM	NP	CM
jety	NP	jety
Chief	NP	Chief
Economist	NP	Economist
at	IN	at
ING	NP	Ing
I	PP	I
asked	VVD	ask
him	PP	him
what	WP	what
a	DT	a
possible	JJ	possible
escalation	NN	escalation
involving	VVG	involve
Iran	NP	Iran
could	MD	could
mean	VV	mean
for	IN	for
the	DT	the
global	JJ	global
supply	NN	supply
of	IN	of
oil	NN	oil
indeed	RB	indeed
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
where	WRB	where
this	DT	this
conflict	NN	conflict
will	MD	will
have	VH	have
bigger	JJR	big
repercussions	NNS	repercussion
