after	IN	after
the	DT	the
first	JJ	first
two	CD	two
days	NNS	day
of	IN	of
hearings	NNS	hearing
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
in	IN	in
the	DT	the
ha	NP	ha
Israel	NP	Israel
continues	VVZ	continue
to	TO	to
defend	VV	defend
its	PP$	its
military	JJ	military
operation	NN	operation
in	IN	in
Gaza	NP	Gaza
as	IN	as
an	DT	an
act	NN	act
of	IN	of
self	JJ	self
-	NN	-
defense	NN	defense
in	IN	in
response	NN	response
to	TO	to
the	DT	the
October	NP	October
7th	JJ	7th
Hamas	NN	Hamas
Terror	NN	terror
attacks	VVZ	attack
a	DT	a
South	JJ	South
African	JJ	African
delegation	NN	delegation
argued	VVD	argue
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	NN	S
offensive	NN	offensive
was	VBD	be
going	VVG	go
beyond	IN	beyond
that	WDT	that
to	TO	to
them	PP	them
it	PP	it
'	POS	'
s	NNS	s
an	DT	an
attempt	NN	attempt
to	TO	to
destroy	VV	destroy
the	DT	the
Palestinians	NPS	Palestinians
as	IN	as
a	DT	a
people	NNS	people
claims	VVZ	claim
that	DT	that
amount	NN	amount
to	TO	to
genocide	NN	genocide
now	RB	now
the	DT	the
German	JJ	German
federal	JJ	federal
government	NN	government
says	VVZ	say
it	PP	it
will	MD	will
request	VV	request
to	TO	to
join	VV	join
the	DT	the
case	NN	case
as	IN	as
a	DT	a
third	JJ	third
party	NN	party
in	IN	in
support	NN	support
of	IN	of
Israel	NP	Israel
Berlin	NP	Berlin
says	VVZ	say
there	EX	there
is	VBZ	be
no	DT	no
basis	NN	basis
for	IN	for
South	NP	South
Africa	NP	Africa
'	POS	'
s	NN	S
accusations	NNS	accusation
well	RB	well
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
story	NN	story
I	PP	I
'	POS	'
m	NN	m
joined	VVD	join
by	IN	by
DW	JJ	DW
political	JJ	political
correspondent	NN	correspondent
Julia	NP	Julia
selli	NP	selli
Julia	NP	Julia
great	JJ	great
to	TO	to
see	VV	see
you	PP	you
so	IN	so
Germany	NP	Germany
wants	VVZ	want
to	TO	to
join	VV	join
the	DT	the
trial	NN	trial
as	IN	as
a	DT	a
third	JJ	third
party	NN	party
how	WRB	how
could	MD	could
that	RB	that
affect	VV	affect
the	DT	the
court	NN	court
case	NN	case
well	RB	well
jining	VVG	jining
as	IN	as
a	DT	a
third	JJ	third
party	NN	party
doesn	NN	doesn
'	POS	'
t	NN	t
mean	VVP	mean
that	IN/that	that
Germany	NP	Germany
will	MD	will
then	RB	then
be	VB	be
directly	RB	directly
uh	UH	uh
implicated	VVN	implicate
in	IN	in
the	DT	the
case	NN	case
in	IN	in
the	DT	the
dispute	NN	dispute
but	CC	but
it	PP	it
allows	VVZ	allow
Germany	NP	Germany
to	TO	to
to	TO	to
bring	VV	bring
forward	RB	forward
written	VVN	write
statements	NNS	statement
and	CC	and
to	TO	to
participate	VV	participate
in	IN	in
the	DT	the
oral	JJ	oral
proceedings	NNS	proceeding
and	CC	and
that	WDT	that
would	MD	would
mean	VV	mean
that	IN/that	that
Germany	NP	Germany
could	MD	could
bring	VV	bring
forward	RB	forward
its	PP$	its
own	JJ	own
legal	JJ	legal
interpretation	NN	interpretation
of	IN	of
the	DT	the
case	NN	case
and	CC	and
of	IN	of
the	DT	the
convention	NN	convention
on	IN	on
genocide	NN	genocide
now	RB	now
it	PP	it
also	RB	also
is	VBZ	be
not	RB	not
uh	UH	uh
an	DT	an
obligation	NN	obligation
for	IN	for
parties	NNS	party
that	WDT	that
join	VVP	join
the	DT	the
proceedings	NNS	proceeding
to	TO	to
state	VV	state
which	WDT	which
side	NN	side
they	PP	they
'	POS	'
re	NN	re
on	IN	on
but	CC	but
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
clearly	RB	clearly
from	IN	from
statements	NNS	statement
made	VVN	make
by	IN	by
the	DT	the
German	JJ	German
government	NN	government
that	IN/that	that
Germany	NP	Germany
is	VBZ	be
taking	VVG	take
part	NN	part
to	TO	to
stand	VV	stand
on	IN	on
the	DT	the
side	NN	side
of	IN	of
Israel	NP	Israel
and	CC	and
is	VBZ	be
against	IN	against
the	DT	the
accusations	NNS	accusation
brought	VVN	bring
by	IN	by
South	NP	South
Africa	NP	Africa
we	PP	we
heard	VVD	hear
from	IN	from
a	DT	a
government	NN	government
spokesman	NN	spokesman
that	WDT	that
