Europe	NP	Europe
is	VBZ	be
also	RB	also
pushing	VVG	push
Israel	NP	Israel
to	TO	to
agree	VV	agree
on	IN	on
terms	NNS	term
for	IN	for
a	DT	a
post	NN	post
-	NN	-
war	NN	war
future	NN	future
the	DT	the
European	NP	European
Parliament	NP	Parliament
has	VHZ	have
adopted	VVN	adopt
a	DT	a
resolution	NN	resolution
calling	VVG	call
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
but	CC	but
the	DT	the
resolution	NN	resolution
contains	VVZ	contain
the	DT	the
stipulation	NN	stipulation
that	IN/that	that
Hamas	NNS	Hamas
designated	VVN	designate
as	IN	as
a	DT	a
terrorist	JJ	terrorist
group	NN	group
by	IN	by
the	DT	the
EU	NP	EU
must	MD	must
be	VB	be
first	RB	first
dismantled	VVN	dismantle
and	CC	and
that	IN/that	that
all	DT	all
Israeli	JJ	Israeli
hostages	NNS	hostage
kidnapped	VVN	kidnap
by	IN	by
Hamas	NNS	Hamas
during	IN	during
the	DT	the
October	NP	October
7th	JJ	7th
Terror	NN	terror
attacks	NNS	attack
on	IN	on
Southern	NP	Southern
Israel	NP	Israel
must	MD	must
be	VB	be
released	VVN	release
the	DT	the
resolution	NN	resolution
also	RB	also
calls	VVZ	call
for	IN	for
renewed	JJ	renewed
efforts	NNS	effort
to	TO	to
find	VV	find
a	DT	a
lasting	JJ	lasting
political	JJ	political
solution	NN	solution
to	TO	to
the	DT	the
conflict	NN	conflict
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
more	RBR	more
now	RB	now
from	IN	from
Brussels	NP	Brussels
DW	NP	DW
cross	NN	cross
bruss	NN	bruss
DW	NP	DW
Brussels	NP	Brussels
correspondant	NP	correspondant
Jack	NP	Jack
perck	NP	perck
Jack	NP	Jack
sorry	RB	sorry
for	IN	for
messing	VVG	mess
that	DT	that
intro	NN	intro
up	RB	up
but	CC	but
how	WRB	how
significant	JJ	significant
is	VBZ	be
this	DT	this
resolution	NN	resolution
by	IN	by
the	DT	the
European	NP	European
Parliament	NP	Parliament
calling	VVG	call
for	IN	for
a	DT	a
Gaza	NP	Gaza
ceasefire	NN	ceasefire
yeah	RB	yeah
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
significant	JJ	significant
symbolically	RB	symbolically
but	CC	but
practically	RB	practically
and	CC	and
legally	RB	legally
not	RB	not
very	RB	very
significant	JJ	significant
at	IN	at
all	DT	all
uh	UH	uh
the	DT	the
312	CD	@card@
MEPS	NNS	MEPS
of	IN	of
the	DT	the
705	CD	@card@
in	IN	in
in	IN	in
the	DT	the
European	NP	European
Parliament	NP	Parliament
voted	VVD	vote
in	IN	in
favor	NN	favor
there	EX	there
were	VBD	be
a	DT	a
number	NN	number
of	IN	of
abstentions	NNS	abstention
and	CC	and
also	RB	also
a	DT	a
number	NN	number
of	IN	of
no	DT	no
-	NN	-
shows	VVZ	show
as	RB	as
well	RB	well
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
like	IN	like
a	DT	a
massively	RB	massively
overwhelming	JJ	overwhelming
majority	NN	majority
and	CC	and
like	IN	like
I	PP	I
say	VVP	say
it	PP	it
doesn	NN	doesn
'	POS	'
t	NN	t
legally	RB	legally
bind	VV	bind
the	DT	the
European	JJ	European
Union	NP	Union
it	PP	it
isn	NP	isn
'	POS	'
t	NN	t
an	DT	an
overall	JJ	overall
EU	NP	EU
position	NN	position
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
vote	NN	vote
by	IN	by
the	DT	the
governments	NNS	government
of	IN	of
the	DT	the
European	NP	European
Union	NP	Union
and	CC	and
as	IN	as
you	PP	you
mentioned	VVD	mention
the	DT	the
stipulations	NNS	stipulation
that	IN/that	that
the	DT	the
center	NN	center
right	NN	right
um	NN	um
politicians	NNS	politician
within	IN	within
the	DT	the
European	NP	European
Parliament	NP	Parliament
insisted	VVD	insist
on	IN	on
which	WDT	which
was	VBD	be
the	DT	the
call	NN	call
for	IN	for
the	DT	the
dismantling	VVG	dismantle
of	IN	of
the	DT	the
Hamas	JJ	Hamas
terrorist	JJ	terrorist
organization	NN	organization
and	CC	and
the	DT	the
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
those	DT	those
conditions	NNS	condition
to	TO	to
get	VV	get
the	DT	the
vote	NN	vote
over	IN	over
the	DT	the
line	NN	line
which	WDT	which
meant	VVD	mean
that	IN/that	that
many	JJ	many
of	IN	of
them	PP	them
voted	VVD	vote
in	IN	in
favor	NN	favor
were	VBD	be
were	VBD	be
what	WP	what
the	DT	the
Israelis	NPS	Israelis
were	VBD	be
basically	RB	basically
saying	VVG	say
that	IN/that	that
they	PP	they
could	MD	could
accept	VV	accept
this	DT	this
vote	NN	vote
that	IN/that	that
they	PP	they
would	MD	would
want	VV	want
to	TO	to
permanent	JJ	permanent
ceasefire	NN	ceasefire
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
that	IN/that	that
from	IN	from
the	DT	the
Israeli	JJ	Israeli
um	JJ	um
mission	NN	mission
to	TO	to
the	DT	the
European	JJ	European
Union	NP	Union
they	PP	they
'	POS	'
ve	NN	ve
said	VVD	say
that	IN/that	that
this	DT	this
vote	NN	vote
basically	RB	basically
Falls	NP	Falls
in	IN	in
line	NN	line
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
permanent	JJ	permanent
ceasefire	NN	ceasefire
if	IN	if
Hamas	NP	Hamas
is	VBZ	be
dismantled	VVN	dismantle
and	CC	and
if	IN	if
all	DT	all
of	IN	of
the	DT	the
hostages	NNS	hostage
are	VBP	be
released	VVN	release
so	IN	so
this	DT	this
was	VBD	be
a	DT	a
resolution	NN	resolution
of	IN	of
the	DT	the
EU	NP	EU
Parliament	NP	Parliament
but	CC	but
does	VVZ	do
that	RB	that
mean	VV	mean
that	IN/that	that
