<video_id>RcPUUgdbbSo</video_id>	JJ	<video_id>RcPUUgdbbSo</video_id>
<video_title>Select	NN	<video_title>Select
Gazans	NNS	Gazan
allowed	VVN	allow
to	TO	to
cross	VV	cross
Rafah	NP	Rafah
border	NN	border
with	IN	with
Egypt	NP	Egypt
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Select	NN	<thumbnail_path>en_DW\Select
Gazans	NNS	Gazan
allowed	VVN	allow
to	TO	to
cross	VV	cross
Rafah	NP	Rafah
border	NN	border
with	IN	with
Egypt	NP	Egypt
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231101</publish_date>	JJ	<publish_date>20231101</publish_date>
<doc>	NN	<doc>
gazin	NNS	gazin
are	VBP	be
waiting	VVG	wait
for	IN	for
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
to	TO	to
open	VV	open
to	TO	to
allow	VV	allow
some	DT	some
severely	RB	severely
wounded	VVN	wound
gazin	NN	gazin
into	IN	into
Egypt	NP	Egypt
where	WRB	where
they	PP	they
will	MD	will
receive	VV	receive
treatment	NN	treatment
with	IN	with
foreign	JJ	foreign
Nationals	NNS	national
hoping	VVG	hope
to	TO	to
leave	VV	leave
Gaza	NP	Gaza
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
has	VHZ	have
been	VBN	be
the	DT	the
only	JJ	only
means	NN	means
of	IN	of
getting	VVG	get
crucial	JJ	crucial
Aid	NN	aid
into	IN	into
the	DT	the
strip	NN	strip
Egyptian	JJ	Egyptian
media	NNS	medium
have	VHP	have
reported	VVN	report
a	DT	a
deal	NN	deal
to	TO	to
allow	VV	allow
81	CD	@card@
injured	JJ	injured
people	NNS	people
including	VVG	include
children	NNS	child
to	TO	to
cross	VV	cross
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
information	NN	information
from	IN	from
Gaza	NP	Gaza
has	VHZ	have
been	VBN	be
all	RB	all
but	CC	but
shut	VV	shut
down	RP	down
by	IN	by
a	DT	a
mobile	JJ	mobile
phone	NN	phone
and	CC	and
internet	NN	Internet
at	IN	at
blackout	NN	blackout
let's	NNS	let's
bring	VVP	bring
in	IN	in
Alona	NP	Alona
sienko	NP	Sienko
here	RB	here
she's	NNS	she's
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Red	NP	Red
Cross	NP	Cross
and	CC	and
joins	VVZ	join
us	PP	us
from	IN	from
Jerusalem	NP	Jerusalem
uh	UH	uh
we	PP	we
understand	VVP	understand
that	IN/that	that
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	NN	crossing
May	MD	may
well	RB	well
open	VV	open
briefly	NN	briefly
today	NN	today
in	IN	in
order	NN	order
to	TO	to
allow	VV	allow
some	DT	some
