<video_id>dTRVE4lV_sc</video_id>	JJ	<video_id>dTRVE4lV_sc</video_id>
<video_title>DNC:	JJ	<video_title>DNC:
Pro-Palestinian	NP	Pro-Palestinian
protesters	NNS	protester
demand	NN	demand
cease-fire	NN	cease-fire
and	CC	and
end	NN	end
to	TO	to
US	NP	US
arms	NNS	arm
transfers	NNS	transfer
to	TO	to
Israel	NP	Israel
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\DNC	NP	<thumbnail_path>en_DW\DNC
Pro-Palestinian	NP	Pro-Palestinian
protesters	NNS	protester
demand	NN	demand
cease-fire	NN	cease-fire
and	CC	and
end	NN	end
to	TO	to
US	NP	US
arms	NNS	arm
transfers	NNS	transfer
to	TO	to
Israel	NP	Israel
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240823</publish_date>	NN	<publish_date>20240823</publish_date>
<doc>	NN	<doc>
meanwhile	RB	meanwhile
Pro	NP	Pro
Palestinian	NP	Palestinian
demonstrators	NNS	demonstrator
have	VHP	have
staged	VVN	stage
a	DT	a
protest	NN	protest
outside	IN	outside
Chicago's	NP	Chicago's
United	NP	United
Center	NP	Center
on	IN	on
the	DT	the
last	JJ	last
night	NN	night
of	IN	of
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
demonstrators	NNS	demonstrator
including	VVG	include
some	DT	some
party	NN	party
delegates	NNS	delegate
call	VVP	call
for	IN	for
a	DT	a
pro	JJ	pro
Palestinian	JJ	Palestinian
representative	NN	representative
to	TO	to
be	VB	be
allowed	VVN	allow
to	TO	to
address	VV	address
the	DT	the
convention	NN	convention
they	PP	they
say	VVP	say
convention	NN	convention
organizers	NNS	organizer
rejected	VVD	reject
their	PP$	their
earlier	JJR	early
request	NN	request
the	DT	the
demonstrators	NNS	demonstrator
have	VHP	have
been	VBN	be
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
for	IN	for
an	DT	an
arms	NNS	arm
embargo	NN	embargo
on	IN	on
[Music]	JJ	[Music]
Israel	NP	Israel
DW	NP	DW
reporter	NN	reporter
Stefan	NP	Stefan
Simons	NP	Simons
is	VBZ	be
at	IN	at
the	DT	the
demonstrations	NNS	demonstration
outside	JJ	outside
of	IN	of
the	DT	the
convention	NN	convention
cter	NN	cter
in	IN	in
Chicago	NP	Chicago
stepan	NN	stepan
welcome	NN	welcome
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
the	DT	the
demands	NNS	demand
of	IN	of
the	DT	the
protesters	NNS	protester
well	RB	well
the	DT	the
demand	NN	demand
is	VBZ	be
that	IN/that	that
the	DT	the
US	NP	US
will	MD	will
immediately	RB	immediately
stop	VV	stop
supporting	VVG	support
Israel	NP	Israel
in	IN	in
its	PP$	its
war	NN	war
effort	NN	effort
in	IN	in
Gaza	NP	Gaza
meaning	VVG	mean
no	DT	no
more	JJR	more
ammunition	NN	ammunition
more	RBR	more
more	RBR	more
uh	UH	uh
guns	NNS	gun
deliveries	NNS	delivery
money	NN	money
uh	UH	uh
for	IN	for
the	DT	the
IDF	NP	IDF
the	DT	the
Israeli	JJ	Israeli
Defense	NN	defense
Forces	NNS	force
and	CC	and
for	IN	for
Israel	NP	Israel
in	IN	in
that	DT	that
sense	NN	sense
however	RB	however
those	DT	those
protesters	NNS	protester
here	RB	here
they	PP	they
feel	VVP	feel
not	RB	not
hurt	VV	hurt
by	IN	by
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
and	CC	and
it's	NNS	it's
just	RB	just
about	IN	about
a	DT	a
half	NN	half
a	DT	a
mile	NN	mile
away	RB	away
from	IN	from
here	RB	here
they	PP	they
still	RB	still
feel	VVP	feel
that	IN/that	that
there	EX	there
are	VBP	be
worlds	NNS	world
between	IN	between
what	WP	what
they	PP	they
stand	VVP	stand
for	IN	for
what	WP	what
they	PP	they
want	VVP	want
and	CC	and
what's	NNS	what's
actually	RB	actually
happened	VVD	happen
in	IN	in
the	DT	the
United	NP	United
Center	NP	Center
where	WRB	where
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
is	VBZ	be
happening	VVG	happen
however	RB	however
this	DT	this
last	JJ	last
uh	UH	uh
protest	NN	protest
here	RB	here
is	VBZ	be
um	RB	um
the	DT	the
grand	JJ	grand
finale	NN	finale
for	IN	for
the	DT	the
protesters	NNS	protester
for	IN	for
the	DT	the
organizations	NNS	organization
here	RB	here
250	CD	@card@
plus	NN	plus
organizations	NNS	organization
combined	VVN	combine
in	IN	in
one	CD	one
Coalition	NP	Coalition
they	PP	they
of	IN	of
course	NN	course
not	RB	not
all	RB	all
here	RB	here
but	CC	but
they're	RB	they're
hoping	VVG	hope
for	IN	for
a	DT	a
uh	UH	uh
massive	JJ	massive
show	NN	show
of	IN	of
people	NNS	people
yesterday	RB	yesterday
there	EX	there
was	VBD	be
a	DT	a
protest	NN	protest
the	DT	the
day	NN	day
before	IN	before
there	EX	there
was	VBD	be
one	CD	one
and	CC	and
on	IN	on
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
the	DT	the
convention	NN	convention
was	VBD	be
one	CD	one
it	PP	it
was	VBD	be
all	RB	all
about	IN	about
let's	NNS	let's
say	VVP	say
from	IN	from
a	DT	a
th000	JJ	th000
2,000	CD	@card@
people	NNS	people
uh	UH	uh
now	RB	now
they	PP	they
want	VVP	want
to	TO	to
go	VV	go
to	TO	to
5	CD	@card@
to	TO	to
10,000	CD	@card@
people	NNS	people
is	VBZ	be
this	DT	this
going	VVG	go
to	TO	to
happen	VV	happen
we	PP	we
will	MD	will
see	VV	see
Stephan	NP	Stephan
we	PP	we
know	VVP	know
that	IN/that	that
over	IN	over
the	DT	the
past	JJ	past
