<video_id>l6UlYAfkQlU</video_id>	JJ	<video_id>l6UlYAfkQlU</video_id>
<video_title>Live:	JJ	<video_title>Live:
UN	NP	UN
briefing	NN	briefing
on	IN	on
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Live	JJ	<thumbnail_path>en_DW\Live
UN	NP	UN
briefing	NN	briefing
on	IN	on
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231103</publish_date>	NN	<publish_date>20231103</publish_date>
<doc>	NN	<doc>
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
today	NN	today
excellencies	NNS	Excellency
and	CC	and
distinguished	JJ	distinguished
guests	NNS	guest
welcome	VVP	welcome
to	TO	to
the	DT	the
briefing	NN	briefing
on	IN	on
the	DT	the
fast	RB	fast
changing	VVG	change
and	CC	and
deteriorating	VVG	deteriorate
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
I'm	NP	I'm
Lisa	NP	Lisa
Dalton	NP	Dalton
the	DT	the
ocha's	NN	ocha's
director	NN	director
of	IN	of
humanitarian	JJ	humanitarian
finance	NN	finance
and	CC	and
resource	NN	resource
mobilization	NN	mobilization
and	CC	and
I'm	NN	I'm
honored	VVN	honor
to	TO	to
moderate	VV	moderate
this	DT	this
meeting	NN	meeting
today	NN	today
I'd	NNS	I'd
like	VVP	like
to	TO	to
remind	VV	remind
everyone	NN	everyone
that	IN/that	that
today's	NN	today's
event	NN	event
is	VBZ	be
being	VBG	be
live	RB	live
streamed	VVN	stream
on	IN	on
webtv.un.org	NP	webtv.un.org
and	CC	and
has	VHZ	have
English	JJ	English
and	CC	and
Arabic	JJ	Arabic
interpretation	NN	interpretation
services	NNS	service
in	IN	in
the	DT	the
room	NN	room
online	JJ	online
today's	NNS	today's
distinguished	JJ	distinguished
speakers	NNS	speaker
include	VVP	include
Mr	NP	Mr
Martin	NP	Martin
Griffith	NP	Griffith
the	DT	the
under	IN	under
Secretary	NP	Secretary
General	NP	General
for	IN	for
humanitarian	JJ	humanitarian
Affairs	NNS	affair
and	CC	and
emergency	NN	emergency
relief	NN	relief
coordinator	NN	coordinator
who	WP	who
is	VBZ	be
seated	VVN	seat
here	RB	here
on	IN	on
the	DT	the
podium	NN	podium
and	CC	and
virtually	RB	virtually
joining	VVG	join
us	PP	us
are	VBP	be
miss	VV	miss
Lynn	NP	Lynn
Hastings	NPS	Hastings
the	DT	the
deputy	JJ	deputy
special	JJ	special
coordinator	NN	coordinator
for	IN	for
the	DT	the
Middle	NP	Middle
East	NP	East
peace	NN	peace
process	NN	process
and	CC	and
United	NP	United
Nations	NPS	Nations
resident	NN	resident
and	CC	and
humanitarian	JJ	humanitarian
coordinator	NN	coordinator
for	IN	for
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
and	CC	and
Mr	NP	Mr
Thomas	NP	Thomas
White	NP	White
director	NN	director
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
relief	NN	relief
and	CC	and
works	VVZ	work
Agency	NP	Agency
for	IN	for
Palestine	NP	Palestine
refugees	NNS	refugee
in	IN	in
the	DT	the
near	JJ	near
East	JJ	East
affairs	NNS	affair
in	IN	in
Gaza	NP	Gaza
I'm	NP	I'm
also	RB	also
joined	VVD	join
at	IN	at
