<video_id>uVPwFm-rK_U</video_id>	JJ	<video_id>uVPwFm-rK_U</video_id>
<video_title>Israeli	NN	<video_title>Israeli
war	NN	war
cabinet	NN	cabinet
to	TO	to
discuss	VV	discuss
Iran	NP	Iran
attack	NN	attack
response	NN	response
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NP	<thumbnail_path>en_DW\Israeli
war	NN	war
cabinet	NN	cabinet
to	TO	to
discuss	VV	discuss
Iran	NP	Iran
attack	NN	attack
response	NN	response
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240417</publish_date>	NP	<publish_date>20240417</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
war	NN	war
cabinet	NN	cabinet
is	VBZ	be
to	TO	to
meet	VV	meet
for	IN	for
the	DT	the
third	JJ	third
time	NN	time
in	IN	in
three	CD	three
days	NNS	day
as	IN	as
it	PP	it
considers	VVZ	consider
its	PP$	its
response	NN	response
to	TO	to
Iran's	NP	Iran's
First	NP	First
Direct	NP	Direct
attack	NN	attack
on	IN	on
the	DT	the
country	NN	country
Israel's	NP	Israel's
military	NN	military
has	VHZ	have
been	VBN	be
showing	VVG	show
what	WP	what
it	PP	it
says	VVZ	say
is	VBZ	be
part	NN	part
of	IN	of
an	DT	an
Iranian	JJ	Iranian
ballistic	JJ	ballistic
missile	NN	missile
retrieved	VVN	retrieve
from	IN	from
the	DT	the
Dead	NP	Dead
Sea	NP	Sea
following	VVG	follow
the	DT	the
strike	NN	strike
it	PP	it
says	VVZ	say
Iran	NP	Iran
launched	VVD	launch
110	CD	@card@
ballistic	JJ	ballistic
missiles	NNS	missile
towards	IN	towards
Israel	NP	Israel
at	IN	at
the	DT	the
weekend	NN	weekend
in	IN	in
addition	NN	addition
to	TO	to
drones	NNS	drone
and	CC	and
medium-range	NN	medium-range
missiles	NNS	missile
now	RB	now
most	RBS	most
were	VBD	be
shot	VVN	shoot
down	IN	down
Iran	NP	Iran
says	VVZ	say
its	PP$	its
strike	NN	strike
was	VBD	be
in	IN	in
retaliation	NN	retaliation
for	IN	for
what	WP	what
it	PP	it
says	VVZ	say
was	VBD	be
Israel's	JJ	Israel's
uh	UH	uh
attack	NN	attack
on	IN	on
a	DT	a
an	DT	an
Iranian	JJ	Iranian
consulate	NN	consulate
building	NN	building
in	IN	in
Syria	NP	Syria
and	CC	and
governments	NNS	government
around	IN	around
the	DT	the
world	NN	world
are	VBP	be
calling	VVG	call
for	IN	for
both	DT	both
sides	NNS	side
to	TO	to
show	VV	show
restraint	NN	restraint
with	IN	with
Iran's	NP	Iran's
president	NN	president
Ibrahim	NP	Ibrahim
RI	NP	RI
warning	VVG	warn
that	IN/that	that
any	DT	any
response	NN	response
by	IN	by
Israel	NP	Israel
would	MD	would
have	VH	have
extensive	JJ	extensive
and	CC	and
painful	JJ	painful
consequences	NNS	consequence
let's	NNS	let's
look	VVP	look
at	IN	at
this	DT	this
with	IN	with
mayor	NN	mayor
jaad	NN	jaad
Dana	NP	Dana
who's	NP	who's
an	DT	an
Iranian	JJ	Iranian
Israeli	JJ	Israeli
political	JJ	political
analyst	NN	analyst
and	CC	and
lecturer	NN	lecturer
at	IN	at
the	DT	the
rman	NP	rman
University	NP	University
in	IN	in
Israel	NP	Israel
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
welcome	NN	welcome
to	TO	to
DW	NN	DW
so	IN	so
the	DT	the
world	NN	world
has	VHZ	have
has	VHZ	have
been	VBN	be
calling	VVG	call
on	IN	on
Iran	NP	Iran
and	CC	and
Israel	NP	Israel
to	TO	to
deescalate	VV	deescalate
but	CC	but
you	PP	you
tweeted	VVD	tweet
recently	RB	recently
that	IN/that	that
