<video_id>QMEKtJzE8dE</video_id>	JJ	<video_id>QMEKtJzE8dE</video_id>
<video_title>UNRWA	NN	<video_title>UNRWA
chief	JJ	chief
Lazzarini	NP	Lazzarini
update	NN	update
on	IN	on
situation	NN	situation
in	IN	in
occupied	JJ	occupied
Palestinian	NP	Palestinian
Territories	NP	Territories
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\UNRWA	NP	<thumbnail_path>en_DW\UNRWA
chief	JJ	chief
Lazzarini	NP	Lazzarini
update	NN	update
on	IN	on
situation	NN	situation
in	IN	in
occupied	JJ	occupied
Palestinian	NP	Palestinian
Territories	NP	Territories
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240430</publish_date>	JJ	<publish_date>20240430</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
start	VVP	start
first	JJ	first
of	IN	of
all	DT	all
sorry	JJ	sorry
for	IN	for
for	IN	for
the	DT	the
delay	VV	delay
uh	UH	uh
Mr	NP	Mr
larini	NP	larini
was	VBD	be
um	JJ	um
in	IN	in
another	DT	another
meeting	NN	meeting
and	CC	and
I'd	NNS	I'd
like	VVP	like
to	TO	to
thank	VV	thank
you	PP	you
all	DT	all
very	RB	very
much	JJ	much
for	IN	for
being	VBG	be
here	RB	here
for	IN	for
this	DT	this
press	NN	press
conference	NN	conference
uh	UH	uh
of	IN	of
the	DT	the
unra	NN	unra
commissioner	NN	commissioner
General	NP	General
Mr	NP	Mr
Philip	NP	Philip
Le	NP	Le
zini	NP	zini
doesn't	NP	doesn't
need	VVP	need
any	DT	any
introduction	NN	introduction
of	IN	of
course	NN	course
but	CC	but
I'd	NNS	I'd
like	VVP	like
to	TO	to
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
here	RB	here
to	TO	to
listen	VV	listen
to	TO	to
his	PP$	his
update	NN	update
on	IN	on
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
in	IN	in
Gaza	NP	Gaza
and	CC	and
I'll	NP	I'll
give	VVP	give
him	PP	him
the	DT	the
floor	NN	floor
