<video_id>Bq-egJlwHlo</video_id>	JJ	<video_id>Bq-egJlwHlo</video_id>
<video_title>Exhumation	NN	<video_title>Exhumation
operations	NNS	operation
continue	VVP	continue
at	IN	at
apparent	JJ	apparent
mass	JJ	mass
grave	NN	grave
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Exhumation	NN	<thumbnail_path>en_DW\Exhumation
operations	NNS	operation
continue	VVP	continue
at	IN	at
apparent	JJ	apparent
mass	JJ	mass
grave	NN	grave
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240422</publish_date>	JJ	<publish_date>20240422</publish_date>
<doc>	NN	<doc>
gaza's	NNS	gaza's
Civil	NP	Civil
Defense	NP	Defense
Agency	NP	Agency
says	VVZ	say
health	NN	health
workers	NNS	worker
have	VHP	have
uncovered	VVN	uncover
the	DT	the
bodies	NNS	body
of	IN	of
283	CD	@card@
people	NNS	people
buried	VVN	bury
in	IN	in
a	DT	a
hospital	NN	hospital
Courtyard	NN	courtyard
in	IN	in
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
Han	NP	Han
yunes	NNS	yunes
they	PP	they
found	VVD	find
the	DT	the
apparent	JJ	apparent
Mass	NP	Mass
grave	NN	grave
at	IN	at
the	DT	the
Nasser	NP	Nasser
Hospital	NP	Hospital
the	DT	the
site	NN	site
was	VBD	be
previously	RB	previously
raided	VVN	raid
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
the	DT	the
agency	NN	agency
says	VVZ	say
some	DT	some
of	IN	of
the	DT	the
debt	NN	debt
had	VHD	have
no	DT	no
clothing	NN	clothing
indicating	VVG	indicate
they	PP	they
may	MD	may
have	VH	have
faced	VVN	face
torture	NN	torture
and	CC	and
abuse	NN	abuse
Israel's	NNS	Israel's
military	NN	military
says	VVZ	say
it	PP	it
is	VBZ	be
checking	VVG	check
the	DT	the
information	NN	information
which	WDT	which
has	VHZ	have
not	RB	not
been	VBN	be
independently	RB	independently
verified	VVN	verify
and	CC	and
DW	JJ	DW
correspondent	NN	correspondent
Tanya	NP	Tanya
Kramer	NP	Kramer
in	IN	in
Jerusalem	NP	Jerusalem
told	VVD	tell
us	PP	us
more	JJR	more
about	IN	about
the	DT	the
bodies	NNS	body
that	WDT	that
have	VHP	have
been	VBN	be
found	VVN	find
well	RB	well
I	PP	I
mean	VVP	mean
there	EX	there
are	VBP	be
more	JJR	more
details	NNS	detail
coming	VVG	come
out	RP	out
and	CC	and
uh	UH	uh
this	DT	this
is	VBZ	be
not	RB	not
obviously	RB	obviously
the	DT	the
end	NN	end
of	IN	of
it	PP	it
as	IN	as
you	PP	you
said	VVD	say
the	DT	the
Civil	NP	Civil
Defense	NP	Defense
Forces	NPS	Forces
there	RB	there
have	VHP	have
said	VVN	say
that	IN/that	that
they	PP	they
have	VHP	have
found	VVN	find
at	IN	at
least	JJS	least
200	CD	@card@
