<video_id>lBk-ZPUzZl0</video_id>	JJ	<video_id>lBk-ZPUzZl0</video_id>
<video_title>Israeli	NN	<video_title>Israeli
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
'completely	RB	'completely
encircled'	VVN	encircled'
Gaza	NP	Gaza
City	NP	City
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NP	<thumbnail_path>en_DW\Israeli
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
'completely	RB	'completely
encircled'	VVN	encircled'
Gaza	NP	Gaza
City	NP	City
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231103</publish_date>	NP	<publish_date>20231103</publish_date>
<doc>	NP	<doc>
Israel	NP	Israel
says	VVZ	say
its	PP$	its
forces	NNS	force
have	VHP	have
encircled	VVN	encircle
gaza's	NP	gaza's
City	NP	City
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
has	VHZ	have
rallied	VVN	rally
his	PP$	his
troops	NNS	troop
telling	VVG	tell
them	PP	them
nothing	NN	nothing
will	MD	will
stop	VV	stop
their	PP$	their
advance	NN	advance
and	CC	and
he	PP	he
repeated	VVD	repeat
his	PP$	his
warning	NN	warning
to	TO	to
people	NNS	people
to	TO	to
leave	VV	leave
the	DT	the
area	NN	area
world	NN	world
leaders	NNS	leader
are	VBP	be
stepping	VVG	step
up	RP	up
diplomatic	JJ	diplomatic
efforts	NNS	effort
to	TO	to
ease	VV	ease
the	DT	the
siege	NN	siege
of	IN	of
Gaza	NP	Gaza
to	TO	to
allow	VV	allow
more	JJR	more
Aid	NN	aid
to	TO	to
reach	VV	reach
civilians	NNS	civilian
the	DT	the
United	NP	United
Nations	NPS	Nations
says	VVZ	say
four	CD	four
of	IN	of
its	PP$	its
schools	NNS	school
being	VBG	be
used	VVN	use
as	IN	as
Emergency	NP	Emergency
Shelters	NNS	shelter
have	VHP	have
been	VBN	be
damaged	VVN	damage
by	IN	by
the	DT	the
latest	JJS	late
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
with	IN	with
at	IN	at
least	JJS	least
24	CD	@card@
people	NNS	people
killed	VVD	kill
tww	JJ	tww
special	JJ	special
correspondent	NN	correspondent
AIA	NP	AIA
Ibrahim	NP	Ibrahim
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
and	CC	and
I	PP	I
asked	VVD	ask
her	PP	her
for	IN	for
an	DT	an
update	NN	update
on	IN	on
Israel's	NP	Israel's
offensive	NN	offensive
in	IN	in
Gaza	NP	Gaza
well	RB	well
it's	NNS	it's
just	RB	just
important	JJ	important
to	TO	to
remind	VV	remind
our	PP$	our
viewers	NNS	viewer
Nicole	NP	Nicole
that	IN/that	that
we	PP	we
the	DT	the
international	JJ	international
press	NN	press
are	VBP	be
not	RB	not
allowed	VVN	allow
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
at	IN	at
the	DT	the
moment	NN	moment
