<video_id>6PIlRdmGHwE</video_id>	JJ	<video_id>6PIlRdmGHwE</video_id>
<video_title>More	NN	<video_title>More
than	IN	than
100	CD	@card@
people	NNS	people
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
City	NP	City
waiting	VVG	wait
for	IN	for
aid,	NP	aid,
Hamas-run	NP	Hamas-run
health	NN	health
ministry	NN	ministry
says	VVZ	say
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\More	NP	<thumbnail_path>en_DW\More
than	IN	than
100	CD	@card@
people	NNS	people
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
City	NP	City
waiting	VVG	wait
for	IN	for
aid,	NP	aid,
Hamas-run	NP	Hamas-run
health	NN	health
ministry	NN	ministry
says	VVZ	say
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240229</publish_date>	NN	<publish_date>20240229</publish_date>
<doc>	NN	<doc>
now	RB	now
the	DT	the
health	NN	health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
which	WDT	which
is	VBZ	be
controlled	VVN	control
by	IN	by
Hamas	NP	Hamas
says	VVZ	say
the	DT	the
death	NN	death
toll	NN	toll
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
war	NN	war
has	VHZ	have
now	RB	now
topped	VVN	top
30,000	CD	@card@
people	NNS	people
the	DT	the
ministry	NN	ministry
says	VVZ	say
more	JJR	more
than	IN	than
100	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
on	IN	on
Thursday	NP	Thursday
while	IN	while
they	PP	they
were	VBD	be
waiting	VVG	wait
for	IN	for
humanitarian	JJ	humanitarian
Aid	NN	aid
in	IN	in
Gaza	NP	Gaza
City	NP	City
many	JJ	many
of	IN	of
the	DT	the
more	JJR	more
than	IN	than
700	CD	@card@
wounded	NN	wounded
were	VBD	be
rushed	VVN	rush
to	TO	to
hospital	NN	hospital
Israeli	JJ	Israeli
media	NNS	medium
say	VVP	say
an	DT	an
initial	JJ	initial
military	JJ	military
probe	NN	probe
found	VVD	find
that	IN/that	that
Israeli	JJ	Israeli
soldiers	NNS	soldier
did	VVD	do
open	JJ	open
fire	NN	fire
on	IN	on
the	DT	the
crowd	NN	crowd
believing	VVG	believe
they	PP	they
posed	VVD	pose
a	DT	a
threat	NN	threat
DW's	NP	DW's
Tanya	NP	Tanya
ker	NN	ker
joins	VVZ	join
us	PP	us
now	RB	now
for	IN	for
more	JJR	more
from	IN	from
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
these	DT	these
um	JJ	um
garans	NNS	garans
who	WP	who
were	VBD	be
apparently	RB	apparently
killed	VVN	kill
while	IN	while
waiting	VVG	wait
for	IN	for
Aid	NP	Aid
on	IN	on
Thursday	NP	Thursday
yeah	RB	yeah
very	RB	very
devastating	JJ	devastating
scenes	NNS	scene
that	WDT	that
were	VBD	be
described	VVN	describe
by	IN	by
the	DT	the
eyewitnesses	NNS	eyewitness
but	CC	but
also	RB	also
conflicting	VVG	conflict
uh	UH	uh
reports	NNS	report
on	IN	on
what	WP	what
happened	VVD	happen
especially	RB	especially
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
timeline	NN	timeline
now	RB	now
we	PP	we
understand	VVP	understand
there	EX	there
were	VBD	be
the	DT	the
an	DT	an
aid	NN	aid
Convoy	NN	convoy
or	CC	or
Convoy	NN	convoy
with	IN	with
Goods	NP	Goods
coming	VVG	come
from	IN	from
the	DT	the
south	NN	south
to	TO	to
the	DT	the
north	NN	north
on	IN	on
the	DT	the
coastal	JJ	coastal
Road	NP	Road
that's	NNS	that's
along	IN	along
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
the	DT	the
coastal	JJ	coastal
line	NN	line
of	IN	of
Gaza	NP	Gaza
uh	UH	uh
going	NN	going
into	IN	into
uh	UH	uh
Northern	NP	Northern
Gaza	NP	Gaza
passing	VVG	pass
a	DT	a
uh	UH	uh
a	DT	a
sort	NN	sort
of	IN	of
checkpoint	NN	checkpoint
there	RB	there
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
now	RB	now
eyewitness	NN	eyewitness
uh	UH	uh
um	NNS	um
said	VVD	say
in	IN	in
in	IN	in
the	DT	the
wire	NN	wire
service	NN	service
that	IN/that	that
you	PP	you
know	VVP	know
um	NNS	um
and	CC	and
you	PP	you
could	MD	could
also	RB	also
see	VV	see
it	PP	it
on	IN	on
a	DT	a
footage	NN	footage
that	WDT	that
was	VBD	be
released	VVN	release
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
that	IN/that	that
hundreds	NNS	hundred
of	IN	of
people	NNS	people
seem	VVP	seem
to	TO	to
approach	VV	approach
those	DT	those
uh	UH	uh
trucks	NNS	truck
trying	VVG	try
to	TO	to
get	VV	get
to	TO	to
this	DT	this
a	DT	a
trying	VVG	try
to	TO	to
get	VV	get
to	TO	to
the	DT	the
food	NN	food
uh	UH	uh
to	TO	to
the	DT	the
goods	NNS	good
that	WDT	that
is	VBZ	be
on	IN	on
uh	UH	uh
these	DT	these
are	VBP	be
on	IN	on
the	DT	the
trucks	NNS	truck
now	RB	now
uh	UH	uh
I	PP	I
witness	VVP	witness
said	VVD	say
there	EX	there
was	VBD	be
shooting	NN	shooting
involved	VVN	involve
and	CC	and
that	IN/that	that
people	NNS	people
were	VBD	be
in	IN	in
panic	NN	panic
running	VVG	run
also	RB	also
the	DT	the
trucks	NNS	truck
were	VBD	be
trying	VVG	try
to	TO	to
uh	UH	uh
get	VV	get
away	RB	away
um	JJ	um
and	CC	and
there	EX	there
was	VBD	be
a	DT	a
panic	NN	panic
there	RB	there
happening	VVG	happen
and	CC	and
that's	NNS	that's
why	WRB	why
the	DT	the
uh	UH	uh
Health	NP	Health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
said	VVD	say
that	IN/that	that
over	IN	over
100	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
uh	UH	uh
several	JJ	several
hundred	CD	hundred
injured	VVN	injure
in	IN	in
this	DT	this
inci	NN	inci
now	RB	now
the	DT	the
IDF	NP	IDF
has	VHZ	have
a	DT	a
different	JJ	different
account	NN	account
of	IN	of
what	WP	what
has	VHZ	have
happened	VVN	happen
there	RB	there
and	CC	and
and	CC	and
can	MD	can
you	PP	you
remind	VV	remind
us	PP	us
what	WP	what
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
saying	VVG	say
about	IN	about
it	PP	it
yeah	RB	yeah
they're	NN	they're
saying	VVG	say
basically	RB	basically
in	IN	in
a	DT	a
statement	NN	statement
they	PP	they
released	VVD	release
earlier	RBR	earlier
and	CC	and
they	PP	they
say	VVP	say
also	RB	also
this	DT	this
the	DT	the
incident	NN	incident
is	VBZ	be
still	RB	still
under	IN	under
investigation	NN	investigation
they	PP	they
were	VBD	be
saying	VVG	say
that	IN/that	that
in	IN	in
a	DT	a
first	JJ	first
incident	NN	incident
uh	UH	uh
and	CC	and
that's	NNS	that's
why	WRB	why
they	PP	they
released	VVD	release
this	DT	this
footage	NN	footage
uh	UH	uh
as	RB	as
they	PP	they
say	VV	say
uh	UH	uh
you	PP	you
