seated	VVN	seat
the	DT	the
sitting	VVG	sit
is	VBZ	be
open	RB	open
the	DT	the
court	NN	court
meets	VVZ	meet
today	NN	today
pursuant	JJ	pursuant
to	TO	to
article	NN	article
67	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
to	TO	to
deliver	VV	deliver
its	PP$	its
advisory	JJ	advisory
opinion	NN	opinion
on	IN	on
the	DT	the
request	NN	request
submitted	VVN	submit
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
on	IN	on
the	DT	the
question	NN	question
of	IN	of
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
arising	VVG	arise
from	IN	from
the	DT	the
policies	NNS	policy
and	CC	and
practices	NNS	practice
of	IN	of
Israel	NP	Israel
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
including	VVG	include
Jerusalem	NP	Jerusalem
the	DT	the
questions	NNS	question
on	IN	on
which	WDT	which
the	DT	the
advisory	JJ	advisory
opinion	NN	opinion
of	IN	of
the	DT	the
court	NN	court
has	VHZ	have
been	VBN	be
requested	VVN	request
are	VBP	be
set	VVN	set
for	IN	for
report	NN	report
is	VBZ	be
resolution	NN	resolution
77	CD	@card@
bar	NN	bar
247	CD	@card@
adopted	VVN	adopt
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
General	NP	General
Assembly	NP	Assembly
on	IN	on
December	NP	December
30	CD	@card@
2022	CD	@card@
by	IN	by
a	DT	a
letter	NN	letter
dated	VVN	date
17	CD	@card@
January	NP	January
2023	CD	@card@
and	CC	and
received	VVD	receive
by	IN	by
the	DT	the
registry	NN	registry
on	IN	on
January	NP	January
19th	JJ	19th
2023	CD	@card@
the	DT	the
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
officially	RB	officially
communicated	VVD	communicate
to	TO	to
the	DT	the
court	NN	court
the	DT	the
dec	NN	Dec
the	DT	the
decision	NN	decision
taken	VVN	take
by	IN	by
the	DT	the
general	JJ	general
assembly	NN	assembly
to	TO	to
submit	VV	submit
these	DT	these
questions	NNS	question
for	IN	for
an	DT	an
advisory	JJ	advisory
opinion	NN	opinion
paragraph	NN	paragraph
18	CD	@card@
of	IN	of
the	DT	the
resolution	NN	resolution
reads	VVZ	read
as	RB	as
follow	VV	follow
as	RB	as
follows	VVZ	follow
and	CC	and
I	PP	I
quote	VVP	quote
the	DT	the
general	JJ	general
assembly	NN	assembly
decides	VVZ	decide
in	IN	in
accordance	NN	accordance
with	IN	with
article	NN	article
96	CD	@card@
of	IN	of
the	DT	the
charter	NN	charter
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
request	VV	request
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
pursuant	JJ	pursuant
to	TO	to
article	NN	article
65	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
of	IN	of
the	DT	the
court	NN	court
to	TO	to
render	VV	render
an	DT	an
advisor	NN	advisor
opin	NN	opin
opinion	NN	opinion
on	IN	on
the	DT	the
following	VVG	follow
questions	NNS	question
considering	VVG	consider
the	DT	the
rules	NNS	rule
and	CC	and
principles	NNS	principle
of	IN	of
international	JJ	international
law	NN	law
including	VVG	include
the	DT	the
charter	NN	charter
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
international	JJ	international
human	JJ	human
rights	NNS	right
law	NN	law
relevant	JJ	relevant
resolutions	NNS	resolution
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
the	DT	the
general	JJ	general
assembly	NN	assembly
and	CC	and
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
and	CC	and
the	DT	the
advisory	JJ	advisory
opinion	NN	opinion
of	IN	of
the	DT	the
court	NN	court
of	IN	of
July	NP	July
9	CD	@card@
2004	CD	@card@
a	DT	a
what	WP	what
are	VBP	be
the	DT	the
legal	JJ	legal
consequences	NNS	consequence
arising	VVG	arise
from	IN	from
the	DT	the
ongoing	JJ	ongoing
violation	NN	violation
by	IN	by
Israel	NP	Israel
of	IN	of
the	DT	the
right	NN	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
self	JJ	self
-	NN	-
determination	NN	determination
from	IN	from
its	PP$	its
prolonged	JJ	prolonged
occupation	NN	occupation
settlement	NN	settlement
and	CC	and
annexation	NN	annexation
of	IN	of
the	DT	the
