earlier	RBR	earlier
I	PP	I
spoke	VVD	speak
with	IN	with
hen	NN	hen
Balou	NP	Balou
he	PP	he
'	POS	'
s	NNS	s
a	DT	a
freelance	NN	freelance
journalist	NN	journalist
in	IN	in
Gaza	NP	Gaza
I	PP	I
asked	VVD	ask
him	PP	him
to	TO	to
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
intense	JJ	intense
air	NN	air
strikes	NNS	strike
reported	VVD	report
overnight	JJ	overnight
situation	NN	situation
as	IN	as
you	PP	you
said	VVD	say
like	IN	like
there	EX	there
were	VBD	be
intense	JJ	intense
air	NN	air
strikes	NNS	strike
across	IN	across
the	DT	the
G	NP	G
St	NP	St
with	IN	with
in	IN	in
the	DT	the
north	NN	north
that	IN/that	that
the	DT	the
the	DT	the
place	NN	place
where	WRB	where
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
asked	VVD	ask
the	DT	the
people	NNS	people
to	TO	to
evacuate	VV	evacuate
or	CC	or
to	TO	to
the	DT	the
area	NN	area
in	IN	in
the	DT	the
South	NP	South
where	WRB	where
people	NNS	people
were	VBD	be
asked	VVN	ask
to	TO	to
uh	UH	uh
to	TO	to
evacuate	VV	evacuate
too	RB	too
um	JJ	um
dozens	NNS	dozen
of	IN	of
or	CC	or
hundreds	NNS	hundred
of	IN	of
of	IN	of
casualties	NNS	casualty
were	VBD	be
reported	VVN	report
by	IN	by
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
and	CC	and
Ministry	NP	Ministry
of	IN	of
interior	JJ	interior
um	NNS	um
still	VV	still
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
it	PP	it
'	POS	'
s	JJ	s
hard	NN	hard
to	TO	to
to	TO	to
uh	UH	uh
uh	UH	uh
to	TO	to
count	VV	count
that	IN/that	that
the	DT	the
number	NN	number
of	IN	of
air	NN	air
strikes	NNS	strike
or	CC	or
or	CC	or
uh	UH	uh
the	DT	the
bombing	NN	bombing
um	NN	um
we	PP	we
can	MD	can
hear	VV	hear
it	PP	it
from	IN	from
time	NN	time
to	TO	to
time	NN	time
in	IN	in
my	PP$	my
area	NN	area
I	NP	I
'	POS	'
m	NN	m
I	NP	I
'	POS	'
m	NN	m
in	IN	in
M	NP	M
rug	NN	rug
Camp	NP	Camp
Central	NP	Central
gva	NP	gva
St	NP	St
and	CC	and
I	PP	I
can	MD	can
hear	VV	hear
the	DT	the
the	DT	the
the	DT	the
tank	NN	tank
shells	VVZ	shell
the	DT	the
the	DT	the
air	NN	air
strikes	NNS	strike
and	CC	and
the	DT	the
Silence	NN	silence
of	IN	of
the	DT	the
ambulances	NNS	ambulance
that	IN/that	that
evacuating	VVG	evacuate
casualties	NNS	casualty
uh	UH	uh
there	EX	there
was	VBD	be
a	DT	a
report	NN	report
that	IN/that	that
when	WRB	when
Baker	NP	Baker
was	VBD	be
H	NN	H
overnight	JJ	overnight
in	IN	in
maazi	NP	maazi
Refuge	NP	Refuge
camp	NN	camp
in	IN	in
central	JJ	central
area	NN	area
and	CC	and
according	VVG	accord
to	TO	to
the	DT	the
information	NN	information
office	NN	office
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
bakery	NN	bakery
that	WDT	that
have	VHP	have
the	DT	the
magazi	JJ	magazi
uh	UH	uh
refugee	NN	refugee
camp	NN	camp
there	RB	there
the	DT	the
UN	NP	UN
agency	NN	agency
working	VVG	work
with	IN	with
refugees	NNS	refugee
in	IN	in
Gaza	NP	Gaza
says	VVZ	say
that	IN/that	that
it	PP	it
might	MD	might
halt	VV	halt
Gaza	NP	Gaza
Aid	NP	Aid
operations	NNS	operation
due	JJ	due
to	TO	to
a	DT	a
lack	NN	lack
of	IN	of
fuel	NN	fuel
how	WRB	how
much	JJ	much
Aid	NN	aid
have	VHP	have
you	PP	you
seen	VVN	see
coming	VVG	come
through	IN	through
into	IN	into
Gaza	NP	Gaza
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
few	JJ	few
number	NN	number
of	IN	of
trucks	VVZ	truck
uh	UH	uh
we	PP	we
are	VBP	be
talking	VVG	talk
like	IN	like
um	RB	um
54	CD	@card@
then	RB	then
I	PP	I
think	VVP	think
yesterday	RB	yesterday
there	EX	there
were	VBD	be
uh	UH	uh
a	DT	a
few	JJ	few
trucks	NNS	truck
more	RBR	more
came	VVD	come
in	IN	in
but	CC	but
that	DT	that
is	VBZ	be
very	RB	very
below	IN	below
the	DT	the
need	NN	need
um	NN	um
and	CC	and
all	DT	all
of	IN	of
these	DT	these
AIDS	NP	AIDS
are	VBP	be
not	RB	not
um	JJ	um
including	VVG	include
um	NN	um
um	NNS	um
fuel	NN	fuel
which	WDT	which
is	VBZ	be
uh	UH	uh
the	DT	the
basic	JJ	basic
need	NN	need
for	IN	for
many	JJ	many
services	NNS	service
for	IN	for
water	NN	water
supplies	NNS	supply
for	IN	for
uh	UH	uh
for	IN	for
vehicles	NNS	vehicle
uh	UH	uh
to	TO	to
work	VV	work
for	IN	for
ambulances	NNS	ambulance
for	IN	for
civil	JJ	civil
defense	NN	defense
um	NNS	um
as	RB	as
well	RB	well
as	IN	as
for	IN	for
water	NN	water
deimination	NN	deimination
um	NNS	um
you	PP	you
know	VVP	know
Gala	NP	Gala
water	NN	water
is	VBZ	be
contaminated	VVN	contaminate
and	CC	and
it	PP	it
need	VVP	need
to	TO	to
be	VB	be
uh	UH	uh
uh	UH	uh
uh	UH	uh
deiminated	JJ	deiminated
um	NNS	um
in	IN	in
in	IN	in
in	IN	in
different	JJ	different
stations	NNS	station
as	RB	as
long	RB	long
as	IN	as
there	EX	there
is	VBZ	be
no	DT	no
fuel	NN	fuel
there	EX	there
will	MD	will
be	VB	be
no	DT	no
uh	UH	uh
drinking	NN	drinking
water	NN	water
for	IN	for
for	IN	for
the	DT	the
ordinary	JJ	ordinary
people	NNS	people
um	JJ	um
um	NN	um
the	DT	the
Ona	NP	Ona
is	VBZ	be
providing	VVG	provide
some	DT	some
bakeries	NNS	bakery
with	IN	with
wheat	NN	wheat
with	IN	with
M	NP	M
wheat	NN	wheat
so	IN	so
that	DT	that
Bakery	NN	bakery
sell	VV	sell
the	DT	the
backs	NNS	back
with	IN	with
the	DT	the
cheaper	JJR	cheap
price	NN	price
for	IN	for
for	IN	for
the	DT	the
people	NNS	people
but	CC	but
other	JJ	other
other	JJ	other
AIDS	NP	AIDS
I	PP	I
mean	VVP	mean
personally	RB	personally
I	PP	I
haven	VVP	haven
'	''	'
t	NN	t
seen	VVN	see
it	PP	it
um	NNS	um
maybe	RB	maybe
there	EX	there
was	VBD	be
some	DT	some
distribution	NN	distribution
in	IN	in
schools	NNS	school
like	IN	like
it	PP	it
'	POS	'
s	NN	S
as	IN	as
a	DT	a
filters	NNS	filter
people	NNS	people
are	VBP	be
evacuating	VVG	evacuate
too	RB	too
but	CC	but
um	NNS	um
and	CC	and
some	DT	some
some	RB	some
some	RB	some
some	DT	some
medical	JJ	medical
supplies	NNS	supply
were	VBD	be
distributed	VVN	distribute
partially	RB	partially
to	TO	to
some	DT	some
Hospital	NN	hospital
in	IN	in
the	DT	the
South	JJ	South
officials	NNS	official
in	IN	in
Gaza	NP	Gaza
and	CC	and
Medics	NNS	medic
are	VBP	be
saying	VVG	say
that	IN/that	that
the	DT	the
hospitals	NNS	hospital
and	CC	and
um	NNS	um
in	IN	in
in	IN	in
the	DT	the
North	NP	North
or	CC	or
Gaza	NP	Gaza
City	NP	City
and	CC	and
including	VVG	include
the	DT	the
main	JJ	main
hospital	NN	hospital
of	IN	of
the	DT	the
G	NP	G
sha	NP	Sha
Hospital	NP	Hospital
are	VBP	be
not	RB	not
receiving	VVG	receive
any	DT	any
of	IN	of
these	DT	these
AIDS	NP	AIDS
as	IN	as
Israelis	NPS	Israelis
are	VBP	be
preventing	VVG	prevent
uh	UH	uh
delivery	NN	delivery
to	TO	to
these	DT	these
these	DT	these
areas	NNS	area
well	RB	well
we	PP	we
can	MD	can
now	RB	now
talk	VV	talk
to	TO	to
Israeli	JJ	Israeli
milary	JJ	milary
spokesperson	NN	spokesperson
Peter	NP	Peter
LNA	NP	LNA
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
welcome	NN	welcome
to	TO	to
the	DT	the
program	NN	program
now	RB	now
the	DT	the
UN	NP	UN
US	NP	US
Canada	NP	Canada
and	CC	and
EU	NP	EU
the	DT	the
eu	NN	eu
'	POS	'
s	JJ	s
foreign	JJ	foreign
policy	NN	policy
Chief	NN	chief
they	PP	they
'	POS	'
ve	NN	ve
all	RB	all
called	VVD	call
for	IN	for
for	IN	for
a	DT	a
pause	NN	pause
to	TO	to
the	DT	the
fighting	NN	fighting
to	TO	to
allow	VV	allow
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
uh	UH	uh
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
military	NN	military
planning	VVG	plan
such	PDT	such
a	DT	a
pause	NN	pause
or	CC	or
perhaps	RB	perhaps
a	DT	a
ceasefire	NN	ceasefire
Terry	NP	Terry
good	JJ	good
morning	NN	morning
it	PP	it
'	POS	'
s	NN	S
day	NN	day
19	CD	@card@
of	IN	of
our	PP$	our
war	NN	war
against	IN	against
Hamas	JJ	Hamas
Hamas	NNS	Hamas
that	WDT	that
initiated	VVD	initiate
a	DT	a
war	NN	war
opened	VVD	open
a	DT	a
war	NN	war
massacred	VVN	massacre
over	IN	over
1	CD	@card@
,	,	,
400	CD	@card@
Israelis	NNS	Israeli
abducted	VVD	abduct
222	CD	@card@
people	NNS	people
we	PP	we
are	VBP	be
we	PP	we
have	VHP	have
decided	VVN	decide
to	TO	to
destroy	VV	destroy
Hamas	NNS	Hamas
and	CC	and
make	VV	make
sure	JJ	sure
they	PP	they
can	MD	can
never	RB	never
wield	VV	wield
the	DT	the
sword	NN	sword
of	IN	of
Terror	NN	terror
against	IN	against
us	PP	us
again	RB	again
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
as	RB	as
such	JJ	such
as	IN	as
we	PP	we
are	VBP	be
we	PP	we
are	VBP	be
doing	VVG	do
going	VVG	go
out	RP	out
of	IN	of
our	PP$	our
way	NN	way
to	TO	to
um	NNS	um
to	TO	to
try	VV	try
and	CC	and
differentiate	VV	differentiate
between	IN	between
the	DT	the
civilian	JJ	civilian
population	NN	population
and	CC	and
uh	UH	uh
the	DT	the
terrorists	NNS	terrorist
unfortunately	RB	unfortunately
it	PP	it
is	VBZ	be
Hamas	JJ	Hamas
that	WDT	that
is	VBZ	be
intentionally	RB	intentionally
putting	VVG	put
the	DT	the
people	NNS	people
at	IN	at
risk	NN	risk
indeed	RB	indeed
that	IN/that	that
we	PP	we
are	VBP	be
are	VBP	be
uh	UH	uh
working	VVG	work
with	IN	with
International	NP	International
humanitarian	JJ	humanitarian
organizations	NNS	organization
operating	VVG	operate
in	IN	in
the	DT	the
ground	NN	ground
in	IN	in
order	NN	order
to	TO	to
assess	VV	assess
and	CC	and
understand	VV	understand
the	DT	the
needs	VVZ	need
uh	UH	uh
there	RB	there
are	VBP	be
and	CC	and
there	EX	there
was	VBD	be
of	IN	of
course	NN	course
stockpiles	NNS	stockpile
of	IN	of
food	NN	food
