<video_id>8HPzQxnqNz0</video_id>	NP	<video_id>8HPzQxnqNz0</video_id>
<video_title>Blinken	NP	<video_title>Blinken
in	IN	in
Israel:	NP	Israel:
What	WP	what
can	MD	can
US	NP	US
diplomacy	NN	diplomacy
do	VVP	do
to	TO	to
end	VV	end
the	DT	the
war?	NN	war?
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Blinken	NP	<thumbnail_path>en_DW\Blinken
in	IN	in
Israel	NP	Israel
What	WP	what
can	MD	can
US	NP	US
diplomacy	NN	diplomacy
do	VVP	do
to	TO	to
end	VV	end
the	DT	the
war	NN	war
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231016</publish_date>	NN	<publish_date>20231016</publish_date>
<doc>	NN	<doc>
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
has	VHZ	have
returned	VVN	return
to	TO	to
Israel	NP	Israel
to	TO	to
consult	VV	consult
with	IN	with
officials	NNS	official
over	IN	over
the	DT	the
conflict	NN	conflict
with	IN	with
Hamas	JJ	Hamas
he's	NNS	he's
arrived	VVN	arrive
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
for	IN	for
his	PP$	his
second	JJ	second
visit	NN	visit
in	IN	in
less	JJR	less
than	IN	than
a	DT	a
week	NN	week
he's	NNS	he's
scheduled	VVN	schedule
to	TO	to
meet	VV	meet
Israel's	NP	Israel's
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
as	RB	as
well	RB	well
as	IN	as
president	NN	president
Isaac	NP	Isaac
Herzog	NP	Herzog
along	IN	along
with	IN	with
their	PP$	their
War	NP	War
cabinet	NN	cabinet
Lincoln	NP	Lincoln
has	VHZ	have
been	VBN	be
visiting	VVG	visit
leaders	NNS	leader
in	IN	in
several	JJ	several
other	JJ	other
countries	NNS	country
in	IN	in
the	DT	the
region	NN	region
in	IN	in
recent	JJ	recent
days	NNS	day
as	IN	as
well	RB	well
including	VVG	include
Jordan	NP	Jordan
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
Egypt	NP	Egypt
I'm	NP	I'm
very	RB	very
pleased	VVD	please
pleas	NNS	plea
to	TO	to
welcome	VV	welcome
former	JJ	former
US	NP	US
ambassador	NN	ambassador
Gerald	NP	Gerald
firestein	NP	Firestein
he's	JJ	he's
uh	UH	uh
focused	VVN	focus
heavily	RB	heavily
on	IN	on
counterterrorism	NN	counterterrorism
in	IN	in
his	PP$	his
work	NN	work
in	IN	in
the	DT	the
region	NN	region
and	CC	and
he's	NNS	he's
now	RB	now
with	IN	with
the	DT	the
Middle	NP	Middle
East	NP	East
Institute	NP	Institute
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
taking	VVG	take
the	DT	the
time	NN	time
to	TO	to
speak	VV	speak
with	IN	with
us	PP	us
we	PP	we
now	RB	now
have	VHP	have
uh	UH	uh
blinkin	NN	blinkin
back	RB	back
in	IN	in
Israel	NP	Israel
in	IN	in
your	PP$	your
view	NN	view
what	WP	what
needs	VVZ	need
to	TO	to
happen	VV	happen
on	IN	on
the	DT	the
Diplomatic	JJ	diplomatic
front	NN	front
to	TO	to
end	VV	end
this	DT	this
war	NN	war
well	RB	well
it's	JJ	it's
a	DT	a
pleasure	NN	pleasure
to	TO	to
be	VB	be
with	IN	with
you	PP	you
uh	UH	uh
uh	UH	uh
today	NN	today
and	CC	and
uh	UH	uh
I	PP	I
think	VVP	think
that	IN/that	that
there	EX	there
are	VBP	be
a	DT	a
couple	NN	couple
of	IN	of
things	NNS	thing
going	VVG	go
on	IN	on
one	CD	one
of	IN	of
course	NN	course
um	NNS	um
as	IN	as
your	PP$	your
reporter	NN	reporter
mentioned	VVN	mention
is	VBZ	be
uh	UH	uh
concerned	VVN	concern
about	IN	about
the	DT	the
potential	JJ	potential
expansion	NN	expansion
of	IN	of
the	DT	the
of	IN	of
the	DT	the
conflict	NN	conflict
and	CC	and
so	RB	so
uh	UH	uh
I	PP	I
think	VVP	think
that	IN/that	that
secretary	NN	secretary
