<video_id>Q3Iin7myj5Q</video_id>	NP	<video_id>Q3Iin7myj5Q</video_id>
<video_title>Israel	NP	<video_title>Israel
responds	VVZ	respond
to	TO	to
ICJ	NP	ICJ
genocide	NN	genocide
claims	NNS	claim
as	IN	as
hostage	NN	hostage
bodies	NNS	body
recovered	VVN	recover
in	IN	in
Gaza	NP	Gaza
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel	NP	<thumbnail_path>en_DW\Israel
responds	VVZ	respond
to	TO	to
ICJ	NP	ICJ
genocide	NN	genocide
claims	NNS	claim
as	IN	as
hostage	NN	hostage
bodies	NNS	body
recovered	VVN	recover
in	IN	in
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240518</publish_date>	NP	<publish_date>20240518</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
military	NN	military
says	VVZ	say
that	IN/that	that
it	PP	it
has	VHZ	have
found	VVN	find
the	DT	the
bodies	NNS	body
of	IN	of
three	CD	three
Israeli	JJ	Israeli
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
among	IN	among
them	PP	them
the	DT	the
German	JJ	German
Israeli	NP	Israeli
Shaunie	NP	Shaunie
luk	VVZ	luk
her	PP$	her
body	NN	body
was	VBD	be
seen	VVN	see
in	IN	in
the	DT	the
back	NN	back
of	IN	of
a	DT	a
pickup	NN	pickup
truck	NN	truck
in	IN	in
videos	NNS	video
from	IN	from
the	DT	the
October	NP	October
7th	JJ	7th
terrorist	JJ	terrorist
attack	NN	attack
she	PP	she
was	VBD	be
later	RBR	later
declared	VVN	declare
dead	RB	dead
after	IN	after
skull	NN	skull
fragments	NNS	fragment
were	VBD	be
found	VVN	find
a	DT	a
military	JJ	military
spokesman	NN	spokesman
said	VVD	say
that	IN/that	that
the	DT	the
three	CD	three
hostages	NNS	hostage
that	IN/that	that
they	PP	they
were	VBD	be
killed	VVN	kill
by	IN	by
Hamas	NNS	Hamas
at	IN	at
the	DT	the
Nova	NP	Nova
music	NN	music
festival	NN	festival
and	CC	and
then	RB	then
their	PP$	their
body	NN	body
were	VBD	be
taken	VVN	take
across	IN	across
the	DT	the
border	NN	border
into	IN	into
Gaza	NP	Gaza
here's	NNS	here's
more	RBR	more
now	RB	now
from	IN	from
the	DT	the
Israeli	JJ	Israeli
spokesman	NN	spokesman
earlier	RBR	earlier
today	NN	today
they	PP	they
were	VBD	be
celebrating	VVG	celebrate
life	NN	life
in	IN	in
the	DT	the
Nova	NP	Nova
music	NN	music
festival	NN	festival
and	CC	and
they	PP	they
were	VBD	be
murdered	VVN	murder
by	IN	by
Kamas	NP	Kamas
their	PP$	their
bodies	NNS	body
were	VBD	be
transferred	VVN	transfer
to	TO	to
Medical	NP	Medical
Professional	NP	Professional
for	IN	for
forensic	JJ	forensic
examination	NN	examination
and	CC	and
identification	NN	identification
after	IN	after
the	DT	the
procedure	NN	procedure
was	VBD	be
completed	VVN	complete
we	PP	we
notified	VVD	notify
their	PP$	their
families	NNS	family
our	PP$	our
hearts	NNS	heart
go	VVP	go
out	RP	out
to	TO	to
them	PP	them
tww	VVG	tww
special	JJ	special
correspondent	NN	correspondent
Aya	NP	Aya
Ibrahim	NP	Ibrahim
in	IN	in
Jerusalem	NP	Jerusalem
has	VHZ	have
more	JJR	more
so	IN	so
we	PP	we
know	VVP	know
that	IN/that	that
uh	UH	uh
their	PP$	their
remains	NNS	remains
were	VBD	be
recovered	VVN	recover
in	IN	in
an	DT	an
overnight	JJ	overnight
operation	NN	operation
that's	NNS	that's
according	VVG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
military	JJ	military
spokesperson	NN	spokesperson
Daniel	NP	Daniel
hagari	NNS	hagari
who	WP	who
we've	VVP	we've
also	RB	also
just	RB	just
heard	VVD	hear
uh	UH	uh
uh	UH	uh
from	IN	from
Shany	NP	Shany
Luke	NP	Luke
as	IN	as
you	PP	you
mentioned	VVD	mention
a	DT	a
dual	JJ	dual
Israeli	JJ	Israeli
uh	UH	uh
German	JJ	German
uh	UH	uh
National	NP	National
um	NNS	um
she	PP	she
had	VHD	have
been	VBN	be
presumed	VVN	presume
dead	RB	dead
for	IN	for
a	DT	a
while	NN	while
now	IN	now
uh	UH	uh
as	RB	as
as	RB	as
as	IN	as
the	DT	the
Israeli	JJ	Israeli
military	NN	military
had	VHD	have
previously	RB	previously
found	VVN	find
a	DT	a
part	NN	part
of	IN	of
her	PP$	her
skull	NN	skull
that	WDT	that
was	VBD	be
identified	VVN	identify
uh	UH	uh
but	CC	but
the	DT	the
other	JJ	other
two	CD	two
a	DT	a
young	JJ	young
woman	NN	woman
in	IN	in
her	PP$	her
late	JJ	late
20s	NNS	20s
and	CC	and
a	DT	a
a	DT	a
man	NN	man
in	IN	in
his	PP$	his
early	JJ	early
50s	NN	50s
there	RB	there
hadn't	NN	hadn't
really	RB	really
been	VBN	be
any	DT	any
signs	NNS	sign
of	IN	of
life	NN	life
from	IN	from
them	PP	them
since	IN	since
they	PP	they
were	VBD	be
taken	VVN	take
on	IN	on
October	NP	October
7th	JJ	7th
so	RB	so
of	IN	of
course	NN	course
there	EX	there
was	VBD	be
some	DT	some
hope	NN	hope
that	IN/that	that
they	PP	they
might	MD	might
be	VB	be
exchanged	VVN	exchange
uh	UH	uh
in	IN	in
