<video_id>tRw5nzED8Vc</video_id>	NP	<video_id>tRw5nzED8Vc</video_id>
<video_title>Israel,	NP	<video_title>Israel,
Hezbollah	NP	Hezbollah
exchange	NN	exchange
barrage	NN	barrage
of	IN	of
missiles	NNS	missile
across	IN	across
Lebanon	NP	Lebanon
border	NN	border
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel,	NP	<thumbnail_path>en_DW\Israel,
Hezbollah	NP	Hezbollah
exchange	NN	exchange
barrage	NN	barrage
of	IN	of
missiles	NNS	missile
across	IN	across
Lebanon	NP	Lebanon
border	NN	border
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240825</publish_date>	NN	<publish_date>20240825</publish_date>
<doc>	NN	<doc>
we	PP	we
begin	VVP	begin
with	IN	with
breaking	VVG	break
news	NN	news
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
Israel	NP	Israel
and	CC	and
the	DT	the
Hezbollah	NP	Hezbollah
militant	JJ	militant
group	NN	group
based	VVN	base
in	IN	in
Lebanon	NP	Lebanon
say	VVP	say
they	PP	they
have	VHP	have
launched	VVN	launch
attacks	NNS	attack
against	IN	against
each	DT	each
other	JJ	other
Israel	NP	Israel
says	VVZ	say
its	PP$	its
Armed	NP	Armed
Forces	NPS	Forces
struck	VVD	strike
thousands	NNS	thousand
of	IN	of
missile	NN	missile
SES	NNS	sis
to	TO	to
prevent	VV	prevent
a	DT	a
large-scale	JJ	large-scale
attack	NN	attack
on	IN	on
its	PP$	its
territory	NN	territory
Hezbollah	NP	Hezbollah
says	VVZ	say
it	PP	it
has	VHZ	have
launched	VVN	launch
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
drones	NNS	drone
against	IN	against
Israel	NP	Israel
in	IN	in
retaliation	NN	retaliation
for	IN	for
the	DT	the
killing	NN	killing
of	IN	of
one	CD	one
of	IN	of
its	PP$	its
commanders	NNS	commander
in	IN	in
Beirut	NP	Beirut
last	JJ	last
month	NN	month
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
say	VVP	say
they	PP	they
launched	VVD	launch
preemptive	JJ	preemptive
strikes	NNS	strike
against	IN	against
haspa	NN	haspa
Targets	NNS	target
in	IN	in
Lebanon	NP	Lebanon
a	DT	a
short	JJ	short
while	IN	while
ago	RB	ago
the	DT	the
IDF	NP	IDF
identified	VVD	identify
kisala	NN	kisala
terrorist	JJ	terrorist
organization	NN	organization
preparing	VVG	prepare
to	TO	to
fire	VV	fire
missiles	NNS	missile
Rockets	NNS	rocket
towards	IN	towards
Israeli	JJ	Israeli
territory	NN	territory
in	IN	in
a	DT	a
self-defense	NN	self-defense
act	NN	act
to	TO	to
remove	VV	remove
these	DT	these
threats	NNS	threat
the	DT	the
IDF	NP	IDF
is	VBZ	be
striking	VVG	strike
Terror	NN	terror
Targets	NNS	target
in	IN	in
Lebanon	NP	Lebanon
from	IN	from
Rich	NP	Rich
