<video_id>sjbwH5MKwtI</video_id>	JJ	<video_id>sjbwH5MKwtI</video_id>
<video_title>Berlin	NN	<video_title>Berlin
hosts	VVZ	host
large	JJ	large
rally	NN	rally
in	IN	in
solidarity	NN	solidarity
with	IN	with
Israel	NP	Israel
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Berlin	NN	<thumbnail_path>en_DW\Berlin
hosts	VVZ	host
large	JJ	large
rally	NN	rally
in	IN	in
solidarity	NN	solidarity
with	IN	with
Israel	NP	Israel
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231022</publish_date>	NN	<publish_date>20231022</publish_date>
<doc>	NN	<doc>
here	RB	here
in	IN	in
Berlin	NP	Berlin
a	DT	a
large	JJ	large
rally	NN	rally
in	IN	in
solidarity	NN	solidarity
with	IN	with
Israel	NP	Israel
and	CC	and
in	IN	in
support	NN	support
of	IN	of
the	DT	the
Jewish	JJ	Jewish
community	NN	community
in	IN	in
Germany	NP	Germany
is	VBZ	be
underway	JJ	underway
thousands	NNS	thousand
have	VHP	have
gathered	VVN	gather
at	IN	at
the	DT	the
iconic	JJ	iconic
Brandenburg	NP	Brandenburg
gate	NN	gate
to	TO	to
show	VV	show
their	PP$	their
support	NN	support
among	IN	among
them	PP	them
are	VBP	be
also	RB	also
friends	NNS	friend
and	CC	and
family	NN	family
of	IN	of
those	DT	those
who	WP	who
have	VHP	have
been	VBN	be
taken	VVN	take
hostage	NN	hostage
by	IN	by
Hamas	NNS	Hamas
on	IN	on
the	DT	the
October	NP	October
7th	JJ	7th
Terror	NN	terror
attacks	NNS	attack
that	WDT	that
left	VVD	leave
more	JJR	more
than	IN	than
1300	CD	@card@
Israelis	NPS	Israelis
dead	JJ	dead
German	JJ	German
president	NN	president
Frank	NP	Frank
valter	NN	valter
steyer	NN	steyer
was	VBD	be
among	IN	among
those	DT	those
speaking	NN	speaking
at	IN	at
the	DT	the
rally	NN	rally
he	PP	he
called	VVD	call
for	IN	for
an	DT	an
immediate	JJ	immediate
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
well	RB	well
for	IN	for
more	JJR	more
we	PP	we
can	MD	can
now	RB	now
speak	VV	speak
to	TO	to
DW	JJ	DW
reporter	NN	reporter
Jared	NP	Jared
Reed	NP	Reed
who	WP	who
is	VBZ	be
at	IN	at
the	DT	the
rally	NN	rally
underway	JJ	underway
in	IN	in
Berlin	NP	Berlin
good	JJ	good
to	TO	to
see	VV	see
you	PP	you
Jared	NP	Jared
so	IN	so
what	WP	what
were	VBD	be
the	DT	the
strongest	JJS	strong
messages	NNS	message
that	WDT	that
have	VHP	have
come	VVN	come
across	RP	across
at	IN	at
the	DT	the
rally	NN	rally
