<video_id>ZT8d9-98PIs</video_id>	JJ	<video_id>ZT8d9-98PIs</video_id>
<video_title>Eyewitness	NN	<video_title>Eyewitness
testimonies:	NN	testimonies:
What	WP	what
doctors	VVZ	doctor
saw	NN	saw
in	IN	in
Gaza	NP	Gaza
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Eyewitness	NN	<thumbnail_path>en_DW\Eyewitness
testimonies	NNS	testimony
What	WDT	what
doctors	NNS	doctor
saw	VVD	see
in	IN	in
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240803</publish_date>	NN	<publish_date>20240803</publish_date>
<doc>	NN	<doc>
I	PP	I
never	RB	never
in	IN	in
a	DT	a
million	CD	million
years	NNS	year
imagined	VVD	imagine
we	PP	we
would	MD	would
get	VV	get
to	TO	to
this	DT	this
point	NN	point
anybody	NN	anybody
who	WP	who
requires	VVZ	require
uh	UH	uh
any	DT	any
complex	JJ	complex
consistent	JJ	consistent
weekly	JJ	weekly
treatment	NN	treatment
those	DT	those
people	NNS	people
are	VBP	be
all	RB	all
dead	JJ	dead
already	RB	already
in	IN	in
Gaza	NP	Gaza
no	RB	no
no	DT	no
place	NN	place
is	VBZ	be
safe	JJ	safe
the	DT	the
aim	NN	aim
is	VBZ	be
to	TO	to
wipe	VV	wipe
out	RP	out
everything	NN	everything
it's	NNS	it's
one	CD	one
thing	NN	thing
again	RB	again
to	TO	to
die	VV	die
in	IN	in
an	DT	an
air	NN	air
strike	NN	strike
it's	NNS	it's
one	CD	one
thing	NN	thing
to	TO	to
be	VB	be
a	DT	a
victim	NN	victim
of	IN	of
trauma	NN	trauma
but	CC	but
it's	NNS	it's
another	DT	another
thing	NN	thing
to	TO	to
starve	VV	starve
to	TO	to
death	NN	death
my	PP$	my
name	NN	name
is	VBZ	be
R	NN	R
sub	NN	sub
and	CC	and
I	PP	I
work	VVP	work
as	IN	as
nutrition	NN	nutrition
officer	NN	officer
in	IN	in
mid	JJ	mid
Global	NP	Global
in	IN	in
North	NP	North
Gaza	NP	Gaza
I	PP	I
have	VHP	have
witnessed	VVN	witness
and	CC	and
lived	VVN	live
the	DT	the
war	NN	war
in	IN	in
the	DT	the
Gaza	NP	Gaza
from	IN	from
the	DT	the
beginning	NN	beginning
and	CC	and
as	IN	as
I	PP	I
did	VVD	do
not	RB	not
move	VV	move
to	TO	to
the	DT	the
S	NP	S
what	WP	what
you	PP	you
hear	VVP	hear
on	IN	on
the	DT	the
ground	NN	ground
is	VBZ	be
the	DT	the
buzzing	VVG	buzz
sound	NN	sound
of	IN	of
surveillance	NN	surveillance
drones	NNS	drone
that	WDT	that
don't	VVD	don't
leave	VV	leave
the	DT	the
skies	NNS	sky
this	DT	this
is	VBZ	be
like	VV	like
uh	UH	uh
247	CD	@card@
music	NN	music
to	TO	to
our	PP$	our
ears	VVZ	ear
uh	UH	uh
bad	JJ	bad
music	NN	music
something	NN	something
that	IN/that	that
we	PP	we
uh	UH	uh
we	PP	we
haven't	VVD	haven't
consented	VVD	consent
to	TO	to
listen	VV	listen
to	TO	to
right	RB	right
now	RB	now
I'm	NP	I'm
standing	NN	standing
in	IN	in
shifa	NN	shifa
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
this	DT	this
hospital	NN	hospital
is	VBZ	be
the	DT	the
biggest	JJS	big
everything	NN	everything
is	VBZ	be
collapsing	VVG	collapse
in	IN	in
Health	NP	Health
Systems	NPS	Systems
hospitals	NNS	hospital
collapsing	VVG	collapse
like	IN	like
I	PP	I
said	VVD	say
that	IN/that	that
we	PP	we
have	VHP	have
22	CD	@card@
Health	NP	Health
Centers	VVZ	center
we	PP	we
have	VH	have
only	RB	only
four	CD	four
now	RB	now
so	IN	so
services	NNS	service
are	VBP	be
collapsing	VVG	collapse
the	DT	the
people	NNS	people
are	VBP	be
so	RB	so
tired	JJ	tired
so	IN	so
all	PDT	all
the	DT	the
challenge	NN	challenge
you	PP	you
can	MD	can
think	VV	think
of	IN	of
is	VBZ	be
H	NP	H
having	VHG	have
Gaza	NP	Gaza
I've	NP	I've
been	VBN	be
in	IN	in
