<video_id>42lmdVCYudQ</video_id>	JJ	<video_id>42lmdVCYudQ</video_id>
<video_title>Polio	NN	<video_title>Polio
vaccine	NN	vaccine
for	IN	for
1	CD	@card@
million	CD	million
people	NNS	people
delivered	VVN	deliver
to	TO	to
Gaza	NP	Gaza
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Polio	NN	<thumbnail_path>en_DW\Polio
vaccine	NN	vaccine
for	IN	for
1	CD	@card@
million	CD	million
people	NNS	people
delivered	VVN	deliver
to	TO	to
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240827</publish_date>	NP	<publish_date>20240827</publish_date>
<doc>	NP	<doc>
Israel	NP	Israel
says	VVZ	say
it	PP	it
has	VHZ	have
delivered	VVN	deliver
enough	JJ	enough
polio	NN	polio
vaccines	NNS	vaccine
for	IN	for
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
people	NNS	people
in	IN	in
Gaza	NP	Gaza
the	DT	the
vaccine	NN	vaccine
shipment	NN	shipment
started	VVD	start
after	IN	after
the	DT	the
first	JJ	first
case	NN	case
of	IN	of
the	DT	the
deadly	JJ	deadly
disease	NN	disease
was	VBD	be
found	VVN	find
after	IN	after
a	DT	a
quarter	NN	quarter
Century	NN	century
it's	NNS	it's
unclear	JJ	unclear
how	WRB	how
the	DT	the
vaccines	NNS	vaccine
would	MD	would
be	VB	be
distributed	VVN	distribute
and	CC	and
administered	VVN	administer
in	IN	in
the	DT	the
war	NN	war
torn	JJ	torn
territory	NN	territory
Aid	NN	aid
groups	NNS	group
plan	VVP	plan
on	IN	on
vaccinating	VVG	vaccinate
more	JJR	more
than	IN	than
600,000	CD	@card@
children	NNS	child
and	CC	and
have	VHP	have
called	VVN	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
to	TO	to
allow	VV	allow
them	PP	them
to	TO	to
start	VV	start
their	PP$	their
vaccination	NN	vaccination
campaign	NN	campaign
immediately	IN	immediately
it's	NNS	it's
bringing	VVG	bring
Dr	NP	Dr
John	NP	John
