tensions	NNS	tension
are	VBP	be
soaring	VVG	soar
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
after	IN	after
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
pro	JJ	pro
-	NN	-
iranian	JJ	Iranian
Hezbollah	NP	Hezbollah
militia	NN	militia
threatened	VVD	threaten
a	DT	a
fight	NN	fight
with	IN	with
no	DT	no
rules	NNS	rule
if	IN	if
a	DT	a
broader	JJR	broad
conflict	NN	conflict
with	IN	with
Israel	NP	Israel
breaks	VVZ	break
out	RP	out
in	IN	in
a	DT	a
televised	JJ	televised
address	NN	address
Hezbollah	NP	Hezbollah
leader	NN	leader
Hassan	NP	Hassan
nazala	NP	nazala
warned	VVD	warn
that	IN/that	that
nowhere	RB	nowhere
in	IN	in
Israel	NP	Israel
would	MD	would
be	VB	be
safe	JJ	safe
in	IN	in
the	DT	the
event	NN	event
of	IN	of
an	DT	an
allout	JJ	allout
War	NN	war
he	PP	he
also	RB	also
threatened	VVD	threaten
to	TO	to
attack	VV	attack
Cyprus	NP	Cyprus
if	IN	if
it	PP	it
opened	VVD	open
its	PP$	its
airports	NNS	airport
and	CC	and
bases	NNS	base
to	TO	to
Israeli	JJ	Israeli
forces	NNS	force
earlier	RBR	earlier
Israel	NP	Israel
threatened	VVD	threaten
to	TO	to
destroy	VV	destroy
Hezbollah	NP	Hezbollah
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
and	CC	and
Hezbollah	NP	Hezbollah
have	VHP	have
clashed	VVN	clash
almost	RB	almost
daily	JJ	daily
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
in	IN	in
October	NP	October
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
the	DT	the
very	RB	very
latest	JJS	late
from	IN	from
our	PP$	our
correspondent	NN	correspondent
Tanya	NP	Tanya
Kramer	NP	Kramer
in	IN	in
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
give	VV	give
us	PP	us
the	DT	the
very	RB	very
latest	JJS	late
if	IN	if
you	PP	you
can	MD	can
from	IN	from
Israel	NP	Israel
well	VVP	well
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
such	JJ	such
crossb	NN	crossb
attacks	NNS	attack
actually	RB	actually
since	IN	since
October	NP	October
7	CD	@card@
the	DT	the
terror	NN	terror
attacks	NNS	attack
then	RB	then
and	CC	and
they	PP	they
have	VHP	have
escalated	VVN	escalate
uh	UH	uh
between	IN	between
uh	UH	uh
hasah	NP	hasah
and	CC	and
Israel	NP	Israel
in	IN	in
recent	JJ	recent
weeks	NNS	week
now	RB	now
um	RB	um
they	PP	they
reach	VVP	reach
deeper	RBR	deeper
you	PP	you
know	VVP	know
his	PP$	his
follow	NN	follow
attacks	NNS	attack
have	VHP	have
reached	VVN	reach
deeper	JJR	deep
inside	IN	inside
Israel	NP	Israel
but	CC	but
also	RB	also
Israeli	JJ	Israeli
attacks	NNS	attack
have	VHP	have
reached	VVN	reach
deeper	JJR	deep
inside	IN	inside
uh	UH	uh
Lebanon	NP	Lebanon
and	CC	and
then	RB	then
on	IN	on
Tuesday	NP	Tuesday
hasb	NN	hasb
has	VHZ	have
published	VVN	publish
a	DT	a
video	JJ	video
uh	UH	uh
footage	NN	footage
that	WDT	that
shows	VVZ	show
a	DT	a
9	CD	@card@
minutes	NNS	minute
long	JJ	long
video	NN	video
that	WDT	that
shows	VVZ	show
a	DT	a
um	NN	um
a	DT	a
hia	NN	hia
the	DT	the
northern	JJ	northern
Israeli	JJ	Israeli
city	NN	city
a	DT	a
major	JJ	major
city	NN	city
there	RB	there
in	IN	in
the	DT	the
north	NN	north
and	CC	and
showing	VVG	show
uh	UH	uh
sensitive	JJ	sensitive
sides	NNS	side
such	JJ	such
as	IN	as
the	DT	the
port	JJ	port
uh	UH	uh
such	JJ	such
as	IN	as
residential	JJ	residential
areas	NNS	area
and	CC	and
other	JJ	other
uh	UH	uh
sides	NNS	side
and	CC	and
in	IN	in
in	IN	in
very	RB	very
much	RB	much
detailed	JJ	detailed
of	IN	of
this	DT	this
city	NN	city
and	CC	and
that	DT	that
is	VBZ	be
basically	RB	basically
as	RB	as
seen	VVN	see
here	RB	here
as	IN	as
a	DT	a
message	NN	message
by	IN	by
hollah	NN	hollah
we	PP	we
can	MD	can
reach	VV	reach
everywhere	RB	everywhere
and	CC	and
that	DT	that
is	VBZ	be
of	IN	of
great	JJ	great
concern	VV	concern
uh	UH	uh
to	TO	to
Israelis	NNS	Israeli
that	IN/that	that
something	NN	something
like	IN	like
that	WDT	that
could	MD	could
actually	RB	actually
happen	VV	happen
and	CC	and
of	IN	of
course	NN	course
rcks	VVZ	rcks
uh	UH	uh
went	VVD	go
up	RP	up
again	RB	again
after	IN	after
that	IN/that	that
we	PP	we
heard	VVD	hear
the	DT	the
foreign	JJ	foreign
uh	UH	uh
Minister	NP	Minister
Israel	NP	Israel
Cuts	VVZ	cut
saying	VVG	say
uh	UH	uh
the	DT	the
time	NN	time
is	VBZ	be
close	JJ	close
to	TO	to
a	DT	a
decision	NN	decision
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
an	DT	an
allout	JJ	allout
war	NN	war
and	CC	and
now	RB	now
we	PP	we
heard	VVD	hear
of	IN	of
course	NN	course
Hassan	NP	Hassan
nzala	NP	nzala
also	RB	also
speaking	VVG	speak
uh	UH	uh
from	IN	from
Lebanon	NP	Lebanon
that	IN/that	that
Hezbollah	NP	Hezbollah
could	MD	could
reach	VV	reach
anywhere	RB	anywhere
now	RB	now
such	JJ	such
resurrect	VVP	resurrect
is	VBZ	be
not	RB	not
something	NN	something
new	JJ	new
uh	UH	uh
between	IN	between
Hezbollah	NP	Hezbollah
and	CC	and
Israel	NP	Israel
but	CC	but
it	PP	it
comes	VVZ	come
at	IN	at
this	DT	this
particular	JJ	particular
time	NN	time
it	PP	it
'	POS	'
s	NN	S
very	RB	very
much	JJ	much
uh	UH	uh
a	DT	a
very	RB	very
tense	JJ	tense
time	NN	time
here	RB	here
between	IN	between
uh	UH	uh
Hezbollah	NP	Hezbollah
and	CC	and
Israel	NP	Israel
and	CC	and
of	IN	of
course	NN	course
um	VVG	um
uh	UH	uh
in	IN	in
Israel	NP	Israel
adding	VVG	add
to	TO	to
that	DT	that
you	PP	you
know	VVP	know
since	IN	since
October	NP	October
7	CD	@card@
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
relocated	VVN	relocate
from	IN	from
the	DT	the
border	NN	border
areas	NNS	area
there	RB	there
simple	JJ	simple
ghost	NN	ghost
towns	NNS	town
in	IN	in
in	IN	in
Northern	NP	Northern
Israel	NP	Israel
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
something	NN	something
Israel	NP	Israel
cannot	MD	can
live	VV	live
with	IN	with
uh	UH	uh
uh	UH	uh
for	IN	for
the	DT	the
long	JJ	long
term	NN	term
there	EX	there
have	VHP	have
been	VBN	be
uh	UH	uh
diplomatic	JJ	diplomatic
of	IN	of
course	VV	course
uh	UH	uh
um	JJ	um
attempts	NNS	attempt
we	PP	we
had	VHD	have
seen	VVN	see
uh	UH	uh
on	IN	on
Monday	NP	Monday
and	CC	and
Tuesday	NP	Tuesday
the	DT	the
US	NP	US
enoy	NN	enoy
amamos	NNS	amamos
Hawkin	NP	Hawkin
uh	UH	uh
he	PP	he
was	VBD	be
in	IN	in
the	DT	the
region	NN	region
Israel	NP	Israel
and	CC	and
in	IN	in
leanon	NN	leanon
trying	VVG	try
to	TO	to
diffuse	VV	diffuse
uh	UH	uh
the	DT	the
tensions	NNS	tension
but	CC	but
also	RB	also
uh	UH	uh
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
hearing	VVG	hear
from	IN	from
Israeli	JJ	Israeli
officials	NNS	official
they	PP	they
would	MD	would
be	VB	be
favoring	VVG	favor
a	DT	a
diplomatic	JJ	diplomatic
solution	NN	solution
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
hearing	VVG	hear
also	RB	also
very	RB	very
strong	JJ	strong
calls	NNS	call
here	RB	here
in	IN	in
recent	JJ	recent
weeks	NNS	week
uh	UH	uh
that	IN/that	that
if	IN	if
such	PDT	such
a	DT	a
diplomatic	JJ	diplomatic
solution	NN	solution
could	MD	could
not	RB	not
be	VB	be
reached	VVN	reach
uh	UH	uh
the	DT	the
the	DT	the
only	JJ	only
solution	NN	solution
would	MD	would
be	VB	be
a	DT	a
military	JJ	military
Invasion	NN	invasion
or	CC	or
military	JJ	military
solution	NN	solution
to	TO	to
this	DT	this
problem	NN	problem
Tanya	NP	Tanya
Kramer	NP	Kramer
with	IN	with
that	DT	that
update	NN	update
for	IN	for
us	PP	us
from	IN	from
Jerusalem	NP	Jerusalem
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
as	IN	as
always	RB	always
and	CC	and
let	VV	let
'	''	'
s	NNS	s
get	VVP	get
some	DT	some
analysis	NN	analysis
with	IN	with
military	JJ	military
expert	NN	expert
Marina	NP	Marina
from	IN	from
Kings	NP	Kings
College	NP	College
London	NP	London
Marina	NP	Marina
good	JJ	good
to	TO	to
see	VV	see
you	PP	you
given	VVN	give
these	DT	these
events	NNS	event
of	IN	of
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
How	WRB	how
likely	RB	likely
is	VBZ	be
a	DT	a
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hezbollah	NP	Hezbollah
good	JJ	good
evening	NN	evening
well	RB	well
what	WP	what
we	PP	we
'	''	'
re	IN	re
