<video_id>rfu2WOsZ5o4</video_id>	JJ	<video_id>rfu2WOsZ5o4</video_id>
<video_title>Israel:	NN	<video_title>Israel:
How	WRB	how
Jewish	JJ	Jewish
and	CC	and
Arab	JJ	Arab
activists	NNS	activist
work	VVP	work
together	RB	together
towards	IN	towards
peace	NN	peace
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel	NP	<thumbnail_path>en_DW\Israel
How	WRB	how
Jewish	JJ	Jewish
and	CC	and
Arab	JJ	Arab
activists	NNS	activist
work	VVP	work
together	RB	together
towards	IN	towards
peace	NN	peace
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231114</publish_date>	NN	<publish_date>20231114</publish_date>
<doc>	NN	<doc>
now	RB	now
Israel	NP	Israel
is	VBZ	be
home	NN	home
to	TO	to
a	DT	a
mixed	JJ	mixed
population	NN	population
which	WDT	which
includes	VVZ	include
about	RB	about
20%	CD	@card@
ethnic	JJ	ethnic
Arabs	NNS	Arab
many	JJ	many
of	IN	of
whom	WP	whom
identify	VVP	identify
as	IN	as
Palestinians	NNS	Palestinian
and	CC	and
they	PP	they
often	RB	often
face	VVP	face
discrimination	NN	discrimination
with	IN	with
tensions	NNS	tension
in	IN	in
the	DT	the
region	NN	region
once	RB	once
again	RB	again
flaring	VVG	flare
one	CD	one
group	NN	group
of	IN	of
activists	NNS	activist
in	IN	in
Israel	NP	Israel
is	VBZ	be
trying	VVG	try
to	TO	to
promote	VV	promote
solidarity	NN	solidarity
across	IN	across
ethnic	JJ	ethnic
lines	NNS	line
DW's	NP	DW's
AI	VVZ	ai
Ibrahim	NP	Ibrahim
reports	NNS	report
from	IN	from
hia	VVG	hia
a	DT	a
site	NN	site
to	TO	to
behold	VV	behold
this	DT	this
room	NN	room
contains	VVZ	contain
right	RB	right
now	RB	now
Palestinians	NPS	Palestinians
and	CC	and
Jews	NPS	Jews
who	WP	who
actually	RB	actually
in	IN	in
the	DT	the
darkest	JJS	dark
most	JJS	most
polarizing	VVG	polarize
most	JJS	most
difficult	JJ	difficult
moment	NN	moment
in	IN	in
the	DT	the
history	NN	history
of	IN	of
the	DT	the
two	CD	two
peoples	NNS	people
right	RB	right
now	RB	now
is	VBZ	be
choosing	VVG	choose
to	TO	to
like	VV	like
actually	RB	actually
work	VV	work
together	RB	together
they	PP	they
want	VVP	want
to	TO	to
send	VV	send
a	DT	a
message	NN	message
they	PP	they
feel	VVP	feel
cannot	MD	can
be	VB	be
repeated	VVN	repeat
enough	RB	enough
we	PP	we
cannot	MD	can
survive	VV	survive
if	IN	if
we	PP	we
will	MD	will
be	VB	be
against	IN	against
each	DT	each
other	JJ	other
we	PP	we
cannot	MD	can
survive	VV	survive
if	IN	if
if	IN	if
someone	NN	someone
will	MD	will
try	VV	try
to	TO	to
you	PP	you
know	VVP	know
um	JJ	um
Kick	NP	Kick
the	DT	the
other	JJ	other
out	RP	out
in	IN	in
this	DT	this
country	NN	country
millions	NNS	million
of	IN	of
Palestinians	NPS	Palestinians
will	MD	will
remain	VV	remain
here	RB	here
and	CC	and
millions	NNS	million
of	IN	of
Jewish	JJ	Jewish
people	NNS	people
will	MD	will
remain	VV	remain
here	RB	here
and	CC	and
that's	NNS	that's
a	DT	a
fact	NN	fact
this	DT	this
meeting	NN	meeting
at	IN	at
AOS	NP	AOS
and	CC	and
hia	NN	hia
is	VBZ	be
organized	VVN	organize
by	IN	by
standing	VVG	stand
together	RB	together
a	DT	a
Grassroots	NNS	grassroots
peace	NN	peace
movement	NN	movement
made	VVD	make
up	RP	up
of	IN	of
Jewish	JJ	Jewish
and	CC	and
Palestinian	JJ	Palestinian
citizens	NNS	citizen
of	IN	of
Israel	NP	Israel
activists	NNS	activist
tell	VVP	tell
me	PP	me
such	JJ	such
togetherness	NN	togetherness
has	VHZ	have
been	VBN	be
rare	JJ	rare
since	IN	since
the	DT	the
October	NP	October
7th	JJ	7th
Hamas	NN	Hamas
attacks	NNS	attack
and	CC	and
that	IN/that	that
often	RB	often
demonstrations	NNS	demonstration
of	IN	of
solidarity	NN	solidarity
in	IN	in
either	DT	either
direction	NN	direction
are	VBP	be
met	VVN	meet
with	IN	with
rejection	NN	rejection
we	PP	we
have	VHP	have
friends	NNS	friend
we	PP	we
have	VHP	have
neighbors	NNS	neighbor
we	PP	we
have	VHP	have
peers	NNS	peer
we	PP	we
have	VHP	have
colleagues	NNS	colleague
who	WP	who
are	VBP	be
Jewish	JJ	Jewish
who	WP	who
got	VVD	get
deeply	RB	deeply
impacted	VVN	impact
by	IN	by
this	DT	this
