<video_id>y194ZODAZc0</video_id>	NP	<video_id>y194ZODAZc0</video_id>
<video_title>Israel	NP	<video_title>Israel
puts	VVZ	put
all	DT	all
forces	NNS	force
on	IN	on
alert	NN	alert
over	IN	over
Iran	NP	Iran
attack	NN	attack
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel	NP	<thumbnail_path>en_DW\Israel
puts	VVZ	put
all	DT	all
forces	NNS	force
on	IN	on
alert	NN	alert
over	IN	over
Iran	NP	Iran
attack	NN	attack
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240413</publish_date>	NP	<publish_date>20240413</publish_date>
<doc>	NP	<doc>
Israel	NP	Israel
says	VVZ	say
it's	NNS	it's
under	IN	under
direct	JJ	direct
attack	NN	attack
by	IN	by
Iran	NP	Iran
a	DT	a
military	JJ	military
spokesman	NN	spokesman
says	VVZ	say
drones	NNS	drone
are	VBP	be
on	IN	on
the	DT	the
way	NN	way
but	CC	but
they	PP	they
could	MD	could
take	VV	take
several	JJ	several
hours	NNS	hour
to	TO	to
arrive	VV	arrive
tyon	NN	tyon
has	VHZ	have
repeatedly	RB	repeatedly
threatened	VVN	threaten
retaliation	NN	retaliation
after	IN	after
this	DT	this
month's	JJ	month's
strike	NN	strike
on	IN	on
its	PP$	its
Consulate	NN	consulate
in	IN	in
[Music]	JJ	[Music]
[Applause]	NN	[Applause]
Syria	NP	Syria
I'm	NP	I'm
Michael	NP	Michael
welcome	VV	welcome
we	PP	we
begin	VV	begin
this	DT	this
hour	NN	hour
with	IN	with
some	DT	some
breaking	VVG	break
news	NN	news
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
that	IN/that	that
Iran	NP	Iran
has	VHZ	have
launched	VVN	launch
an	DT	an
attack	NN	attack
on	IN	on
Israel	NP	Israel
army	NN	army
spokesperson	NN	spokesperson
Daniel	NP	Daniel
hagari	NP	hagari
says	VVZ	say
that	IN/that	that
dozens	NNS	dozen
of	IN	of
Iranian	JJ	Iranian
drones	NNS	drone
are	VBP	be
headed	VVN	head
towards	IN	towards
Israel	NP	Israel
he	PP	he
says	VVZ	say
that	IN/that	that
Israeli	JJ	Israeli
defenses	NNS	defense
are	VBP	be
ready	JJ	ready
to	TO	to
shoot	VV	shoot
them	PP	them
down	RP	down
and	CC	and
told	VVD	tell
residents	NNS	resident
to	TO	to
take	VV	take
shelter	NN	shelter
if	IN	if
they	PP	they
hear	VVP	hear
sirens	NNS	siren
Iran	NP	Iran
Iran	NP	Iran
has	VHZ	have
launched	VVN	launch
drones	NNS	drone
from	IN	from
its	PP$	its
territory	NN	territory
towards	IN	towards
the	DT	the
territory	NN	territory
of	IN	of
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
entering	VVG	enter
the	DT	the
threat	NN	threat
in	IN	in
the	DT	the
airspace	NN	airspace
it	PP	it
is	VBZ	be
a	DT	a
threat	NN	threat
that	WDT	that
takes	VVZ	take
several	JJ	several
hours	NNS	hour
to	TO	to
reach	VV	reach
the	DT	the
territory	NN	territory
of	IN	of
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
the	DT	the
IDF	NP	IDF
and	CC	and
the	DT	the
Air	NP	Air
Force	NP	Force
are	VBP	be
carrying	VVG	carry
out	RP	out
the	DT	the
plan	NN	plan
we	PP	we
have	VHP	have
prepared	VVN	prepare
now	RB	now
just	RB	just
a	DT	a
short	JJ	short
time	NN	time
before	IN	before
the	DT	the
attack	NN	attack
was	VBD	be
officially	RB	officially
announced	VVN	announce
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
released	VVD	release
this	DT	this
video	JJ	video
message	NN	message
Israeli	JJ	Israeli
citizens	NNS	citizen
in	IN	in
recent	JJ	recent
years	NNS	year
and	CC	and
even	RB	even
more	RBR	more
so	RB	so
in	IN	in
recent	JJ	recent
weeks	NNS	week
Israel	NP	Israel
has	VHZ	have
been	VBN	be
preparing	VVG	prepare
for	IN	for
the	DT	the
possibility	NN	possibility
of	IN	of
a	DT	a
direct	JJ	direct
attack	NN	attack
from	IN	from
our	PP$	our
defense	NN	defense
systems	NNS	system
are	VBP	be
deployed	VVN	deploy
we	PP	we
are	VBP	be
prepared	VVN	prepare
for	IN	for
any	DT	any
scenario	NN	scenario
both	CC	both
in	IN	in
defense	NN	defense
and	CC	and
attack	VV	attack
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
is	VBZ	be
strong	JJ	strong
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
is	VBZ	be
strong	JJ	strong
the	DT	the
public	NN	public
is	VBZ	be
strong	RB	strong
again	RB	again
it	PP	it
Bears	NPS	Bears
repeating	VVG	repeat
uh	UH	uh
Iran	NP	Iran
has	VHZ	have
launched	VVN	launch
an	DT	an
attack	NN	attack
on	IN	on
Israel	NP	Israel
by	IN	by
drone	NN	drone
according	VVG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
US	NP	US
DW	NP	DW
correspon	NN	correspon
Tanya	NP	Tanya
Kramer	NP	Kramer
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Jerusalem	NP	Jerusalem
uh	UH	uh
Tanya	NP	Tanya
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
about	IN	about
this	DT	this
attack	NN	attack
well	RB	well
as	IN	as
you	PP	you
said	VVD	say
it	PP	it
has	VHZ	have
been	VBN	be
confirmed	VVD	confirm
there	EX	there
were	VBD	be
first	JJ	first
uh	UH	uh
media	NN	media
reports	VVZ	report
uh	UH	uh
in	RB	in
Iran	NP	Iran
that	IN/that	that
drones	NNS	drone
had	VHD	have
been	VBN	be
launched	VVN	launch
and	CC	and
it	PP	it
has	VHZ	have
been	VBN	be
confirmed	VVN	confirm
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
that	IN/that	that
those	DT	those
drones	NNS	drone
are	VBP	be
on	IN	on
their	PP$	their
way	NN	way
apparently	RB	apparently
also	RB	also
in	IN	in
several	JJ	several
uh	UH	uh
waves	NNS	wave
now	RB	now
they're	RB	they're
slow	VV	slow
moving	VVG	move
as	IN	as
we	PP	we
have	VHP	have
heard	VVN	hear
um	VVG	um
their	PP$	their
scope	NN	scope
is	VBZ	be
still	RB	still
uh	UH	uh
unknown	JJ	unknown
but	CC	but
there	EX	there
are	VBP	be
more	JJR	more
than	IN	than
dozens	NNS	dozen
as	IN	as
we	PP	we
are	VBP	be
hearing	VVG	hear
here	RB	here
from	IN	from
uh	UH	uh
sources	NNS	source
also	RB	also
here	RB	here
in	IN	in
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
media	NNS	medium
and	CC	and
of	IN	of
course	NN	course
also	RB	also
destination	NN	destination
their	PP$	their
