<video_id>DaboSLKSkwA</video_id>	JJ	<video_id>DaboSLKSkwA</video_id>
<video_title>Hamas	NN	<video_title>Hamas
releases	VVZ	release
10	CD	@card@
Thai	JJ	Thai
hostages	NNS	hostage
taken	VVN	take
from	IN	from
Israel	NP	Israel
in	IN	in
separate	JJ	separate
deal	NN	deal
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Hamas	NN	<thumbnail_path>en_DW\Hamas
releases	VVZ	release
10	CD	@card@
Thai	JJ	Thai
hostages	NNS	hostage
taken	VVN	take
from	IN	from
Israel	NP	Israel
in	IN	in
separate	JJ	separate
deal	NN	deal
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231125</publish_date>	JJ	<publish_date>20231125</publish_date>
<doc>	NN	<doc>
Hamas	NN	Hamas
has	VHZ	have
also	RB	also
released	VVN	release
10	CD	@card@
Thai	JJ	Thai
hostages	NNS	hostage
taken	VVN	take
during	IN	during
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
Thai	NP	Thai
authorities	NNS	authority
released	VVD	release
images	NNS	image
of	IN	of
their	PP$	their
citizens	NNS	citizen
with	IN	with
one	CD	one
Filipino	NN	Filipino
in	IN	in
an	DT	an
Israeli	NP	Israeli
Hospital	NP	Hospital
Bangkok	NP	Bangkok
had	VHD	have
been	VBN	be
engaging	VVG	engage
for	IN	for
weeks	NNS	week
in	IN	in
its	PP$	its
own	JJ	own
diplomatic	JJ	diplomatic
talks	NNS	talk
to	TO	to
free	VV	free
its	PP$	its
Nationals	NNS	national
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
the	DT	the
deal	NN	deal
was	VBD	be
separate	JJ	separate
to	TO	to
the	DT	the
one	CD	one
which	WDT	which
saw	VVD	see
the	DT	the
Israeli	JJ	Israeli
hostages	NNS	hostage
released	VVN	release
but	CC	but
happened	VVN	happen
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
Philip	NP	Philip
sherwell	NP	sherwell
is	VBZ	be
a	DT	a
journalist	NN	journalist
based	VVN	base
in	IN	in
ta	JJ	ta
Capital	NP	Capital
Bangkok	NP	Bangkok
hello	NN	hello
Phillip	NP	Phillip
now	RB	now
10	CD	@card@
Thai	JJ	Thai
Nationals	NNS	national
released	VVN	release
from	IN	from
Hamas	JJ	Hamas
captivity	NN	captivity
how	WRB	how
has	VHZ	have
the	DT	the
news	NN	news
been	VBN	be
received	VVN	receive
by	IN	by
the	DT	the
people	NNS	people
in	IN	in
Thailand	NP	Thailand
well	RB	well
for	IN	for
for	IN	for
the	DT	the
for	IN	for
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
10	CD	@card@
the	DT	the
nine	CD	nine
men	NNS	man
and	CC	and
and	CC	and
one	CD	one
woman	NN	woman
there	RB	there
is	VBZ	be
overwhelming	JJ	overwhelming
relief	NN	relief
and	CC	and
joy	NN	joy
they	PP	they
have	VHP	have
spoken	VVN	speak
of	IN	of
you	PP	you
know	VVP	know
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
wait	VV	wait
much	RB	much
longer	RBR	longer
to	TO	to
sort	VV	sort
of	IN	of
see	VV	see
their	PP$	their
loved	VVN	love
ones	NNS	one
now	RB	now
that	IN/that	that
they've	NN	they've
seen	VVN	see
these	DT	these
images	NNS	image
of	IN	of
them	PP	them
in	IN	in
in	IN	in
hospitals	NNS	hospital
in	IN	in
a	DT	a
hospital	NN	hospital
in	IN	in
in	IN	in
Israel	NP	Israel
and	CC	and
and	NP	and
initially	RB	initially
saw	VVD	see
photos	NNS	photo
of	IN	of
them	PP	them
sort	VVP	sort
of	IN	of
on	IN	on
the	DT	the
TV	NN	TV
screens	NNS	screen
being	VBG	be
um	NN	um
being	VBG	be
handed	VVN	hand
over	IN	over
um	JJ	um
last	JJ	last
night	NN	night
so	RB	so
so	RB	so
for	IN	for
them	PP	them
an	DT	an
adul	NN	adul
of	IN	of
Joy	NP	Joy
but	CC	but
another	DT	another
20	CD	@card@
ties	NNS	tie
are	VBP	be
um	NNS	um
still	RB	still
being	VBG	be
held	VVN	hold
hostage	NN	hostage
it's	NNS	it's
believed	VVD	believe
and	CC	and
those	DT	those
families	NNS	family
are	VBP	be
are	VBP	be
in	IN	in
the	DT	the
dark	NN	dark
um	VVD	um
they	PP	they
they	PP	they
really	RB	really
don't	VVD	don't
know	VV	know
what's	NNS	what's
happening	VVG	happen
um	NNS	um
and	CC	and
and	CC	and
they're	JJ	they're
extremely	RB	extremely
they're	NN	they're
extremely	RB	extremely
worried	VVD	worry
I	PP	I
mean	VVP	mean
there	EX	there
is	VBZ	be
um	NN	um
as	IN	as
your	PP$	your
previous	JJ	previous
speaker	NN	speaker
was	VBD	be
mentioning	VVG	mention
there	EX	there
are	VBP	be
different	JJ	different
factions	NNS	faction
within	IN	within
Gaza	NP	Gaza
and	CC	and
um	NNS	um
it's	NNS	it's
been	VBN	be
made	VVN	make
clear	JJ	clear
that	IN/that	that
the	DT	the
ties	NNS	tie
are	VBP	be
being	VBG	be
held	VVN	hold
by	IN	by
different	JJ	different
groups	NNS	group
there	RB	there
so	RB	so
um	JJ	um
although	IN	although
one	CD	one
group	NN	group
is	VBZ	be
out	RB	out
um	JJ	um
it's	NNS	it's
no	DT	no
guarantee	NN	guarantee
for	IN	for
the	DT	the
others	NNS	other
so	IN	so
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
nerve-wracking	JJ	nerve-wracking
time	NN	time
for	IN	for
the	DT	the
uh	UH	uh
for	IN	for
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
remaining	VVG	remain
workers	NNS	worker
I	PP	I
mean	VVP	mean
on	IN	on
the	DT	the
20	CD	@card@
TI	NP	TI
Nationals	NNS	national
that	WDT	that
are	VBP	be
still	RB	still
being	VBG	be
held	VVN	hold
captive	NN	captive
is	VBZ	be
there	RB	there
a	DT	a
sense	NN	sense
