<video_id>HeuTMhYHFxA</video_id>	JJ	<video_id>HeuTMhYHFxA</video_id>
<video_title>Israeli	NN	<video_title>Israeli
jets	NNS	jet
strike	VVP	strike
Houthi	NP	Houthi
targets	NNS	target
in	IN	in
Yemen	NP	Yemen
after	IN	after
drone	NN	drone
attack	NN	attack
on	IN	on
Tel	NP	Tel
Aviv	NP	Aviv
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israeli	NN	<thumbnail_path>en_DW\Israeli
jets	NNS	jet
strike	VVP	strike
Houthi	NP	Houthi
targets	NNS	target
in	IN	in
Yemen	NP	Yemen
after	IN	after
drone	NN	drone
attack	NN	attack
on	IN	on
Tel	NP	Tel
Aviv	NP	Aviv
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240720</publish_date>	NP	<publish_date>20240720</publish_date>
<doc>	NP	<doc>
Israel	NP	Israel
says	VVZ	say
its	PP$	its
fighter	NN	fighter
jets	NNS	jet
have	VHP	have
struck	VVN	strike
several	JJ	several
houthi	NNS	houthi
military	JJ	military
Targets	NNS	target
in	IN	in
Yemen	NP	Yemen
in	IN	in
retaliation	NN	retaliation
for	IN	for
a	DT	a
drone	NN	drone
attack	NN	attack
on	IN	on
Tel	NP	Tel
Aviv	NP	Aviv
on	IN	on
Friday	NP	Friday
the	DT	the
strikes	NNS	strike
took	VVD	take
place	NN	place
in	IN	in
Yemen's	NP	Yemen's
Red	NP	Red
Sea	NP	Sea
port	NN	port
city	NN	city
of	IN	of
Hoda	NP	Hoda
according	VVG	accord
to	TO	to
yemeni	NP	yemeni
television	NN	television
controlled	VVN	control
by	IN	by
houi	NN	houi
rebels	NNS	rebel
several	JJ	several
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
the	DT	the
Jets	NNS	jet
targeted	VVD	target
civilian	JJ	civilian
oil	NN	oil
and	CC	and
Diesel	NP	Diesel
storage	NN	storage
facilities	NNS	facility
the	DT	the
strikes	NNS	strike
come	VVP	come
after	IN	after
a	DT	a
drone	NN	drone
attack	NN	attack
by	IN	by
Yemen's	NP	Yemen's
houi	NN	houi
Rebels	VVZ	rebel
uh	UH	uh
on	IN	on
Friday	NP	Friday
as	RB	as
mentioned	VVD	mention
which	WDT	which
killed	VVD	kill
one	CD	one
person	NN	person
and	CC	and
injured	VVN	injure
four	CD	four
or	CC	or
others	NNS	other
Let's	NNS	Let's
cross	VVP	cross
over	RP	over
to	TO	to
our	PP$	our
correspondent	JJ	correspondent
Tanya	NP	Tanya
krer	NN	krer
in	IN	in
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
what	WP	what
more	RBR	more
do	VVP	do
we	PP	we
know	VVP	know
well	RB	well
as	IN	as
you	PP	you
just	RB	just
said	VVD	say
we	PP	we
had	VHD	have
the	DT	the
confirmation	NN	confirmation
uh	UH	uh
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
the	DT	the
uh	UH	uh
IDF	NP	IDF
uh	UH	uh
saying	VVG	say
that	IN/that	that
they	PP	they
struck	VVD	strike
the	DT	the
Huda	NP	Huda
port	NN	port
in	IN	in
Yemen	NP	Yemen
an	DT	an
IDF	NP	IDF
official	JJ	official
uh	UH	uh
told	VVD	tell
us	PP	us
said	VVD	say
they	PP	they
struck	VVD	strike
uh	UH	uh
infrastructure	NN	infrastructure
belonging	VVG	belong
to	TO	to
the	DT	the
houthis	NNS	houthis
they	PP	they
described	VVD	describe
them	PP	them
as	IN	as
military	JJ	military
infrastructure	NN	infrastructure
uh	UH	uh
infrastructure	NN	infrastructure
of	IN	of
dual	JJ	dual
use	NN	use
and	CC	and
energy	NN	energy
uh	UH	uh
uh	UH	uh
infrastructure	NN	infrastructure
it	PP	it
was	VBD	be
according	VVG	accord
to	TO	to
the	DT	the
military	NN	military
an	DT	an
a	DT	a
mission	NN	mission
led	VVN	lead
by	IN	by
the	DT	the
Israeli	NP	Israeli
Air	NP	Air
Force	NP	Force
and	CC	and
they	PP	they
went	VVD	go
there	EX	there
alone	RB	alone
uh	UH	uh
very	RB	very
far	RB	far
away	RP	away
uh	UH	uh
from	IN	from
Israel	NP	Israel
uh	UH	uh
carried	VVN	carry
out	RP	out
also	RB	also
in	IN	in
a	DT	a
broad	JJ	broad
daylight	NN	daylight
now	RB	now
Israel's	NN	Israel's
allies	VVZ	ally
uh	UH	uh
we	PP	we
were	VBD	be
told	VVN	tell
are	NN	are
were	VBD	be
informed	VVN	inform
ahead	RB	ahead
and	CC	and
this	DT	this
is	VBZ	be
also	RB	also
uh	UH	uh
kind	NN	kind
of	IN	of
unusual	JJ	unusual
because	IN	because
houthis	JJ	houthis
uh	UH	uh
have	VHP	have
been	VBN	be
attacking	VVG	attack
uh	UH	uh
you	PP	you
know	VVP	know
shipping	VVG	ship
in	IN	in
the	DT	the
Red	NP	Red
Sea	NP	Sea
before	IN	before
and	CC	and
that's	NNS	that's
usually	RB	usually
a	DT	a
UK	NP	UK
US	NP	US
Le	NP	Le
Mission	NP	Mission
there	RB	there
but	CC	but
there	RB	there
also	RB	also
have	VHP	have
been	VBN	be
in	IN	in
the	DT	the
past	JJ	past
month	NN	month
attacks	NNS	attack
on	IN	on
Israel's	NP	Israel's
southern	JJ	southern
city	NN	city
uh	UH	uh
a	DT	a
lot	NN	lot
with	IN	with
drones	NNS	drone
over	IN	over
220	CD	@card@
projectiles	NNS	projectile
have	VHP	have
been	VBN	be
fired	VVN	fire
in	IN	in
the	DT	the
past	JJ	past
month	NN	month
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
at	IN	at
Israel	NP	Israel
now	RB	now
these	DT	these
strikes	NNS	strike
were	VBD	be
approved	VVN	approve
by	IN	by
a	DT	a
security	NN	security
cabinet	NN	cabinet
that	WDT	that
was	VBD	be
kind	NN	kind
of	IN	of
unusual	JJ	unusual
that	IN/that	that
it	PP	it
met	VVD	meet
today	NN	today
on	IN	on
Saturday	NP	Saturday
a	DT	a
Shabbat	NP	Shabbat
uh	UH	uh
during	IN	during
Shabbat	NP	Shabbat
but	CC	but
for	IN	for
Israel	NP	Israel
this	DT	this
is	VBZ	be
a	DT	a
change	NN	change
of	IN	of
equation	NN	equation
what	WP	what
happened	VVD	happen
on	IN	on
Friday	NP	Friday
basically	RB	basically
this	DT	this
drone	NN	drone
attack	VV	attack
uh	UH	uh
in	IN	in
the	DT	the
city	NN	city
center	NN	center
of	IN	of
Tel	NP	Tel
Aviv	NP	Aviv
also	RB	also
an	DT	an
Israeli	JJ	Israeli
citizen	NN	citizen
was	VBD	be
killed	VVN	kill
a	DT	a
man	NN	man
in	IN	in
his	PP$	his
50s	JJ	50s
uh	UH	uh
and	CC	and
several	JJ	several
were	VBD	be
injured	VVN	injure
and	CC	and
so	RB	so
we've	NNS	we've
been	VBN	be
hearing	VVG	hear
now	RB	now
the	DT	the
time	NN	time
from	IN	from
officials	NNS	official
here	RB	here
that	IN/that	that
the	DT	the
time	NN	time
for	IN	for
restraint	NN	restraint
is	VBZ	be
over	IN	over
how	WRB	how
dangerous	JJ	dangerous
are	VBP	be
these	DT	these
moves	NNS	move
from	IN	from
both	DT	both
sides	NNS	side
are	VBP	be
we	PP	we
seeing	VVG	see
an	DT	an
escalation	NN	escalation
well	RB	well
I	PP	I
think	VVP	think
we	PP	we
don't	VVD	don't
know	VV	know
yet	RB	yet
how	WRB	how
this	DT	this
will	VV	will
uh	UH	uh
develop	VV	develop
uh	UH	uh
further	VV	further
there	EX	there
certainly	RB	certainly
a	DT	a
lot	NN	lot
of	IN	of
concern	NN	concern
and	CC	and
there	EX	there
have	VHP	have
been	VBN	be
warnings	NNS	warning
that	IN/that	that
this	DT	this
could	MD	could
uh	UH	uh
you	PP	you
know	VVP	know
lead	VV	lead
to	TO	to
more	JJR	more
responses	NNS	response
again	RB	again
now	RB	now
from	IN	from
the	DT	the
houthis	NNS	houthis
or	CC	or
across	IN	across
the	DT	the
region	NN	region
now	RB	now
it	PP	it
risk	VVP	risk
to	TO	to
open	VV	open
another	DT	another
active	JJ	active
front	NN	front
and	CC	and
as	IN	as
I	PP	I
said	VVD	say
there	EX	there
have	VHP	have
been	VBN	be
attacks	NNS	attack
on	IN	on
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
aot	NN	aot
but	CC	but
not	RB	not
uh	UH	uh
as	IN	as
we've	NN	we've
seen	VVN	see
on	IN	on
Friday	NP	Friday
uh	UH	uh
on	IN	on
Tel	NP	Tel
Aviv	NP	Aviv
so	RB	so
far	RB	far
the	DT	the
military	NN	military
has	VHZ	have
said	VVN	say
the	DT	the
home	NN	home
front	NN	front
guidelines	NNS	guideline
for	IN	for
uh	UH	uh
Israelis	NPS	Israelis
here	RB	here
in	IN	in
the	DT	the
country	NN	country
have	VHP	have
not	RB	not
changed	VVN	change
but	CC	but
of	IN	of
course	NN	course
also	RB	also
that	IN/that	that
that	WDT	that
could	MD	could
change	VV	change
any	DT	any
minute	JJ	minute
Tanya	NP	Tanya
Kramer	NP	Kramer
in	IN	in
Jerusalem	NP	Jerusalem
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
