<video_id>6xrHXJZSFXU</video_id>	JJ	<video_id>6xrHXJZSFXU</video_id>
<video_title>What's	NNS	<video_title>What's
the	DT	the
future	NN	future
of	IN	of
US-Israel	NP	US-Israel
relations?	NP	relations?
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\What's	NNS	<thumbnail_path>en_DW\What's
the	DT	the
future	NN	future
of	IN	of
US-Israel	NP	US-Israel
relations	NNS	relation
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240722</publish_date>	NN	<publish_date>20240722</publish_date>
<doc>	NN	<doc>
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
is	VBZ	be
on	IN	on
his	PP$	his
way	NN	way
to	TO	to
Washington	NP	Washington
DC	NP	DC
where	WRB	where
he	PP	he
will	MD	will
deliver	VV	deliver
a	DT	a
landmark	JJ	landmark
speech	NN	speech
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
Congress	NP	Congress
ahead	RB	ahead
of	IN	of
the	DT	the
trip	NN	trip
Netanyahu	NP	Netanyahu
thanked	VVD	thank
Biden	NP	Biden
for	IN	for
his	PP$	his
contribution	NN	contribution
to	TO	to
us	PP	us
Israel	NP	Israel
relations	NNS	relation
following	VVG	follow
the	DT	the
president's	NNS	president's
decision	NN	decision
to	TO	to
end	VV	end
his	PP$	his
re-election	NN	re-election
campaign	NN	campaign
and	CC	and
we	PP	we
also	RB	also
said	VVD	say
Israel	NP	Israel
will	MD	will
be	VB	be
the	DT	the
United	NP	United
States	NPS	States
strongest	JJS	strong
Ally	NP	Ally
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
regardless	RB	regardless
of	IN	of
who	WP	who
is	VBZ	be
elected	VVN	elect
in	IN	in
November	NP	November
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
from	IN	from
DW's	NP	DW's
correspondent	NN	correspondent
a	DT	a
Ibrahim	NP	Ibrahim
in	IN	in
Jerusalem	NP	Jerusalem
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
netanyahu's	NNS	netanyahu's
visit	VVP	visit
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
well	RB	well
this	DT	this
was	VBD	be
a	DT	a
a	DT	a
visit	NN	visit
that	WDT	that
was	VBD	be
obviously	RB	obviously
planned	VVN	plan
well	NN	well
before	IN	before
uh	UH	uh
US	NP	US
President	NP	President
