<video_id>Qjvi1JD_OsE</video_id>	NP	<video_id>Qjvi1JD_OsE</video_id>
<video_title>German	NP	<video_title>German
Chancellor	NP	Chancellor
slams	VVZ	slam
Palestinian	JJ	Palestinian
president's	NNS	president's
silence	NN	silence
on	IN	on
Hamas	JJ	Hamas
attack	NN	attack
I	PP	I
DW	VVZ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\German	NP	<thumbnail_path>en_DW\German
Chancellor	NP	Chancellor
slams	VVZ	slam
Palestinian	JJ	Palestinian
president's	NNS	president's
silence	NN	silence
on	IN	on
Hamas	JJ	Hamas
attack	NN	attack
I	PP	I
DW	VVZ	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231012</publish_date>	NP	<publish_date>20231012</publish_date>
<doc>	NP	<doc>
Germany's	NP	Germany's
chancellor	NN	chancellor
Olaf	NP	Olaf
Schultz	NP	Schultz
has	VHZ	have
urged	VVN	urge
Palestinian	JJ	Palestinian
president	NN	president
Mahmud	NP	Mahmud
Abbas	NP	Abbas
to	TO	to
clearly	RB	clearly
condemn	VV	condemn
the	DT	the
Hamas	JJ	Hamas
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
calling	VVG	call
his	PP$	his
silence	NN	silence
so	RB	so
far	RB	far
shameful	JJ	shameful
in	IN	in
a	DT	a
speech	NN	speech
to	TO	to
the	DT	the
German	JJ	German
Parliament	NP	Parliament
Schultz	NP	Schultz
also	RB	also
pledged	VVD	pledge
his	PP$	his
support	NN	support
for	IN	for
Israel	NP	Israel
saying	VVG	say
Germany's	NP	Germany's
only	JJ	only
place	NN	place
right	NN	right
now	RB	now
is	VBZ	be
at	IN	at
Israel's	NP	Israel's
side	NN	side
he	PP	he
said	VVD	say
Israel	NP	Israel
must	MD	must
have	VH	have
the	DT	the
capacity	NN	capacity
to	TO	to
defend	VV	defend
itself	PP	itself
adding	VVG	add
that	IN/that	that
the	DT	the
terrorist	JJ	terrorist
group	NN	group
Hamas	NN	Hamas
offers	VVZ	offer
only	JJ	only
poverty	NN	poverty
and	CC	and
misery	NN	misery
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
Gaza	NP	Gaza
Schultz	NP	Schultz
also	RB	also
said	VVD	say
that	IN/that	that
Germany	NP	Germany
will	MD	will
issue	VV	issue
a	DT	a
formal	JJ	formal
banon	NN	banon
activity	NN	activity
by	IN	by
or	CC	or
in	IN	in
support	NN	support
of	IN	of
Hamas	NN	Hamas
we	PP	we
condemn	VVP	condemn
the	DT	the
violence	NN	violence
of	IN	of
the	DT	the
terrorists	NNS	terrorist
and	CC	and
we	PP	we
say	VVP	say
very	RB	very
clearly	RB	clearly
Israel	NP	Israel
has	VHZ	have
the	DT	the
right	NN	right
under	IN	under
international	JJ	international
law	NN	law
to	TO	to
defend	VV	defend
its	PP$	its
citizens	NNS	citizen
against	IN	against
such	JJ	such
acts	NNS	act
of	IN	of
barbarism	NN	barbarism
at	IN	at
the	DT	the
moment	NN	moment
there	EX	there
is	VBZ	be
only	RB	only
one	CD	one
place	NN	place
for	IN	for
Germany	NP	Germany
the	DT	the
place	NN	place
side	NN	side
by	IN	by
side	NN	side
with	IN	with
Israel	NP	Israel
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
mean	VVP	mean
when	WRB	when
we	PP	we
say	VVP	say
the	DT	the
security	NN	security
of	IN	of
Israel	NP	Israel
is	VBZ	be
Germany's	NP	Germany's
rra	NP	rra
and	CC	and
I'm	NP	I'm
now	RB	now
joined	VVD	join
by	IN	by
our	PP$	our
chief	JJ	chief
political	JJ	political
editor	NN	editor
Michelle	NP	Michelle
kufner	NP	Kufner
who	WP	who
is	VBZ	be
at	IN	at
the	DT	the
German	JJ	German
Parliament	NP	Parliament
uh	UH	uh
today	NN	today
michella	NNS	michella
overall	RB	overall
I	PP	I
mean	VVP	mean
that	IN/that	that
we	PP	we
just	RB	just
listened	VVD	listen
to	TO	to
one	CD	one
aspect	NN	aspect
uh	UH	uh
or	CC	or
one	CD	one
soundbite	NN	soundbite
there	RB	there
from	IN	from
from	IN	from
the	DT	the
chancell	NN	chancell
but	CC	but
overall	NN	overall
that	WDT	that
was	VBD	be
a	DT	a
very	RB	very
strongly	RB	strongly
worded	VVN	word
speech	NN	speech
from	IN	from
the	DT	the
German	JJ	German
Chancellor	NP	Chancellor
some	DT	some
very	RB	very
strong	JJ	strong
rhetoric	NN	rhetoric
coming	VVG	come
out	RP	out
of	IN	of
him	PP	him
today	NN	today
here	RB	here
in	IN	in
Berlin	NP	Berlin
yes	NN	yes
and	CC	and
it	PP	it
was	VBD	be
um	JJ	um
Olaf	NP	Olaf
Schultz	NP	Schultz
spelling	VVG	spell
out	RP	out
what	WP	what
Germany	NP	Germany
means	VVZ	mean
when	WRB	when
it	PP	it
says	VVZ	say
it	PP	it
will	MD	will
guarantee	VV	guarantee
for	IN	for
Israel's	NP	Israel's
security	NN	security
this	DT	this
goes	VVZ	go
back	RB	back
to	TO	to
something	NN	something
former	JJ	former
chanc	NN	chanc
Angela	NP	Angela
mle	NN	mle
said	VVD	say
before	IN	before
the	DT	the
Israeli	NP	Israeli
Parliament	NP	Parliament
the	DT	the
knesset	NN	Knesset
in	IN	in
2008	CD	@card@
when	WRB	when
she	PP	she
said	VVD	say
