<video_id>iqYrBfL8EVc</video_id>	JJ	<video_id>iqYrBfL8EVc</video_id>
<video_title>No	NN	<video_title>No
access	NN	access
and	CC	and
no	DT	no
protection:	NN	protection:
Is	VBZ	be
the	DT	the
truth	NN	truth
getting	VVG	get
out	RP	out
of	IN	of
Gaza?	NP	Gaza?
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\No	NN	<thumbnail_path>en_DW\No
access	NN	access
and	CC	and
no	DT	no
protection	NN	protection
Is	VBZ	be
the	DT	the
truth	NN	truth
getting	VVG	get
out	RP	out
of	IN	of
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231102</publish_date>	NN	<publish_date>20231102</publish_date>
<doc>	NN	<doc>
well	RB	well
nearly	RB	nearly
100	CD	@card@
French	JJ	French
journalists	NNS	journalist
have	VHP	have
signed	VVN	sign
a	DT	a
petition	NN	petition
demanding	VVG	demand
access	NN	access
to	TO	to
Gaza	NP	Gaza
and	CC	and
protection	NN	protection
for	IN	for
journalists	NNS	journalist
covering	VVG	cover
the	DT	the
conflict	NN	conflict
for	IN	for
years	NNS	year
journalists	NNS	journalist
have	VHP	have
been	VBN	be
unable	JJ	unable
to	TO	to
enter	VV	enter
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
without	IN	without
permission	NN	permission
from	IN	from
Israeli	JJ	Israeli
authorities	NNS	authority
now	RB	now
they	PP	they
can't	VVD	can't
enter	VV	enter
at	IN	at
all	DT	all
we'll	NN	we'll
hear	VV	hear
from	IN	from
Rebecca	NP	Rebecca
rits	NNS	rits
in	IN	in
southern	JJ	southern
Israel	NP	Israel
again	RB	again
this	DT	this
time	NN	time
on	IN	on
the	DT	the
challenges	NNS	challenge
facing	VVG	face
her	PP	her
and	CC	and
other	JJ	other
reporters	NNS	reporter
as	IN	as
they	PP	they
try	VVP	try
to	TO	to
uh	UH	uh
record	NN	record
events	NNS	event
in	IN	in
the	DT	the
territory	NN	territory
this	DT	this
is	VBZ	be
the	DT	the
spot	NN	spot
where	WRB	where
Crews	NP	Crews
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
come	VVN	come
to	TO	to
set	VV	set
up	RP	up
to	TO	to
try	VV	try
to	TO	to
get	VV	get
the	DT	the
story	NN	story
out	RP	out
about	IN	about
what's	NNS	what's
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
it's	NN	it's
been	VBN	be
dubbed	VVN	dub
the	DT	the
hill	NN	hill
of	IN	of
Shame	NN	shame
Shame	NN	shame
because	IN	because
although	IN	although
it's	NNS	it's
about	RB	about
as	RB	as
close	JJ	close
as	IN	as
we	PP	we
can	MD	can
get	VV	get
to	TO	to
Gaza	NP	Gaza
at	IN	at
the	DT	the
moment	NN	moment
it's	NNS	it's
still	RB	still
around	IN	around
about	RB	about
2	CD	@card@
km	NN	km
from	IN	from
the	DT	the
border	NN	border
from	IN	from
here	RB	here
you	PP	you
can	MD	can
see	VV	see
with	IN	with
a	DT	a
zoom	NN	zoom
lens	NN	lens
some	DT	some
of	IN	of
the	DT	the
activity	NN	activity
happening	VVG	happen
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
