<video_id>CILMjZdqMrY</video_id>	JJ	<video_id>CILMjZdqMrY</video_id>
<video_title>Live:	NN	<video_title>Live:
UN	NP	UN
Security	NP	Security
Council	NP	Council
to	TO	to
vote	VV	vote
on	IN	on
Gaza	NP	Gaza
resolution	NN	resolution
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Live	JJ	<thumbnail_path>en_DW\Live
UN	NP	UN
Security	NP	Security
Council	NP	Council
to	TO	to
vote	VV	vote
on	IN	on
Gaza	NP	Gaza
resolution	NN	resolution
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231020</publish_date>	NN	<publish_date>20231020</publish_date>
<doc>	NN	<doc>
the	DT	the
9,	CD	@card@
442nd	JJ	442nd
meeting	NN	meeting
of	IN	of
the	DT	the
Security	NP	Security
Council	NP	Council
is	VBZ	be
called	VVN	call
to	TO	to
order	VV	order
the	DT	the
provisional	JJ	provisional
agenda	NN	agenda
for	IN	for
this	DT	this
meeting	NN	meeting
is	VBZ	be
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
including	VVG	include
the	DT	the
Palestinian	JJ	Palestinian
question	NN	question
the	DT	the
agenda	NN	agenda
is	VBZ	be
adopted	VVN	adopt
the	DT	the
security	NN	security
Council	NN	council
will	MD	will
now	RB	now
begin	VV	begin
its	PP$	its
consideration	NN	consideration
of	IN	of
item	NN	item
two	CD	two
of	IN	of
the	DT	the
agenda	NN	agenda
members	NNS	member
of	IN	of
the	DT	the
council	NN	council
have	VHP	have
before	IN	before
them	PP	them
document	VVP	document
s223	NN	s223
773	CD	@card@
the	DT	the
text	NN	text
of	IN	of
a	DT	a
draft	NN	draft
resolution	NN	resolution
sub	NN	sub
admitted	VVN	admit
by	IN	by
Brazil	NP	Brazil
the	DT	the
council	NN	council
is	VBZ	be
ready	JJ	ready
to	TO	to
proceed	VV	proceed
to	TO	to
the	DT	the
vote	NN	vote
on	IN	on
the	DT	the
draft	NN	draft
resolution	NN	resolution
before	IN	before
it	PP	it
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
Russian	NP	Russian
Federation	NP	Federation
has	VHZ	have
submitted	VVN	submit
amendments	NNS	amendment
to	TO	to
the	DT	the
text	NN	text
of	IN	of
the	DT	the
draft	NN	draft
resolution	NN	resolution
I	PP	I
give	VVP	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
representative	NN	representative
of	IN	of
the	DT	the
Russian	NP	Russian
Federation	NP	Federation
Mr	NP	Mr
President	NP	President
during	IN	during
consultations	NNS	consultation
on	IN	on
the	DT	the
17th	JJ	17th
of	IN	of
October	NP	October
many	JJ	many
members	NNS	member
of	IN	of
the	DT	the
council	NN	council
sought	VVD	seek
to	TO	to
dissuade	VV	dissuade
us	PP	us
to	TO	to
vote	VV	vote
on	IN	on
our	PP$	our
humanitarian	JJ	humanitarian
depoliticized	VVN	depoliticize
draft	NN	draft
resolution	NN	resolution
we	PP	we
were	VBD	be
asked	VVN	ask
to	TO	to
wait	VV	wait
24	CD	@card@
hours	NNS	hour
in	IN	in
order	NN	order
to	TO	to
reach	VV	reach
a	DT	a
consensus	NN	consensus
draft	NN	draft
resolution	NN	resolution
we	PP	we
did	VVD	do
not	RB	not
agree	VV	agree
with	IN	with
that	IN/that	that
and	CC	and
we	PP	we
were	VBD	be
right	RB	right
because	IN	because
ultimately	RB	ultimately
after	IN	after
almost	RB	almost
two	CD	two
days	NNS	day
the	DT	the
vote	NN	vote
is	VBZ	be
on	IN	on
a	DT	a
resolution	NN	resolution
that	WDT	that
is	VBZ	be
slightly	RB	slightly
changed	VVN	change
but	CC	but
was	VBD	be
not	RB	not
discussed	VVN	discuss
by	IN	by
the	DT	the
members	NNS	member
of	IN	of
the	DT	the
council	NN	council
we	PP	we
regret	VVP	regret
that	IN/that	that
the	DT	the
council	NN	council
wasted	VVD	waste
a	DT	a
very	RB	very
precious	JJ	precious
366	CD	@card@
hours	NNS	hour
during	IN	during
which	WDT	which
time	NN	time
the	DT	the
number	NN	number
of	IN	of
casualties	NNS	casualty
increase	VVP	increase
the	DT	the
strike	NN	strike
on	IN	on
the	DT	the
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
yesterday	NN	yesterday
killed	VVD	kill
hundreds	NNS	hundred
of	IN	of
people	NNS	people
given	VVN	give
this	DT	this
the	DT	the
inaction	NN	inaction
from	IN	from
the	DT	the
security	NN	security
Council	NN	council
looks	VVZ	look
appalling	JJ	appalling
yesterday	NN	yesterday
we	PP	we
did	VVD	do
warn	VV	warn
colleagues	NNS	colleague
that	IN/that	that
we	PP	we
just	RB	just
can't	VVD	can't
waste	VV	waste
any	DT	any
time	NN	time
now	RB	now
distinguished	VVD	distinguish
colleagues	NNS	colleague
I	PP	I
will	MD	will
speak	VV	speak
frankly	RB	frankly
the	DT	the
time	NN	time
for	IN	for
diplomatic	JJ	diplomatic
metaphors	NNS	metaphor
is	VBZ	be
long	RB	long
gone	VVN	go
everybody	NN	everybody
who	WP	who
did	VVD	do
not	RB	not
support	VV	support
our	PP$	our
humanitarian	JJ	humanitarian
resolution	NN	resolution
with	IN	with
a	DT	a
call	NN	call
for	IN	for
a	DT	a
swift	JJ	swift
ceasefire	NN	ceasefire
must	MD	must
understand	VV	understand
that	IN/that	that
they	PP	they
bear	VV	bear
uh	UH	uh
some	DT	some
of	IN	of
the	DT	the
responsibility	NN	responsibility
for	IN	for
what	WP	what
happened	VVD	happen
the	DT	the
Brazil	NP	Brazil
draft	NN	draft
resolution	NN	resolution
unfortunately	RB	unfortunately
will	MD	will
not	RB	not
help	VV	help
to	TO	to
avoid	VV	avoid
such	JJ	such
tragedies	NNS	tragedy
from	IN	from
occurring	VVG	occur
there	EX	there
is	VBZ	be
no	DT	no
clear	JJ	clear
call	NN	call
in	IN	in
it	PP	it
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
important	JJ	important
thing	NN	thing
to	TO	to
deescalate	VV	deescalate
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
it's	NNS	it's
very	RB	very
important	JJ	important
wording	NN	wording
H	NN	H
it	PP	it
that	WDT	that
has	VHZ	have
been	VBN	be
replaced	VVN	replace
with	IN	with
humanitarian	JJ	humanitarian
pauses	NNS	pause
and	CC	and
giving	VVG	give
unhindered	JJ	unhindered
access	NN	access
to	TO	to
un	NN	un
workers	NNS	worker
but	CC	but
that's	NNS	that's
not	RB	not
the	DT	the
