<video_id>CT7U_yKsmH8</video_id>	NP	<video_id>CT7U_yKsmH8</video_id>
<video_title>Israel	NP	<video_title>Israel
to	TO	to
send	VV	send
delegation	NN	delegation
to	TO	to
negotiate	VV	negotiate
hostage	NN	hostage
release,	NN	release,
truce	NN	truce
in	IN	in
Gaza	NP	Gaza
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel	NP	<thumbnail_path>en_DW\Israel
to	TO	to
send	VV	send
delegation	NN	delegation
to	TO	to
negotiate	VV	negotiate
hostage	NN	hostage
release,	NN	release,
truce	NN	truce
in	IN	in
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240225</publish_date>	JJ	<publish_date>20240225</publish_date>
<doc>	NN	<doc>
thousands	NNS	thousand
of	IN	of
people	NNS	people
have	VHP	have
rallied	VVN	rally
in	IN	in
Israeli	JJ	Israeli
cities	NNS	city
demanding	VVG	demand
government	NN	government
action	NN	action
for	IN	for
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
being	VBG	be
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
Israeli	NP	Israeli
police	NNS	police
used	VVD	use
water	NN	water
cannons	NNS	cannon
to	TO	to
disperse	VV	disperse
anti-government	JJ	anti-government
protesters	NNS	protester
who	WP	who
also	RB	also
called	VVD	call
for	IN	for
the	DT	the
removal	NN	removal
of	IN	of
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
as	IN	as
the	DT	the
domestic	JJ	domestic
and	CC	and
international	JJ	international
pressure	NN	pressure
mounts	NNS	mount
on	IN	on
Netanyahu	NP	Netanyahu
a	DT	a
hostage	NN	hostage
release	NN	release
deal	NN	deal
with	IN	with
Hamas	NP	Hamas
considered	VVD	consider
a	DT	a
terrorist	JJ	terrorist
group	NN	group
by	IN	by
multiple	JJ	multiple
countries	NNS	country
could	MD	could
be	VB	be
within	IN	within
reach	NN	reach
after	IN	after
talks	NNS	talk
between	IN	between
Israel	NP	Israel
American	NP	American
Egyptian	NP	Egyptian
and	CC	and
katar	NN	katar
mediators	NNS	mediator
in	IN	in
Paris	NP	Paris
and	CC	and
we're	NP	we're
joined	VVD	join
Now	RB	now
by	IN	by
DW	NN	DW
correspondent	NN	correspondent
Tanya	NP	Tanya
Kemar	NP	Kemar
from	IN	from
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
this	DT	this
is	VBZ	be
the	DT	the
latest	JJS	late
in	IN	in
the	DT	the
series	NN	series
of	IN	of
anti-government	JJ	anti-government
protests	NNS	protest
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
last	JJ	last
night	NN	night
well	NN	well
we've	NN	we've
seen	VVN	see
those	DT	those
protests	NNS	protest
anti-government	NN	anti-government
protests	NNS	protest
and	CC	and
anti	JJ	anti
and	CC	and
Netanyahu	NP	Netanyahu
protests	NNS	protest
you	PP	you
have	VHP	have
to	TO	to
say	VV	say
um	NNS	um
are	VBP	be
growing	VVG	grow
larger	JJR	large
and	CC	and
louder	JJR	loud
in	IN	in
recent	JJ	recent
weeks	NNS	week
in	IN	in
the	DT	the
the	DT	the
beginning	NN	beginning
after	IN	after
October	NP	October
7	CD	@card@
after	IN	after
the	DT	the
terror	NN	terror
attacks	NNS	attack
there	RB	there
and	CC	and
then	RB	then
the	DT	the
uh	UH	uh
War	NN	war
you	PP	you
know	VVP	know
people	NNS	people
were	VBD	be
U	NP	U
more	RBR	more
reluctant	JJ	reluctant
to	TO	to
go	VV	go
out	RP	out
um	NNS	um
they	PP	they
told	VVD	tell
me	PP	me
at	IN	at
least	JJS	least
the	DT	the
protesters	NNS	protester
and	CC	and
there	EX	there
were	VBD	be
more	JJR	more
calls	NNS	call
of	IN	of
vigils	NNS	vigil
and	CC	and
protests	NNS	protest
to	TO	to
call	VV	call
for	IN	for
the	DT	the
release	NN	release
of	IN	of
the	DT	the
hostages	NNS	hostage
and	CC	and
now	RB	now
we	PP	we
are	VBP	be
seeing	VVG	see
also	RB	also
more	RBR	more
anti-government	JJ	anti-government
protests	NNS	protest
and	CC	and
last	JJ	last
night	NN	night
uh	UH	uh
they	PP	they
turned	VVD	turn
violent	JJ	violent
with	IN	with
the	DT	the
police	NN	police
using	VVG	use
water	NN	water
cannons	NNS	cannon
and	CC	and
Mounted	VVN	mount
Police	NNS	Police
that	WDT	that
were	VBD	be
also	RB	also
arrests	VVZ	arrest
uh	UH	uh
being	VBG	be
U	NP	U
made	VVN	make
um	NNS	um
you	PP	you
know	VVP	know
this	DT	this
sense	NN	sense
is	VBZ	be
also	RB	also
reflect	VV	reflect
in	IN	in
in	IN	in
the	DT	the
uh	UH	uh
in	IN	in
in	IN	in
polls	NNS	poll
here	RB	here
more	JJR	more
people	NNS	people
are	VBP	be
calling	VVG	call
for	IN	for
elections	NNS	election
also	RB	also
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
lost	VVD	lose
a	DT	a
lot	NN	lot
of	IN	of
popularity	NN	popularity
um	VVG	um
uh	UH	uh
people	NNS	people
criticizing	VVG	criticize
him	PP	him
for	IN	for
not	RB	not
taking	VVG	take
responsibility	NN	responsibility
for	IN	for
the	DT	the
security	NN	security
failures	NNS	failure
uh	UH	uh
leading	VVG	lead
up	RP	up
to	TO	to
October	NP	October
uh	UH	uh
7th	JJ	7th
but	CC	but
also	RB	also
um	NNS	um
you	PP	you
know	VVP	know
they're	NN	they're
saying	VVG	say
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
a	DT	a
change	NN	change
in	IN	in
leadership	NN	leadership
because	IN	because
of	IN	of
the	DT	the
handling	NN	handling
of	IN	of
the	DT	the
crisis	NN	crisis
this	DT	this
doesn't	NN	doesn't
mean	VVP	mean
that	IN/that	that
people	NNS	people
are	VBP	be
against	IN	against
the	DT	the
war	NN	war
a	DT	a
majority	NN	majority
of	IN	of
Israeli	JJ	Israeli
supports	VVZ	support
uh	UH	uh
the	DT	the
war	NN	war
but	CC	but
they	PP	they
wants	VVZ	want
to	TO	to
see	VV	see
they	PP	they
want	VVP	want
to	TO	to
see	VV	see
that	IN/that	that
the	DT	the
government	NN	government
is	VBZ	be
handling	VVG	handle
this	DT	this
and	CC	and
bringing	VVG	bring
those	DT	those
hostages	NNS	hostage
home	NN	home
as	IN	as
well	RB	well
yeah	RB	yeah
we	PP	we
mentioned	VVD	mention
the	DT	the
talks	NNS	talk
with	IN	with
uh	UH	uh
several	JJ	several
foreign	JJ	foreign
parties	NNS	party
as	IN	as
well	NN	well
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
this	DT	this
hostage	NN	hostage
deal	VV	deal
yes	UH	yes
there	EX	there
were	VBD	be
new	JJ	new
talks	VVZ	talk
uh	UH	uh
on	RB	on
Friday	NP	Friday
uh	UH	uh
in	IN	in
uh	UH	uh
Paris	NP	Paris
with	IN	with
the	DT	the
heads	NNS	head
of	IN	of
the	DT	the
mosad	NN	mosad
the	DT	the
domestic	JJ	domestic
intelligence	NN	intelligence
service	NN	service
the	DT	the
shin	NN	shin
B	NN	B
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
intelligence	NN	intelligence
service	NN	service
and	CC	and
the	DT	the
CIA	NP	CIA
and	CC	and
also	RB	also
the	DT	the
negotiators	NNS	negotiator
and	CC	and
mediators	NNS	mediator
from	IN	from
Qatar	NP	Qatar
and	CC	and
from	IN	from
Egypt	NP	Egypt
and	CC	and
on	IN	on
Saturday	NP	Saturday
night	NN	night
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
security	NN	security
cabinet	NN	cabinet
met	VVD	meet
so	RB	so
according	VVG	accord
to	TO	to
Israeli	JJ	Israeli
uh	UH	uh
reports	NNS	report
here	RB	here
in	IN	in
the	DT	the
media	NNS	medium
they	PP	they
decided	VVD	decide
now	RB	now
to	TO	to
uh	UH	uh
