video_id,video_title,thumbnail_path,transcript,publish_date
hH8eMkO1CpA,How Hamas surpise attack on Israel unfolded,data/en_CNN\How Hamas surpise attack on Israel unfolded.jpg,"Агәыӷра сымоуп урҭ
ақҭаб 7 азы шьыжьымҭан иаауеит ҳәа.
Газа иҟоу апалестинатә еибашьцәа
Израильҟа зықьҩыла аракетақәа дыршәит,
ҳәа рҳәоит Израильтәи арратә усбарҭақәа.
Убри аан, ажәылара мҩаԥысуанаҵы, Газаҟынтәи Израильтәи атәылаҿацә ахь абџьар зкыз ауаа ҭыԥқәак рҿы аҭалара иалагеит
.  Тель-Авиви Иерусалимҟынӡа
сааҭла асиренақәа рыбжьы гон
.  Газа напхгара азҭо
Палестинатәи аибашьцәа реиҿкаара Ҳамас
аҭакԥхықәра ахахьы иагеит.
Урҭ изларҳәо ала,
аамҭа кьаҿк иалагӡаны аҳәса рықәлара рҭак ҟарҵон.  Иерусалимтәи
аԥшьаныҳәарҭа Аль-Ақса аҿы имҩаԥысуа аусмҩаԥгатәқәеи,
имҩаԥысуа Газа акәшареи.
Аҭакс.
Израильтәи ахьчаратә мчқәа иҟарҵаз адыррақәа рыла, Газа иҟоу Ҳамас ахықәкқәа рҟны
ақәылара мҩаԥыргеит,
насгьы
зықьҩыла арезервтә мчқәа рахь ааԥхьара ҟарҵеит,
аракетақәа рықәҵра ахьцоз азы.  Газаҟынтәи
авидеоқәа цәырҵуа иалагеит
,
Палестина ауааԥсыра аныҳәа шыргәарҭоз аазырԥшуазшәа.
Реутерс иҭнажьыз видеок аҿы
иааԥшуеит Палестинатәи аибашьцәа Газа агәараҿы
израильтәи аруаҩ атанк дҭырго
.
Ҳамас
израильтәи аруаа ԥыҭҩык ҭаркит ҳәа рҳәеит.
Израильтәи арратә усбарҭақәа ирҳәеит,
Ҳамас шаҟаҩы ауаа ҭаркыз
еилыркааӡакәа.
IDF иара убасгьы иазгәанаҭеит,
Газа аҳәаа азааигәара иҟоу Израильтәи ақалақьқәа рҿы ақәылацәа ԥыҭҩык ҭакрада ишырку.
Иҭахаз рхыԥхьаӡара еизҳацыԥхьаӡа.
Ари Израильтәи-Палестинатәи аиҿагылараҿы зегь реиҳа ихьанҭоу аескалациақәа иреиуоуп
.
Уи ҟалеит
1973 ашықәс азы
Арабтә ҳәынҭқаррақәа
Израиль аибашьра аныҟала 50 шықәса анырхыҵуаз, аиудеиаа рымҳәырԥхьаӡагаҿы иреиҳа
иԥшьоу амш Иом Кипур аҽны
.
Ари амчыбжь анҵәамҭагьы аиудеиаа рныҳәоуп.
Сабиҳа Тора,
Газа
2 миллионҩык ауаа зқәынхо, Ҳамас анапхгара аҵаҟа иҟоу
140 миль квадраттә ҭыԥ аҿы еизаны иҟоу амшын аԥшаҳәаҿы иҟоу анклавуп
.
2007 шықәсазы Израиль Газа адгьыл, аҳауа, амшын аблокада абзоурала адунеи зегьы иацәыхараны иҟоуп
.
Израиль атәылауаа рныҟәара ахақәиҭразы аԥкрақәа ӷәӷәа шьақәнаргылеит,
насгьы
амшын аԥшаҳәа ҭшәахь ихадароу амаҭәахәқәа раагара ахылаԥшра мҩаԥнагоит.
Зқьҩыла аусзуҩцәа
азин змоу есыҽны Израильҟа ишнеиуазгьы.",20231009
L_6GMzVl6L0,Netanyahu says the retaliation in Gaza is ‘just the beginning’,data/en_CNN\Netanyahu says the retaliation in Gaza is ‘just the beginning’.jpg,,20231009
kngd0K2KIqI,Israeli airstrike hits refugee camp in Gaza,data/en_CNN\Israeli airstrike hits refugee camp in Gaza.jpg,,20231009
zdq3NVtT6Nc,The history of Gaza in 2 minutes,data/en_CNN\The history of Gaza in 2 minutes.jpg,"Gaza is only about 25 miles
long and seven miles wide.
But this small strip of land
is one of the most
fought over in history.
It was an Egyptian base,
a royal city for the Philistines
and the place
where the Hebrew hero,
Samson, betrayed by Delilah,
met his death.
Since then, much blood has been spilled.
The most recent contest for Gaza began
at the end of World
War Two,
when persecuted Jews
traveled to Israel from Europe
looking for a new start
After the horrors of the Holocaust.
In 1947,
the United Nations
created a plan to split
Palestine into two lands
one for Jews and one for the Arab people.
Backed by the U.S.
President, Harry Truman.
David Ben-Gurion, Israel's
founder, proclaims
the establishment
of the State of Israel in 1948.
Egypt then attacked Israel
through the Gaza Strip.
Israel was victorious,
but Gaza remained
under the control of Egypt,
and an influx of Palestinian refugees
began.
In 1967, war broke out between Israel,
Egypt, Jordan and Syria
in what became known as the Six-Day War.
Israel seized the Gaza Strip
and held it for 40 years.
Israel pulled its forces
out of Gaza in 2005.
In 2006, Hamas, a group sworn
to destroy Israel
and listed by the United States,
the European Union
and others as a terrorist group,
won a landslide victory
in Palestinian legislative elections.
Hamas was now in
control of the territory.
However, Israel's deal controls
much of the areas access
to and from the Gaza Strip.
Since then, Israel and Hamas
have been exchanging blows.
Israel maintains
that Hamas is a violent terror
organization.
Of Hamas says
that they represent an oppressed people
being victimized by the Jewish state.
The international community continues
to press for a cease in violence.
But for now,
the strip's
population of 1.8 million people
are trapped in the crossfire.",20231009
p5ZTGkhmSJw,Israeli mother of missing son sends message to Hamas,data/en_CNN\Israeli mother of missing son sends message to Hamas.jpg,,20231009
xrEMJNj35VE,How Israel's Iron Dome Works,data/en_CNN\How Israel's Iron Dome Works.jpg,,20231009
XkAVyXHFHEQ,IDF spokesperson: ‘We’ll do what’s needed’ to stop attacks,data/en_CNN\IDF spokesperson ‘We’ll do what’s needed’ to stop attacks.jpg,"OUTFRONT now,
major Israeli
Major Ben Wall houses
the Israel Defense Forces.
Spokesperson A major,
thank you so much for joining us,
first of all.
What's the
latest on the ground right now?
Thank you, Wolf.
The situation
now is that we have secured the South.
We no longer have hundreds of terrorists
streaming across the border
trying to kill our civilians.
We still have forces
that are going house by house,
making sure that none of them are left.
Hundreds streamed across the border.
Two days ago,
entered into more
than 20 towns and cities.
So our forces are still going house
by house
to make sure that none of them are left.
At the same time, as your viewers know,
we are undergoing
continuous rocket fire
into our cities, indiscriminate.
And that's the current situation.
So is it true
that Israel is now in full control
of all of its land at this hour?
Yes, that is correct.
We have fortified the border
fence on Gaza as well.
We have strained forces down there
and they are working to make sure
that the entire south is safe and secure.
Prime Minister Netanyahu,
as you well know, said today
that the Israeli airstrikes in Gaza,
in his words, are only the beginning.
Are we looking right now at a ground war
here as well?
Well, Hamas's attacks are continuing.
The rocket fire is continuous.
I'm sitting here in Tel Aviv
at my house in Tel Aviv.
My children are continuously going
from upstairs down to the basement
to the bomb shelter.
Sirens all throughout Israel.
So the IDF has been directed
by the government to stop those attacks.
And we'll do
what's needed in order
to stop those attacks
and make sure that Hamas doesn't
have the capability to renew them.
So you're clearly leaving open
the possibility
of a major Israeli ground invasion into
Gaza to deal with that.
The IDF
has many capabilities
and we are going to deploy them all
in order
to stop Hamas's ability
to keep attacking our civilians.
As you know, major Hamas is saying
it will start executing
the civilian hostages
taken from Israel into Gaza
and broadcasting it
if Israel targets
people in Gaza without warning.
Will that change Israel's response
at all?
Well, that shouldn't surprise anyone.
Hamas's war here is a war on civilians.
It started with a massacre of women,
children, elderly, entire families.
They kidnaped tens of
families and people
and young people, toddlers, elderly women
are there continuously
firing rockets at our civilians.
And at the same time,
they're hiding behind their civilians
in Gaza
to try and avoid attack from us
and cause more civilian casualties.
So it's not surprising
that they would say something like that.
And our priority is to make sure
that Hamas cannot carry
any of that out
and cannot continue attacking us.
Do you believe, Major,
that some of the hostages
may already be dead?
I don't have the
information to give you that. Now.
It's also for operational reasons.
But obviously, our highest priority
is to protect our people at home
and also protect those people in Gaza.
And that's
what our forces are doing in the land,
sea and air.
Major Ben Wall,
House of the Israeli
Defense Force and spokesperson,
thanks very much for joining us.
Thank you.
And the war has tragically hit
very close to home for my next guest,
a man
who has been on our network
many times over the years.
Mark is the former U.S.
ambassador to Morocco, former White House
adviser on Middle East policy.
As well,
he just announced the death
of his nephew,
Elie Ginsburg, a lieutenant commander
for Israel.
Ambassador,
thanks so much for joining us.
You and I have known each other
for many years.
We are so, so sorry for the loss.
This your loss this evening.
What do you know so far
about what happened to your nephew?
Well, Elie
was a lieutenant commander
and a Navy SEAL in Israel,
and he had just retired from serving
as an operational commander
for Mossad three weeks ago
and was called up
to lead his unit into Kibbutz
Rai, where the music festival
was taking place to rescue hostages
that were being held by Hamas.
And Brian, one of the efforts to
break down
one of the apartment buildings.
He was shot and killed
by a Hamas terrorist.
I found that out for my sister
in law this morning.
I'm here in Morocco doing earth
relief work.
So it's had
been a terrible day for my family and I.
Our hearts go out to you, of course.
Give us a little bit
more about your nephew, Ambassador.
What was he like?
Oh, Elie.
He was.
He was the
oldest of my three
nephews who was raised on a kibbutz
in this government.
My brother Mike
had been killed up there in 2006,
so Elie had lost his father to Hezbollah
and a Hezbollah attack in the war.
And I know he was raised there,
someone dedicated to Israel's
military prowess.
He I mean, the fact that he became
not only a Navy SEAL,
but also
the lieutenant commander
for the Navy SEALs
and then trained in the United States
at the U.S.
Naval Academy.
And
in order to
develop his his skills to train Israelis
and in special commando operations.
I mean, he just worked in the last year.
Right. Pretty secret, Wolf.
But for those of us
who and I particularly was his
I guess, substitute father,
we were so proud of him.
He leaves a beautiful wife in a kibbutz
and four children,
as well as two brothers
and my sister in law.
And we're all morning
I can't make it,
unfortunately, to the funeral tomorrow
because the flights
are extraordinarily hard.
But I'll make it to Israel
to be with my family as soon as I can.
And when you do, please
pass along our deepest,
deepest condolences to your family.
As you know, the Israeli prime minister,
Benjamin Netanyahu, has warned
there will be difficult days ahead
and that Israel will go on offense
against Hamas.
In his words, like never before.
What do you think that looks like
specifically over
the next 24 to 48 hours?
Well, I've I've listened to both you
and I know
I've spent an enormous amount of time
in Israel as well as in Gaza.
I've watched the successive efforts
by Israel to try to quell Hamas.
But I'll tell you, Wolf, my biggest fear,
based on the fact
that my family lives
up on Kibbutz Maccabi,
I'm on the Lebanese border,
is that diabolically, given my own view
and hatred for Hezbollah and Hamas,
it's very conceivable
that part of the scheme here
directed by Iran
is to exhaust Israel's
supply of Iron Dome missiles,
because
Hezbollah, as you well know,
Wolf, and you're an expert on this,
if if Hamas fire 2000 to 3000 missiles
at Israel in a matter of two days, Hamas,
Hezbollah has 150,000 guided missiles
and no Iron Dome system
that Israel currently has
and is already badly depleted
can withstand that type of attack.
It's a serious, very serious situation,
as I continue
to say,
and I hope I'm wrong,
this war is only just beginning.
Ambassador Mark Ginsberg,
our deepest, deepest condolences
to you and your family.
Thank you very much for joining us.",20231010
J5tFbJRdZAw,Israeli mother of missing son sends message to Hamas,data/en_CNN\Israeli mother of missing son sends message to Hamas.jpg,"Hamas is
warning it will execute the hostages
it kidnapped over the weekend
if Israel continues to retaliate in Gaza.
I want to bring in shelly shem tov.
Hamas kidnaped her 21 year old son, Omer
from the supernova
Music festival on Saturday.
They kidnaped him and took him to Gaza.
Shelly,
when did you last year from your son?
A I heard from my son
on a Saturday morning at 8:00
when he was he called us that he is in
he was in panic and he told us that
they are shooting guns and
big mess there.
And he tried to escape
with the friends car
and
my daughter told him to
to send
a Google Live or
and and he sent us
the Israel that they give your life
and then we
so he told us I will talk with you.
I will talk with you.
And then we saw in the Google live map
that he is going to
to near the border.
And then we saw that he's moving into
Gaza.
And it was the last
time that we contacted him.
Do you do you know anything
about his condition right now?
Has has Hamas
or the IDF or the Israeli government?
Has there been any communication?
Yeah,
I don't know what is what his condition.
I know on the air on Saturday night,
we got a telegram video that almost
he was lying down in the back
of a pickup truck and handcuffed.
And this is the video that.
So I so that so that he's alive
and he looks and that is he's okay.
He didn't get hurt.
And so I know he's alive.
But from that video
until now, I don't know Nothing.
Nothing.
What message would you want
to convey to the kidnapers?
The people that have him right now?
What do you want to tell them?
If they're watching right now,
I just want my
my baby, my my son back.
And I want it to end.
And I want to say
to everybody that I'm in nightmare
and I'm it's a nightmare that that is
few days left, that I don't know
what to do and how to help my son.
I cannot tell him.
And
the things that I think that I want
is only that he will come back
and
that's it.
That's it.
Shelly Shem Tov.
We will be thinking
and praying for your son.
Thank you so much for telling your story.
Please stay in touch with us
so that we can continue
to stay on top of your son's story.
Thank you.",20231009
V5AxIqP6OJM,Explosions go off during interview with American doctor trapped in Gaza,data/en_CNN\Explosions go off during interview with American doctor trapped in Gaza.jpg,"T NOW.
NEW STA HAPP
IC QUESTION, IS
PRIS THEM,OUND IIOIM NETANYAHU
LIKETH FOR ANOTHER
COMPLETE SIEGE OF GAZA ANDNG THF
THE E.WI S2 PEOPLE
CROWDED TOGETHER OA 140-SQ-M HTS
AS ON EARTH?N WEDEMAN IS IN JERO
US.
I  YF TIME
REPORTING FROM GAZA.
YOU KNOW HOW DIFFICULTT
TERRAIN IS OVE US,URAT
TOA WARFARE, ANDNNELS AS WELL TT
CORAWHAT COULD THE IDF FORCES BE
FACING THERE?
S GOING TO BE , WOLF.
TION IS THAT
THEY ARE GOING TO GOO GA
INHAAVEN'T S
THE PAST.
WAIN 2009 WHEN THE
ISRAISINCUTHEY BASICALLY THE ST
HE T AF 'RE GOING TO GO IN AND
TO, FOR INSTANCE
PT ITHMAS IS KEEPINGHE AREAS
THAT ARE HEAVILY, FOR
INSTANCE, LIKE REFUGAM,
PULATED OF
RE
THAT REFUGEE CAMP IS COMPOSEOFRY
NARROW.
SO IT'S GOING  IN.
AND,URSE, IT ISO FULT IT IS INEM
SOHI A VAZA.
EROLENT
OPERATION.
AND, OF COURSE, S,E EN THIS OPE
ATN SATURDAY
WAVERY WELL EDTHEY CLEARLYTUDIEI
OF THE OTH  VAE,IVES W ONE
OPERATION.
AND THEIR ASSUMPTIONS PROBABLYY
I COUNTERATTACK, THE
ISRAELI INVASION INSIDE OFSEPAB
ASG OF HAMAS.HEE ISRAELIS ANG T
PES THIFFICULT
GROUNDPEHAVE DONE CEIR LE  T
I ED FROM GA
SAYING. EVERYTHING YOU'RE
FROW. BARBAR TNK
N,N AMERIC
PEDIATRICIANHOINGAZA RIGHT NTHEL
ATREAT CHIN WHEN
ON ISRAEL.
DR. ZIN, THAOUJOINING US
AION IN USSCE HEARING THES
WALKING  BEACH.ENED TO B
E PALESTINIAN
CHILDREN'S RIEFUND, AND WAS
WALKING WITH ONE OF THEIR
EMPLOYEEAN OH WHEN THINGT FOR A.
AND, YEAH, SN, WE
TOLD T IN THE HOTEL.E IS TWO OF,
ARE JUST WAITINGO LEAVE, .
&gt;&gt; AS YOU , ISRAEL HAS BEEN
IOUS TARGETS IN
IN RESPONSE
TO THE HAMAS
ING ON AGAINST
WEA  A VERY IMPOT AK.
ELL, WHENEVER U
,  KNOTHGE SOME VIOLENCE WHILE
YOU'RE THERE.BUT, WASN'T.
I WASN'T PR
LKNOW TO GO
INTO SOME  SHE
WHATEVER, BAUEAR
THOI R
[ PLOSION]OMB SHELTERS
HE IS THERE ANY SAFE ARETHAT N ?
UM, YEAH.TUTER-IN-LAW
WHO'S PALESTINIAN.
SHE TELLS ME TO STAY AWAY FROM .
STAY BY CORNERS OF WALLSE MOREO
ISRAELI PRIME MINISTER
AFTER HAMAS, IUO
NOW,IKVEFORE.
HOW E YOU RIGHT NOW  OWN SAFETY?
&gt;&gt; WELL, WE'RE DOINGNIZATION
G HARD AND'RE DEVELOPING PTOO T.
WE'RE GOING ASAS WCA&gt;&gt; YOU'RE T
EGYPT.
IS THAT RIGHT?
&gt;&gt; RIGHT.
SO WE HAVE TO GET VISA INTO
EGYPT.
SO WE'RE WAI FONROYPTIAN  IS HE
A LITTLE WIT
ISRAELIS WILL, YOU KNOW, BOMB R.
&gt;&gt; AS FAR ASEP
EVACUATI, Y
TELLING YOTONIGHT?
WHAT ARE THEY SAYING?
STAY PUT, SHELTER IN PTRE --
]
BORD
LLNG U OPEN,
AND THENEY GOING H VISA.BUTHGIN
ANYTHING AT TH.
I DON'T  THA COULD.
GOT GOING ON.E I LET Y
&gt;&gt; I GET STARTLEBY THECTY LIKE ?
HOTEL, AND I F OUR
--
[ EXPLOSION ]
IS SAF
AR
WE AND I JUST TAKE",20231010
U2Uz5HZ-F5A,Explosion interrupts interview with doctor in Gaza,data/en_CNN\Explosion interrupts interview with doctor in Gaza.jpg,,20231010
