<video_id>5VF90l_DLto</video_id>	NP	<video_id>5VF90l_DLto</video_id>
<video_title>Israel	NP	<video_title>Israel
Gaza	NP	Gaza
Conflict:	NP	Conflict:
What	WP	what
next?	NN	next?
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel	NP	<thumbnail_path>data/en_BBCNews\Israel
Gaza	NP	Gaza
Conflict	NN	conflict
What	WP	what
next	JJ	next
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20140728</publish_date>	NN	<publish_date>20140728</publish_date>
<doc>	NN	<doc>
over	IN	over
a	DT	a
thousand	CD	thousand
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
this	DT	this
conflict	NN	conflict
and	CC	and
as	IN	as
the	DT	the
UN	NP	UN
secretary	NN	secretary
uh	UH	uh
General	NP	General
there	RB	there
said	VVD	say
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
will	MD	will
Israel	NP	Israel
now	RB	now
pause	VVP	pause
stop	VV	stop
and	CC	and
change	VV	change
its	PP$	its
rule	NN	rule
of	IN	of
Engagement	NN	engagement
uh	UH	uh
every	DT	every
death	NN	death
is	VBZ	be
a	DT	a
tragedy	NN	tragedy
in	IN	in
fact	NN	fact
it's	NNS	it's
not	RB	not
true	JJ	true
by	IN	by
the	DT	the
way	NN	way
that	IN/that	that
the	DT	the
majority	NN	majority
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
the	DT	the
majority	NN	majority
as	RB	as
far	RB	far
as	IN	as
the	DT	the
figures	NNS	figure
that	WDT	that
we've	VVP	we've
seen	VVN	see
some	DT	some
80%	CD	@card@
are	VBP	be
actually	RB	actually
men	NNS	man
of	IN	of
fighting	VVG	fight
age	NN	age
but	CC	but
obviously	RB	obviously
every	DT	every
death	NN	death
Every	DT	every
Woman	NP	Woman
every	DT	every
child	NN	child
every	DT	every
individual	JJ	individual
who's	NNS	who's
not	RB	not
a	DT	a
militant	JJ	militant
it's	NN	it's
an	DT	an
absolute	JJ	absolute
tragedy	NN	tragedy
it's	NNS	it's
really	RB	really
it's	JJ	it's
a	DT	a
double	JJ	double
tragedy	NN	tragedy
we	PP	we
we	PP	we
we	PP	we
we're	VVP	we're
we're	NN	we're
sad	JJ	sad
because	IN	because
of	IN	of
the	DT	the
loss	NN	loss
of	IN	of
life	NN	life
but	CC	but
we're	NN	we're
also	RB	also
sad	JJ	sad
because	IN	because
unfortunately	RB	unfortunately
