<video_id>LDnDN1DwctE</video_id>	JJ	<video_id>LDnDN1DwctE</video_id>
<video_title>Israel-Gaza	NN	<video_title>Israel-Gaza
war:	NN	war:
US	PP	us
expresses	VVZ	express
support	NN	support
for	IN	for
UN	NP	UN
aid	NN	aid
resolution	NN	resolution
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel-Gaza	NN	<thumbnail_path>data/en_BBCNews\Israel-Gaza
war	NN	war
US	PP	us
expresses	VVZ	express
support	NN	support
for	IN	for
UN	NP	UN
aid	NN	aid
resolution	NN	resolution
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231222</publish_date>	NN	<publish_date>20231222</publish_date>
<doc>	NN	<doc>
now	RB	now
though	IN	though
let's	NNS	let's
turn	VVP	turn
to	TO	to
the	DT	the
latest	JJS	late
on	IN	on
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
has	VHZ	have
again	RB	again
delayed	VVN	delay
a	DT	a
vote	NN	vote
on	IN	on
a	DT	a
resolution	NN	resolution
calling	VVG	call
for	IN	for
a	DT	a
halt	NN	halt
to	TO	to
the	DT	the
fighting	NN	fighting
in	IN	in
Gaza	NP	Gaza
it's	NNS	it's
the	DT	the
fourth	JJ	fourth
time	NN	time
it's	NN	it's
been	VBN	be
postponed	VVN	postpone
this	DT	this
week	NN	week
it	PP	it
has	VHZ	have
been	VBN	be
delayed	VVN	delay
since	IN	since
Monday	NP	Monday
as	IN	as
member	NN	member
states	NNS	state
try	VVP	try
to	TO	to
work	VV	work
out	RP	out
a	DT	a
draft	NN	draft
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
won't	NP	won't
veto	VV	veto
our	PP$	our
United	NP	United
Nations	NPS	Nations
correspondent	NN	correspondent
Neda	NP	Neda
torfi	NP	torfi
has	VHZ	have
the	DT	the
latest	JJS	late
from	IN	from
New	NP	New
York	NP	York
what	WP	what
I	PP	I
heard	VVD	hear
from	IN	from
one	CD	one
Diplomat	NN	diplomat
is	VBZ	be
that	IN/that	that
they've	NN	they've
made	VVD	make
more	JJR	more
progress	NN	progress
today	NN	today
than	IN	than
they	PP	they
have	VHP	have
all	DT	all
week	NN	week
and	CC	and
that	IN/that	that
they	PP	they
are	VBP	be
narrowing	VVG	narrow
the	DT	the
gaps	NNS	gap
what	WP	what
we	PP	we
have	VHP	have
received	VVN	receive
is	VBZ	be
the	DT	the
latest	JJS	late
draft	NN	draft
resolution	NN	resolution
and	CC	and
it	PP	it
is	VBZ	be
different	JJ	different
in	IN	in
key	JJ	key
aspects	NNS	aspect
from	IN	from
the	DT	the
last	JJ	last
proposal	NN	proposal
now	RB	now
instead	RB	instead
of	IN	of
calling	VVG	call
for	IN	for
a	DT	a
suspension	NN	suspension
of	IN	of
hostilities	NNS	hostility
