<video_id>YT9s4HAKPD4</video_id>	NP	<video_id>YT9s4HAKPD4</video_id>
<video_title>UK	NP	<video_title>UK
PM	NP	PM
Rishi	NP	Rishi
Sunak	NP	Sunak
tells	VVZ	tell
Israel	NP	Israel
'we	NP	'we
want	VVP	want
you	PP	you
to	TO	to
win'	NP	win'
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\UK	NP	<thumbnail_path>data/en_BBCNews\UK
PM	NP	PM
Rishi	NP	Rishi
Sunak	NP	Sunak
tells	VVZ	tell
Israel	NP	Israel
'we	NP	'we
want	VVP	want
you	PP	you
to	TO	to
win'	NP	win'
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231019</publish_date>	NN	<publish_date>20231019</publish_date>
<doc>	NN	<doc>
I	PP	I
want	VVP	want
to	TO	to
thank	VV	thank
you	PP	you
for	IN	for
your	PP$	your
solidarity	NN	solidarity
your	PP$	your
clear	JJ	clear
unwavering	VVG	unwaver
support	NN	support
from	IN	from
the	DT	the
minute	NN	minute
this	DT	this
War	NP	War
Began	NP	Began
I	PP	I
think	VVP	think
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
came	VVD	come
to	TO	to
Israel	NP	Israel
tells	VVZ	tell
us	PP	us
a	DT	a
lot	NN	lot
I	PP	I
said	VVD	say
to	TO	to
President	NP	President
Biden	NP	Biden
yesterday	NN	yesterday
that	IN/that	that
there's	RB	there's
one	CD	one
thing	NN	thing
more	RBR	more
heartwarming	JJ	heartwarming
than	IN	than
standing	VVG	stand
with	IN	with
Israel	NP	Israel
it's	NNS	it's
standing	VVG	stand
in	IN	in
Israel	NP	Israel
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
came	VVD	come
here	RB	here
to	TO	to
do	VV	do
that	DT	that
uh	UH	uh
is	VBZ	be
a	DT	a
very	RB	very
strong	JJ	strong
statement	NN	statement
of	IN	of
support	NN	support
which	WDT	which
we	PP	we
deeply	RB	deeply
appreciate	VV	appreciate
uh	UH	uh
Chancellor	NP	Chancellor
Schultz	NP	Schultz
who	WP	who
also	RB	also
visited	VVD	visit
here	RB	here
called	VVN	call
Hamas	VVG	Hamas
uh	UH	uh
the	DT	the
new	JJ	new
Nazis	NNS	Nazi
he	PP	he
was	VBD	be
right	JJ	right
you	PP	you
fought	VVD	fight
the	DT	the
Nazis	NNS	Nazi
80	CD	@card@
years	NNS	year
ago	RB	ago
uh	UH	uh
resolutely	RB	resolutely
uh	UH	uh
and	CC	and
the	DT	the
entire	JJ	entire
world	NN	world
supported	VVD	support
your	PP$	your
action	NN	action
President	NP	President
Biden	NP	Biden
called	VVD	call
Hamas	NNS	Hamas
worse	JJR	bad
than	IN	than
Isis	NP	Isis
he's	NNS	he's
right	RB	right
too	RB	too
Hamas	JJ	Hamas
are	VBP	be
the	DT	the
new	JJ	new
Nazis	NPS	Nazis
they're	NN	they're
the	DT	the
new	JJ	new
Isis	NP	Isis
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
fight	VV	fight
them	PP	them
together	RB	together
just	RB	just
as	IN	as
the	DT	the
world	NN	world
the	DT	the
Civilized	JJ	civilized
World	NP	World
United	NP	United
to	TO	to
fight	VV	fight
uh	UH	uh
the	DT	the
Nazis	NPS	Nazis
and	CC	and
United	NP	United
to	TO	to
fight	VV	fight
Hamas	NNS	Hamas
it	PP	it
must	MD	must
together	RB	together
now	RB	now
stand	VV	stand
with	IN	with
Israel	NP	Israel
as	IN	as
we	PP	we
fight	VV	fight
and	CC	and
defeat	VV	defeat
defeat	VV	defeat
Kamas	NP	Kamas
this	DT	this
is	VBZ	be
not	RB	not
merely	RB	merely
our	PP$	our
battle	NN	battle
it's	NNS	it's
the	DT	the
battle	NN	battle
of	IN	of
the	DT	the
entire	JJ	entire
civilized	JJ	civilized
world	NN	world
it's	NNS	it's
the	DT	the
Battle	NN	battle
of	IN	of
uh	UH	uh
Israel	NP	Israel
it's	NNS	it's
the	DT	the
battle	NN	battle
of	IN	of
the	DT	the
moderate	JJ	moderate
Arab	JJ	Arab
countries	NNS	country
it's	NNS	it's
the	DT	the
Battle	NN	battle
of	IN	of
uh	UH	uh
Western	JJ	Western
Civilization	NN	civilization
the	DT	the
battle	NN	battle
of	IN	of
the	DT	the
Free	NP	Free
World	NP	World
the	DT	the
battle	NN	battle
for	IN	for
the	DT	the
future	NN	future
we	PP	we
have	VHP	have
here	RB	here
two	CD	two
forces	NNS	force
one	PP	one
is	VBZ	be
an	DT	an
AIS	NNS	ai
of	IN	of
evil	NN	evil
led	VVN	lead
by	IN	by
Iran	NP	Iran
through	IN	through
balah	NP	balah
Kamas	NP	Kamas
and	CC	and
others	NNS	other
that	WDT	that
want	VVP	want
to	TO	to
bring	VV	bring
back	RB	back
the	DT	the
Middle	NP	Middle
East	NP	East
to	TO	to
the	DT	the
Middle	NP	Middle
Ages	NPS	Ages
to	TO	to
an	DT	an
of	IN	of
bonded	JJ	bonded
bondage	NN	bondage
and	CC	and
War	NN	war
and	CC	and
slavery	NN	slavery
and	CC	and
Annihilation	NN	annihilation
and	CC	and
the	DT	the
other	JJ	other
force	NN	force
is	VBZ	be
the	DT	the
forces	NNS	force
of	IN	of
progress	VV	progress
uh	UH	uh
and	CC	and
Humanity	NN	humanity
that	WDT	that
want	VVP	want
to	TO	to
push	VV	push
the	DT	the
Middle	NP	Middle
East	NP	East
into	IN	into
a	DT	a
world	NN	world
of	IN	of
peace	NN	peace
and	CC	and
prosperity	NN	prosperity
we	PP	we
were	VBD	be
on	IN	on
the	DT	the
cusp	NN	cusp
of	IN	of
expanding	VVG	expand
that	DT	that
peace	NN	peace
and	CC	and
destroying	VVG	destroy
that	DT	that
