<video_id>KFDtYFt7TCo</video_id>	JJ	<video_id>KFDtYFt7TCo</video_id>
<video_title>Frontline	NN	<video_title>Frontline
report:	JJ	report:
US	NP	US
drone	NN	drone
strike	NN	strike
in	IN	in
Baghdad	NP	Baghdad
kills	VVZ	kill
Iran-backed	JJ	Iran-backed
militia	NN	militia
leader	NN	leader
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Frontline	NN	<thumbnail_path>data/en_BBCNews\Frontline
report	NN	report
US	PP	us
drone	VVP	drone
strike	NN	strike
in	IN	in
Baghdad	NP	Baghdad
kills	VVZ	kill
Iran-backed	JJ	Iran-backed
militia	NN	militia
leader	NN	leader
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240207</publish_date>	NN	<publish_date>20240207</publish_date>
<doc>	NN	<doc>
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
tonight	RB	tonight
launched	VVN	launch
a	DT	a
drone	NN	drone
strike	NN	strike
in	IN	in
the	DT	the
Iraqi	JJ	Iraqi
Capital	NP	Capital
Baghdad	NP	Baghdad
killing	VVG	kill
a	DT	a
senior	JJ	senior
leader	NN	leader
of	IN	of
an	DT	an
armed	JJ	armed
pro-iran	NN	pro-iran
group	NN	group
three	CD	three
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
the	DT	the
attack	NN	attack
including	VVG	include
a	DT	a
commander	NN	commander
of	IN	of
the	DT	the
group	NN	group
that	IN/that	that
us	PP	us
officials	NNS	official
say	VVP	say
was	VBD	be
behind	IN	behind
recent	JJ	recent
attacks	NNS	attack
on	IN	on
us	PP	us
bases	VVZ	base
in	IN	in
Iraq	NP	Iraq
and	CC	and
Syria	NP	Syria
in	IN	in
a	DT	a
moment	NN	moment
we'll	NN	we'll
speak	VVP	speak
to	TO	to
our	PP$	our
International	NP	International
editor	NN	editor
Jeremy	NP	Jeremy
Bowen	NP	Bowen
in	IN	in
Israel	NP	Israel
but	CC	but
