right	RB	right
you	PP	you
are	VBP	be
live	JJ	live
with	IN	with
BBC	NP	BBC
News	NP	News
as	IN	as
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
uh	UH	uh
reporting	VVG	report
two	CD	two
further	JJR	further
hostages	NNS	hostage
have	VHP	have
reportedly	RB	reportedly
been	VBN	be
released	VVN	release
this	DT	this
evening	NN	evening
that	RB	that
'	POS	'
s	NNS	s
according	VVG	accord
to	TO	to
Hamas	VV	Hamas
uh	UH	uh
those	DT	those
individuals	NNS	individual
uh	UH	uh
we	PP	we
have	VHP	have
not	RB	not
uh	UH	uh
at	IN	at
the	DT	the
moment	NN	moment
received	VVD	receive
any	DT	any
uh	UH	uh
independent	JJ	independent
verification	NN	verification
on	IN	on
that	WDT	that
but	CC	but
those	DT	those
details	NNS	detail
have	VHP	have
been	VBN	be
coming	VVG	come
through	RP	through
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
90	CD	@card@
minutes	NNS	minute
or	CC	or
so	IN	so
I	PP	I
'	POS	'
m	NN	m
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
talk	VV	talk
now	RB	now
with	IN	with
someone	NN	someone
who	WP	who
has	VHZ	have
extensive	JJ	extensive
experience	NN	experience
in	IN	in
trying	VVG	try
to	TO	to
negotiate	VV	negotiate
for	IN	for
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
from	IN	from
Gaza	NP	Gaza
Albert	NP	Albert
Matan	NP	Matan
he	PP	he
is	VBZ	be
a	DT	a
co	NN	Co
-	NN	-
founder	NN	founder
of	IN	of
the	DT	the
conflict	NN	conflict
mediation	NN	mediation
group	NN	group
forward	RB	forward
thinking	VVG	think
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
coming	VVG	come
on	IN	on
the	DT	the
program	NN	program
thank	VV	thank
you	PP	you
for	IN	for
the	DT	the
invitation	NN	invitation
so	RB	so
since	IN	since
we	PP	we
uh	UH	uh
we	PP	we
invited	VVD	invite
you	PP	you
this	DT	this
developing	VVG	develop
news	NN	news
in	IN	in
the	DT	the
last	JJ	last
90	CD	@card@
minutes	NNS	minute
as	IN	as
I	PP	I
mention	VVP	mention
two	CD	two
more	JJR	more
hostages	NNS	hostage
released	VVD	release
according	VVG	accord
to	TO	to
Hamas	VV	Hamas
we	PP	we
await	VV	await
uh	UH	uh
independent	JJ	independent
verification	NN	verification
of	IN	of
that	DT	that
whilst	IN	whilst
we	PP	we
do	VVP	do
what	WP	what
'	POS	'
s	VVG	s
your	PP$	your
reaction	NN	reaction
to	TO	to
