<video_id>rJoQUFaQGMQ</video_id>	JJ	<video_id>rJoQUFaQGMQ</video_id>
<video_title>Israel:	NN	<video_title>Israel:
Hundreds	NNS	hundred
killed	VVN	kill
in	IN	in
air	NN	air
strike	NN	strike
on	IN	on
Gaza	NP	Gaza
hospital,	NP	hospital,
Palestinian	JJ	Palestinian
officials	NNS	official
say	VVP	say
-	NP	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel	NP	<thumbnail_path>data/en_BBCNews\Israel
Hundreds	NNS	hundred
killed	VVN	kill
in	IN	in
air	NN	air
strike	NN	strike
on	IN	on
Gaza	NP	Gaza
hospital,	NP	hospital,
Palestinian	JJ	Palestinian
officials	NNS	official
say	VVP	say
-	NP	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231017</publish_date>	JJ	<publish_date>20231017</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
return	VVP	return
to	TO	to
those	DT	those
live	JJ	live
pictures	NNS	picture
coming	VVG	come
into	IN	into
us	PP	us
from	IN	from
Gaza	NP	Gaza
following	VVG	follow
reports	NNS	report
of	IN	of
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
hospital	NN	hospital
in	IN	in
central	JJ	central
Gaza	NP	Gaza
these	DT	these
are	VBP	be
pictures	NNS	picture
we	PP	we
understand	VVP	understand
of	IN	of
another	DT	another
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
where	WRB	where
patients	NNS	patient
from	IN	from
that	DT	that
strike	NN	strike
on	IN	on
another	DT	another
hospital	NN	hospital
are	VBP	be
being	VBG	be
brought	VVN	bring
to	TO	to
the	DT	the
health	NN	health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
reporting	VVG	report
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
500	CD	@card@
casualties	NNS	casualty
in	IN	in
that	DT	that
Israeli	JJ	Israeli
air	NN	air
strike	VV	strike
uh	UH	uh
we	PP	we
don't	VVD	don't
have	VH	have
those	DT	those
figures	NNS	figure
verified	VVN	verify
but	CC	but
they	PP	they
are	VBP	be
reporting	VVG	report
that	IN/that	that
300	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
just	RB	just
want	VVP	want
to	TO	to
show	VV	show
you	PP	you
those	DT	those
still	RB	still
images	VVZ	image
as	RB	as
well	RB	well
that	IN/that	that
we've	NN	we've
had	VHD	have
in	IN	in
and	CC	and
this	DT	this
is	VBZ	be
pictures	NNS	picture
that	IN/that	that
we've	NN	we've
had	VHD	have
which	WDT	which
have	VHP	have
been	VBN	be
verified	VVN	verify
of	IN	of
this	DT	this
Hospital	NP	Hospital
the	DT	the
Al	NP	Al
Ali	NP	Ali
Hospital	NP	Hospital
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
following	VVG	follow
that	DT	that
air	NN	air
strike	NN	strike
well	RB	well
let's	JJ	let's
talk	NN	talk
to	TO	to
our	PP$	our
correspondent	NN	correspondent
John	NP	John
Don	NP	Don
and	CC	and
who	WP	who
is	VBZ	be
following	VVG	follow
all	PDT	all
the	DT	the
developments	NNS	development
in	IN	in
Gaza	NP	Gaza
John	NP	John
welcome	VV	welcome
to	TO	to
you	PP	you
little	JJ	little
information	NN	information
coming	VVG	come
into	IN	into
us	PP	us
just	RB	just
bring	VVP	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
on	IN	on
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
about	IN	about
these	DT	these
reports	NNS	report
of	IN	of
a	DT	a
strike	NN	strike
on	IN	on
this	DT	this
Hospital	NP	Hospital
well	RB	well
look	VVP	look
certainly	RB	certainly
at	IN	at
this	DT	this
stage	NN	stage
it	PP	it
looks	VVZ	look
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
deadly	JJ	deadly
attacks	NNS	attack
of	IN	of
this	DT	this
conflict	NN	conflict
so	IN	so
far	JJ	far
it's	NNS	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
get	VV	get
an	DT	an
accurate	JJ	accurate
picture	NN	picture
of	IN	of
the	DT	the
numbers	NNS	number
at	IN	at
this	DT	this
stage	NN	stage
this	DT	this
is	VBZ	be
the	DT	the
uh	UH	uh
Hospital	NN	hospital
run	VVN	run
by	IN	by
the	DT	the
Baptist	JJ	Baptist
Church	NP	Church
it's	NNS	it's
right	RB	right
in	IN	in
the	DT	the
center	NN	center
of	IN	of
uh	UH	uh
Gaza	NP	Gaza
City	NP	City
close	NN	close
to	TO	to
the	DT	the
main	JJ	main
Square	NP	Square
uh	UH	uh
we've	NN	we've
seen	VVN	see
the	DT	the
first	JJ	first
images	NNS	image
coming	VVG	come
in	IN	in
uh	UH	uh
showing	VVG	show
buildings	NNS	building
on	IN	on
fire	NN	fire
and	CC	and
as	IN	as
you	PP	you
say	VVP	say
in	IN	in
terms	NNS	term
of	IN	of
numbers	NNS	number
we've	NN	we've
got	VVD	get
the	DT	the
civil	JJ	civil
defense	NN	defense
Authority	NP	Authority
in	IN	in
Gaza	NP	Gaza
talking	VVG	talk
about	RB	about
300	CD	@card@
people	NNS	people
being	VBG	be
killed	VVN	kill
and	CC	and
the	DT	the
health	NN	health
Ministry	NP	Ministry
saying	VVG	say
500	CD	@card@
but	CC	but
I	PP	I
should	MD	should
say	VV	say
at	IN	at
this	DT	this
stage	VV	stage
uh	UH	uh
it's	NNS	it's
difficult	JJ	difficult
really	RB	really
for	IN	for
anyone	NN	anyone
to	TO	to
know	VV	know
but	CC	but
we're	JJ	we're
getting	VVG	get
images	NNS	image
of	IN	of
the	DT	the
injured	JJ	injured
being	VBG	be
uh	UH	uh
rushed	VVN	rush
to	TO	to
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
other	JJ	other
hospitals	NNS	hospital
I	PP	I
mean	VVP	mean
you	PP	you
have	VHP	have
to	TO	to
remember	VV	remember
that	IN/that	that
at	IN	at
this	DT	this
time	NN	time
there	RB	there
will	MD	will
have	VH	have
been	VBN	be
hundreds	NNS	hundred
if	IN	if
not	RB	not
thousands	NNS	thousand
of	IN	of
people	NNS	people
displaced	VVN	displace
from	IN	from
their	PP$	their
homes	NNS	home
Sheltering	VVG	shelter
in	IN	in
this	DT	this
Hospital	NP	Hospital
uh	UH	uh
thinking	VVG	think
it	PP	it
was	VBD	be
a	DT	a
safe	JJ	safe
place	NN	place
we	PP	we
have	VHP	have
contacted	VVN	contact
the	DT	the
Israeli	JJ	Israeli
Defense	NP	Defense
Force	NP	Force
uh	UH	uh
for	IN	for
comment	NN	comment
but	CC	but
we've	NN	we've
not	RB	not
heard	VVD	hear
back	RB	back
yet	RB	yet
and	CC	and
just	RB	just
give	VV	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
the	DT	the
geography	NN	geography
you	PP	you
said	VVD	say
it's	NNS	it's
in	IN	in
central	JJ	central
Gaza	NP	Gaza
and	CC	and
you	PP	you
described	VVD	describe
it	PP	it
as	IN	as
being	VBG	be
run	VVN	run
by	IN	by
the	DT	the
Baptist	JJ	Baptist
Church	NN	church
so	IN	so
this	DT	this
would	MD	would
have	VH	have
been	VBN	be
very	RB	very
well	RB	well
known	VVN	know
um	NNS	um
a	DT	a
location	NN	location
as	IN	as
a	DT	a
hospital	NN	hospital
yeah	RB	yeah
absolutely	RB	absolutely
certainly	RB	certainly
everyone	NN	everyone
in	IN	in
Gaza	NP	Gaza
would	MD	would
have	VH	have
known	VVN	know
uh	UH	uh
where	WRB	where
it	PP	it
was	VBD	be
it's	NN	it's
actually	RB	actually
not	RB	not
that	IN/that	that
far	RB	far
from	IN	from
the	DT	the
BBC	NP	BBC
office	NN	office
in	IN	in
Gaza	NP	Gaza
I've	NP	I've
walk	VVP	walk
past	IN	past
it	PP	it
at	IN	at
many	JJ	many
times	NNS	time
when	WRB	when
I	PP	I
was	VBD	be
working	VVG	work
there	RB	there
uh	UH	uh
and	CC	and
it's	JJ	it's
uh	UH	uh
you	PP	you
know	VVP	know
there's	RB	there's
not	RB	not
a	DT	a
large	JJ	large
Christian	JJ	Christian
population	NN	population
in	IN	in
Gaza	NP	Gaza
but	CC	but
this	DT	this
was	VBD	be
run	NN	run
by	IN	by
uh	UH	uh
the	DT	the
Baptist	JJ	Baptist
Church	NN	church
so	IN	so
every	DT	every
hospital	NN	hospital
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
place	NN	place
where	WRB	where
they're	NN	they're
treating	VVG	treat
thousands	NNS	thousand
of	IN	of
casualties	NNS	casualty
it's	NNS	it's
also	RB	also
a	DT	a
place	NN	place
where	WRB	where
people	NNS	people
are	VBP	be
seeking	VVG	seek
shelter	NN	shelter
we've	NN	we've
seen	VVN	see
the	DT	the
pictures	NNS	picture
from	IN	from
shifa	NN	shifa
hospital	NN	hospital
also	RB	also
in	IN	in
Gaza	NP	Gaza
City	NP	City
where	WRB	where
you	PP	you
got	VVD	get
thousands	NNS	thousand
of	IN	of
people	NNS	people
camped	VVD	camp
out	RP	out
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
in	IN	in
the	DT	the
hospital	NN	hospital
grounds	NNS	ground
and	CC	and
we	PP	we
think	VVP	think
it	PP	it
will	MD	will
have	VH	have
been	VBN	be
the	DT	the
same	JJ	same
there	RB	there
yeah	RB	yeah
and	CC	and
just	RB	just
looking	VVG	look
uh	UH	uh
for	IN	for
any	DT	any
kind	NN	kind
of	IN	of
reaction	NN	reaction
from	IN	from
Israel	NP	Israel
and	CC	and
as	IN	as
you	PP	you
mentioned	VVD	mention
no	DT	no
response	NN	response
as	RB	as
yet	RB	yet
do	VVP	do
you	PP	you
think	VVP	think
we	PP	we
can	MD	can
expect	VV	expect
one	PP	one
fairly	RB	fairly
soon	RB	soon
well	RB	well
they're	NN	they're
going	VVG	go
to	TO	to
be	VB	be
being	VBG	be
asked	VVN	ask
uh	UH	uh
what	WP	what
happened	VVD	happen
uh	UH	uh
was	VBD	be
this	DT	this
a	DT	a
mistake	NN	mistake
were	VBD	be
they	PP	they
targeting	VVG	target
someone	NN	someone
or	CC	or
something	NN	something
specific	JJ	specific
uh	UH	uh
in	IN	in
that	DT	that
hospital	NN	hospital
or	CC	or
below	IN	below
that	WDT	that
hospital	NN	hospital
uh	UH	uh
they're	NN	they're
going	VVG	go
to	TO	to
be	VB	be
at	IN	at
being	VBG	be
asked	VVN	ask
because	IN	because
of	IN	of
course	NN	course
