<video_id>_YWxrsqc8JA</video_id>	NP	<video_id>_YWxrsqc8JA</video_id>
<video_title>Israel	NP	<video_title>Israel
evacuating	VVG	evacuate
communities	NNS	community
along	IN	along
Lebanon	NP	Lebanon
border	NN	border
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel	NP	<thumbnail_path>data/en_BBCNews\Israel
evacuating	VVG	evacuate
communities	NNS	community
along	IN	along
Lebanon	NP	Lebanon
border	NN	border
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231016</publish_date>	NN	<publish_date>20231016</publish_date>
<doc>	NN	<doc>
go	VVP	go
live	VV	live
now	RB	now
to	TO	to
Southern	NP	Southern
Lebanon	NP	Lebanon
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
Hugo	NP	Hugo
Bea	NP	Bea
is	VBZ	be
there	RB	there
for	IN	for
us	PP	us
and	CC	and
Hugo	NP	Hugo
welcome	VVP	welcome
to	TO	to
you	PP	you
the	DT	the
situation	NN	situation
there	EX	there
is	VBZ	be
also	RB	also
one	CD	one
that	WDT	that
the	DT	the
world	NN	world
is	VBZ	be
keeping	VVG	keep
its	PP$	its
eye	NN	eye
on	IN	on
because	IN	because
there	EX	there
have	VHP	have
been	VBN	be
those	DT	those
rocket	NN	rocket
attacks	NNS	attack
haven't	VVD	haven't
there	RB	there
from	IN	from
your	PP$	your
location	NN	location
into	IN	into
Israel	NP	Israel
Hugo	NP	Hugo
so	RB	so
tell	VVP	tell
us	PP	us
what's	NNS	what's
happening	VVG	happen
there	RB	there
yes	RB	yes
samanth	NN	samanth
and	CC	and
this	DT	this
morning	NN	morning
we	PP	we
had	VHD	have
an	DT	an
announcement	NN	announcement
from	IN	from
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
saying	VVG	say
that	IN/that	that
they	PP	they
would	MD	would
be	VB	be
evacuating	VVG	evacuate
villages	NNS	village
in	IN	in
Northern	NP	Northern
Israel	NP	Israel
uh	UH	uh
next	JJ	next
to	TO	to
the	DT	the
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
28	CD	@card@
uh	UH	uh
communities	NNS	community
to	TO	to
be	VB	be
evacuated	VVN	evacuate
we	PP	we
don't	VVD	don't
know	VV	know
whether	IN	whether
this	DT	this
is	VBZ	be
a	DT	a
mandatory	JJ	mandatory
or	CC	or
a	DT	a
voluntary	JJ	voluntary
uh	UH	uh
evacuation	NN	evacuation
but	CC	but
the	DT	the
reality	NN	reality
is	VBZ	be
that	IN/that	that
most	JJS	most
of	IN	of
the	DT	the
residents	NNS	resident
have	VHP	have
uh	UH	uh
already	RB	already
left	VVN	leave
in	IN	in
some	DT	some
of	IN	of
those	DT	those
communities	NNS	community
my	PP$	my
colleague	NN	colleague
uh	UH	uh
Anna	NP	Anna
Foster	NP	Foster
has	VHZ	have
been	VBN	be
to	TO	to
some	DT	some
of	IN	of
those	DT	those
communities	NNS	community
in	IN	in
recent	JJ	recent
days	NNS	day
and	CC	and
she	PP	she
said	VVD	say
that	IN/that	that
most	JJS	most
people	NNS	people
have	VHP	have
left	VVN	leave
because	IN	because
of	IN	of
the	DT	the
violence	NN	violence
that's	NN	that's
been	VBN	be
happening	VVG	happen
that	IN/that	that
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
country	NN	country
and	CC	and
um	JJ	um
one	CD	one
of	IN	of
those	DT	those
communities	NNS	community
is	VBZ	be
the	DT	the
community	NN	community
of	IN	of
Shula	NP	Shula
where	WRB	where
yesterday	RB	yesterday
A	DT	a
man	NN	man
was	VBD	be
killed	VVN	kill
the	DT	the
first	JJ	first
Israeli	JJ	Israeli
civilian	NN	civilian
to	TO	to
die	VV	die
as	IN	as
a	DT	a
result	NN	result
of	IN	of
an	DT	an
attack	NN	attack
carried	VVD	carry
out	RP	out
by	IN	by
Hezbollah	NP	Hezbollah
here	RB	here
in	IN	in
southern	JJ	southern
Lebanon	NP	Lebanon
and	CC	and
uh	UH	uh
this	DT	this
announcement	NN	announcement
came	VVD	come
a	DT	a
day	NN	day
of	IN	of
of	IN	of
intense	JJ	intense
exchange	NN	exchange
of	IN	of
fire	NN	fire
between	IN	between
militants	NNS	militant
here	RB	here
in	IN	in
Lebanon	NP	Lebanon
Hezbollah	NP	Hezbollah
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	NN	military
and	CC	and
I	PP	I
think	VV	think
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
minutes	NNS	minute
we	PP	we
had	VHD	have
some	DT	some
reaction	NN	reaction
from	IN	from
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	NN	military
saying	VVG	say
that	IN/that	that
those	DT	those
attacks	NNS	attack
yesterday	NN	yesterday
attacks	NNS	attack
that	WDT	that
were	VBD	be
uh	UH	uh
carried	VVN	carry
out	RP	out
by	IN	by
Hezbollah	NP	Hezbollah
happened	VVD	happen
uh	UH	uh
after	IN	after
Iran	NP	Iran
gave	VVD	give
orders	VVZ	order
uh	UH	uh
to	TO	to
the	DT	the
group	NN	group
to	TO	to
carry	VV	carry
out	RP	out
these	DT	these
attacks	NNS	attack
so	IN	so
this	DT	this
is	VBZ	be
reaction	NN	reaction
from	IN	from
the	DT	the
uh	UH	uh
Israeli	NP	Israeli
Army	NP	Army
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	NN	military
again	RB	again
showing	VVG	show
how	WRB	how
tense	JJ	tense
the	DT	the
situation	NN	situation
uh	UH	uh
is	VBZ	be
along	IN	along
the	DT	the
uh	UH	uh
Lebanese	JJ	Lebanese
Israeli	JJ	Israeli
border	NN	border
and	CC	and
obviously	RB	obviously
hasbalah	NN	hasbalah
is	VBZ	be
supported	VVN	support
by	IN	by
Iran	NP	Iran
