welcome	VV	welcome
back	RB	back
to	TO	to
BBC	NP	BBC
News	NP	News
well	RB	well
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
minutes	NNS	minute
the	DT	the
un	NN	un
'	POS	'
s	NN	S
top	JJ	top
Court	NP	Court
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
has	VHZ	have
delivered	VVN	deliver
an	DT	an
advisory	JJ	advisory
opinion	NN	opinion
outlining	VVG	outline
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	JJ	s
settlement	NN	settlement
of	IN	of
Palestinian	JJ	Palestinian
territories	NNS	territory
are	VBP	be
in	IN	in
breach	NN	breach
of	IN	of
international	JJ	international
law	NN	law
now	RB	now
it	PP	it
had	VHD	have
been	VBN	be
examining	VVG	examine
the	DT	the
issue	NN	issue
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
last	JJ	last
year	NN	year
uh	UH	uh
I	PP	I
think	VVP	think
we	PP	we
can	MD	can
take	VV	take
a	DT	a
quick	JJ	quick
listen	NN	listen
now	RB	now
to	TO	to
that	DT	that
opinion	NN	opinion
being	VBG	be
given	VVN	give
live	VVP	live
the	DT	the
court	NN	court
considers	VVZ	consider
it	PP	it
important	JJ	important
to	TO	to
stress	VV	stress
as	IN	as
it	PP	it
did	VVD	do
in	IN	in
its	PP$	its
wall	NN	wall
advisor	NN	advisor
opinion	NN	opinion
I	PP	I
quote	VVP	quote
the	DT	the
Urgent	JJ	urgent
necessity	NN	necessity
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
as	IN	as
a	DT	a
whole	NN	whole
to	TO	to
redouble	VV	redouble
its	PP$	its
efforts	NNS	effort
to	TO	to
bring	VV	bring
the	DT	the
Israeli	JJ	Israeli
Palestinian	JJ	Palestinian
conflict	NN	conflict
which	WDT	which
continues	VVZ	continue
court	NN	court
giving	VVG	give
its	PP$	its
opinion	NN	opinion
live	VV	live
there	RB	there
in	IN	in
the	DT	the
heg	NN	heg
I	PP	I
want	VVP	want
to	TO	to
leave	VV	leave
that	IN/that	that
momentarily	RB	momentarily
and	CC	and
just	RB	just
bring	VV	bring
in	IN	in
our	PP$	our
security	NN	security
correspondent	NN	correspondent
Frank	NP	Frank
Gardner	NP	Gardner
uh	UH	uh
into	IN	into
this	DT	this
and	CC	and
Frank	NP	Frank
just	RB	just
explain	VV	explain
to	TO	to
viewers	NNS	viewer
at	IN	at
home	NN	home
what	WP	what
exactly	RB	exactly
the	DT	the
court	NN	court
has	VHZ	have
been	VBN	be
looking	VVG	look
into	IN	into
CU	NP	CU
important	JJ	important
to	TO	to
underline	VV	underline
that	IN/that	that
this	DT	this
has	VHZ	have
been	VBN	be
going	VVG	go
on	RP	on
since	IN	since
before	IN	before
the	DT	the
October	NP	October
7th	JJ	7th
uh	UH	uh
attacks	NNS	attack
by	IN	by
ham	NN	ham
and	CC	and
the	DT	the
start	NN	start
of	IN	of
the	DT	the
Gaza	NP	Gaza
War	NP	War
that	WDT	that
'	POS	'
s	JJ	s
right	NN	right
so	IN	so
this	DT	this
this	NN	this
this	DT	this
is	VBZ	be
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
not	RB	not
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
it	PP	it
'	POS	'
s	NN	S
issuing	VVG	issue
a	DT	a
um	NN	um
an	DT	an
advisory	JJ	advisory
it	PP	it
'	''	'
s	NNS	s
not	RB	not
legally	RB	legally
binding	JJ	binding
but	CC	but
it	PP	it
will	MD	will
be	VB	be
seen	VVN	see
as	IN	as
a	DT	a
basis	NN	basis
for	IN	for
international	JJ	international
law	NN	law
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
looking	VVG	look
at	IN	at
it	PP	it
'	POS	'
s	NN	S
examining	VVG	examine
the	DT	the
legality	NN	legality
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
occupation	NN	occupation
of	IN	of
Palestinian	JJ	Palestinian
territor	NN	territor
since	IN	since
1967	CD	@card@
particularly	RB	particularly
focusing	VVG	focus
on	IN	on
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
East	NP	East
Jerusalem	NP	Jerusalem
and	CC	and
settlements	NNS	settlement
therein	RB	therein
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
pretty	JJ	pretty
damning	VVG	damn
verdict	NN	verdict
on	IN	on
Israel	NP	Israel
'	POS	'
s	NN	S
actions	NNS	action
and	CC	and
policies	NNS	policy
there	RB	there
I	NP	I
'	POS	'
m	NN	m
just	RB	just
going	VVG	go
to	TO	to
because	IN	because
this	DT	this
is	VBZ	be
incredibly	RB	incredibly
legales	NNS	legales
and	CC	and
as	RB	as
you	PP	you
can	MD	can
imagine	VV	imagine
there	EX	there
was	VBD	be
a	DT	a
big	JJ	big
Preamble	NN	preamble
as	IN	as
to	TO	to
what	WP	what
the	DT	the
framework	NN	framework
of	IN	of
their	PP$	their
observ	VVG	observ
their	PP$	their
work	NN	work
has	VHZ	have
been	VBN	be
this	DT	this
is	VBZ	be
delivered	VVN	deliver
by	IN	by
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
15	CD	@card@
judges	NNS	judge
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
examining	VVG	examine
this	DT	this
since	IN	since
2022	CD	@card@
they	PP	they
took	VVD	take
evidence	NN	evidence
throughout	IN	throughout
February	NP	February
from	IN	from
around	RB	around
50	CD	@card@
countries	NNS	country
and	CC	and
their	PP$	their
conclusions	NNS	conclusion
in	IN	in
brief	NN	brief
are	VBP	be
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	NN	S
policies	NNS	policy
and	CC	and
practices	NNS	practice
are	VBP	be
in	IN	in
breach	NN	breach
of	IN	of
international	JJ	international
law	NN	law
the	DT	the
continued	JJ	continued
presence	NN	presence
of	IN	of
Israel	NP	Israel
in	IN	in
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
is	VBZ	be
illegal	JJ	illegal
and	CC	and
they	PP	they
call	VVP	call
on	IN	on
Israel	NP	Israel
to	TO	to
cease	VV	cease
all	DT	all
new	JJ	new
settlement	NN	settlement
activity	NN	activity
it	PP	it
particularly	RB	particularly
focuses	VVZ	focus
on	IN	on
the	DT	the
settlements	NNS	settlement
and	CC	and
the	DT	the
treatment	NN	treatment
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
those	DT	those
territories	NNS	territory
now	IN	now
Israel	NP	Israel
I	PP	I
think	VVP	think
will	MD	will
um	RB	um
they	PP	they
'	POS	'
re	NN	re
unlikely	JJ	unlikely
to	TO	to
accept	VV	accept
this	DT	this
in	IN	in
the	DT	the
past	NN	past
that	IN/that	that
they	PP	they
have	VHP	have
not	RB	not
accepted	VVN	accept
the	DT	the
legality	NN	legality
of	IN	of
uh	UH	uh
rulings	NNS	ruling
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
their	PP$	their
occupation	NN	occupation
and	CC	and
Palestinian	JJ	Palestinian
territories	NNS	territory
but	CC	but
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
hostile	JJ	hostile
verdict	NN	verdict
for	IN	for
Israel	NP	Israel
this	DT	this
okay	JJ	okay
Frank	NP	Frank
well	NN	well
we	PP	we
have	VHP	have
to	TO	to
leave	VV	leave
it	PP	it
there	IN	here
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
but	CC	but
Frank	NP	Frank
Gardner	NP	Gardner
thanks	NNS	thanks
for	IN	for
that	DT	that
uh	UH	uh
giving	VVG	give
that	DT	that
context	NN	context
on	IN	on
that	DT	that
icj	NN	icj
ruling	NN	ruling
thank	VVP	thank
you	PP	you
now	RB	now
a	DT	a
Russian	JJ	Russian
court	NN	court
has	VHZ	have
