<video_id>o6NtiY0Zg7U</video_id>	JJ	<video_id>o6NtiY0Zg7U</video_id>
<video_title>Hamas	NN	<video_title>Hamas
accepts	VVZ	accept
terms	NNS	term
of	IN	of
Gaza	NP	Gaza
ceasefire	NN	ceasefire
deal	NN	deal
as	IN	as
Israel	NP	Israel
readies	VVZ	ready
Rafah	NP	Rafah
operation	NN	operation
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Hamas	NN	<thumbnail_path>data/en_BBCNews\Hamas
accepts	VVZ	accept
terms	NNS	term
of	IN	of
Gaza	NP	Gaza
ceasefire	NN	ceasefire
deal	NN	deal
as	IN	as
Israel	NP	Israel
readies	VVZ	ready
Rafah	NP	Rafah
operation	NN	operation
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240506</publish_date>	JJ	<publish_date>20240506</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
start	VVP	start
with	IN	with
that	DT	that
breaking	VVG	break
news	NN	news
this	DT	this
hour	NN	hour
very	RB	very
important	JJ	important
breaking	VVG	break
news	NN	news
because	IN	because
an	DT	an
official	JJ	official
Hamas	NN	Hamas
Source	NN	source
has	VHZ	have
told	VVN	tell
the	DT	the
BBC	NP	BBC
that	IN/that	that
it	PP	it
does	VVZ	do
accept	VV	accept
a	DT	a
proposal	NN	proposal
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
in	IN	in
Gaza	NP	Gaza
now	RB	now
Israel	NP	Israel
has	VHZ	have
yet	RB	yet
to	TO	to
comment	VV	comment
on	IN	on
that	DT	that
we'll	NN	we'll
bring	VV	bring
you	PP	you
more	JJR	more
details	NNS	detail
on	IN	on
it	PP	it
as	RB	as
soon	RB	soon
as	IN	as
we	PP	we
get	VVP	get
them	PP	them
meanwhile	RB	meanwhile
Palestinian	JJ	Palestinian
civilians	NNS	civilian
have	VHP	have
started	VVN	start
leaving	VVG	leave
parts	NNS	part
of	IN	of
Eastern	NP	Eastern
Rafa	NP	Rafa
in	IN	in
Gaza	NP	Gaza
after	IN	after
Israel	NP	Israel
told	VVD	tell
a	DT	a
100,000	CD	@card@
people	NNS	people
there	RB	there
to	TO	to
leave	VV	leave
the	DT	the
area	NN	area
officials	NNS	official
in	IN	in
Gaza	NP	Gaza
say	VVP	say
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
have	VHP	have
targeted	VVN	target
parts	NNS	part
of	IN	of
Rafa	NP	Rafa
just	RB	just
hours	NNS	hour
after	IN	after
that	DT	that
evacuation	NN	evacuation
order	NN	order
was	VBD	be
issued	VVN	issue
pictures	NNS	picture
we've	NN	we've
received	VVD	receive
show	NN	show
Thick	JJ	thick
Smoke	NP	Smoke
Rising	VVG	rise
as	IN	as
displaced	VVN	displace
Palestinians	NNS	Palestinian
try	VVP	try
to	TO	to
flee	VV	flee
Eastern	NP	Eastern
Rafa	NP	Rafa
now	RB	now
those	DT	those
Palestinian	JJ	Palestinian
civilians	NNS	civilian
closest	JJS	close
to	TO	to
the	DT	the
Israeli	JJ	Israeli
border	NN	border
are	VBP	be
being	VBG	be
urged	VVN	urge
to	TO	to
move	VV	move
to	TO	to
what	WP	what
the	DT	the
Israeli	JJ	Israeli
military	NN	military
the	DT	the
IDF	NP	IDF
calls	NNS	call
expanded	VVD	expand
humanitarian	JJ	humanitarian
zones	NNS	zone
in	IN	in
the	DT	the
almasi	NN	almasi
and	CC	and
cunis	NN	cunis
area	NN	area
is	VBZ	be
let's	NNS	let's
just	RB	just
go	VVP	go
back	RB	back
to	TO	to
those	DT	those
live	JJ	live
pictures	NNS	picture
of	IN	of
people	NNS	people
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
actually	RB	actually
getting	VVG	get
that	DT	that
news	NN	news
that	IN/that	that
there	EX	there
looks	VVZ	look
like	IN	like
Hamas	JJ	Hamas
well	NN	well
Hamas	NNS	Hamas
have	VHP	have
confirmed	VVN	confirm
that	IN/that	that
they	PP	they
have	VHP	have
accepted	VVN	accept
the	DT	the
ceasefire	NN	ceasefire
proposals	NNS	proposal
as	IN	as
we	PP	we
say	VVP	say
no	DT	no
confirmation	NN	confirmation
yet	RB	yet
of	IN	of
that	DT	that
from	IN	from
Israel	NP	Israel
so	IN	so
let's	NNS	let's
go	VVP	go
straight	RB	straight
to	TO	to
our	PP$	our
security	NN	security
correspondent	NN	correspondent
Frank	NP	Frank
Gardner	NP	Gardner
who's	NNS	who's
in	IN	in
Jerusalem	NP	Jerusalem
for	IN	for
us	PP	us
um	VVD	um
well	RB	well
Frank	NP	Frank
Hamas	VVD	Hamas
uh	UH	uh
saying	VVG	say
that	IN/that	that
they	PP	they
have	VHP	have
accepted	VVN	accept
these	DT	these
ceasefire	NN	ceasefire
proposals	NNS	proposal
we	PP	we
don't	VVD	don't
know	VV	know
what	WP	what
Israel	NP	Israel
thinks	VVZ	think
about	IN	about
this	DT	this
yet	RB	yet
but	CC	but
what	WP	what
would	MD	would
that	RB	that
mean	VV	mean
potentially	RB	potentially
two	CD	two
crucial	JJ	crucial
things	NNS	thing
here	RB	here
Ben	NP	Ben
one	CD	one
are	VBP	be
those	DT	those
proposals	NNS	proposal
the	DT	the
same	JJ	same
ones	NNS	one
that	IN/that	that
Israel	NP	Israel
essentially	RB	essentially
agreed	VVD	agree
to	TO	to
the	DT	the
ones	NNS	one
that	WDT	that
were	VBD	be
on	IN	on
the	DT	the
table	NN	table
during	IN	during
the	DT	the
weekend	NN	weekend
at	IN	at
the	DT	the
Ciro	NP	Ciro
talks	NNS	talk
which	WDT	which
were	VBD	be
a	DT	a
40-day	JJ	40-day
pause	NN	pause
in	IN	in
the	DT	the
fighting	VVG	fight
a	DT	a
return	NN	return
of	IN	of
Palestinians	NPS	Palestinians
to	TO	to
Northern	NP	Northern
Gaza	NP	Gaza
to	TO	to
their	PP$	their
homes	NNS	home
and	CC	and
an	DT	an
exchange	NN	exchange
of	IN	of
roughly	RB	roughly
33	CD	@card@
is	VBZ	be
ready	JJ	ready
hostages	NNS	hostage
out	IN	out
of	IN	of
captivity	NN	captivity
in	IN	in
Gaza	NP	Gaza
in	IN	in
return	NN	return
for	IN	for
an	DT	an
undisclosed	JJ	undisclosed
number	NN	number
of	IN	of
Palestinians	NPS	Palestinians
out	IN	out
of	IN	of
Israeli	NP	Israeli
jails	VVZ	jail
those	DT	those
were	VBD	be
broadly	RB	broadly
the	DT	the
terms	NNS	term
that	WDT	that
we	PP	we
think	VVP	think
were	VBD	be
on	IN	on
the	DT	the
table	NN	table
do	VVP	do
we	PP	we
know	VVP	know
if	IN	if
this	DT	this
deal	NN	deal
that	WDT	that
has	VHZ	have
been	VBN	be
accepted	VVN	accept
by	IN	by
Hamas	NP	Hamas
is	VBZ	be
the	DT	the
same	JJ	same
one	CD	one
is	VBZ	be
it	PP	it
the	DT	the
same	JJ	same
terms	NNS	term
we	PP	we
don't	VVD	don't
know	VV	know
yet	RB	yet
second	JJ	second
thing	NN	thing
is	VBZ	be
is	VBZ	be
Israel	NP	Israel
going	VVG	go
to	TO	to
sign	VV	sign
up	RP	up
on	IN	on
this	DT	this
is	VBZ	be
it	PP	it
going	VVG	go
to	TO	to
sign	VV	sign
up	RP	up
to	TO	to
it	PP	it
because	IN	because
if	IN	if
