<video_id>0-ek-OpX5hc</video_id>	JJ	<video_id>0-ek-OpX5hc</video_id>
<video_title>Israeli	NN	<video_title>Israeli
hostage	NN	hostage
released	VVN	release
by	IN	by
Hamas	NP	Hamas
speaks	VVZ	speak
to	TO	to
media	NNS	medium
from	IN	from
hospital	NN	hospital
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israeli	NP	<thumbnail_path>data/en_BBCNews\Israeli
hostage	NN	hostage
released	VVN	release
by	IN	by
Hamas	NP	Hamas
speaks	VVZ	speak
to	TO	to
media	NNS	medium
from	IN	from
hospital	NN	hospital
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231024</publish_date>	NN	<publish_date>20231024</publish_date>
<doc>	NN	<doc>
well	RB	well
just	RB	just
a	DT	a
few	JJ	few
moments	NNS	moment
ago	RB	ago
we	PP	we
heard	VVD	hear
from	IN	from
an	DT	an
elderly	JJ	elderly
Israeli	JJ	Israeli
woman	NN	woman
released	VVN	release
overnight	RB	overnight
from	IN	from
captivity	NN	captivity
in	IN	in
Gaza	NP	Gaza
by	IN	by
Hamas	NP	Hamas
that's	NNS	that's
16	CD	@card@
days	NNS	day
after	IN	after
having	VHG	have
been	VBN	be
abducted	VVN	abduct
from	IN	from
her	PP$	her
home	NN	home
in	IN	in
a	DT	a
kibutz	NN	kibutz
in	IN	in
southern	JJ	southern
Israel	NP	Israel
close	NN	close
to	TO	to
the	DT	the
border	NN	border
with	IN	with
Gaza	NP	Gaza
yed	NN	yed
liit	NN	liit
says	VVZ	say
that	IN/that	that
a	DT	a
doctor	NN	doctor
attended	VVD	attend
to	TO	to
her	PP	her
during	IN	during
her	PP$	her
time	NN	time
in	IN	in
captivity	NN	captivity
she	PP	she
said	VVD	say
the	DT	the
hostages	NNS	hostage
that	IN/that	that
she	PP	she
was	VBD	be
with	IN	with
were	VBD	be
given	VVN	give
medicine	NN	medicine
and	CC	and
she	PP	she
was	VBD	be
she	PP	she
said	VVD	say
that	IN/that	that
after	IN	after
her	PP$	her
capture	NN	capture
once	RB	once
inside	IN	inside
Gaza	NP	Gaza
she	PP	she
was	VBD	be
taken	VVN	take
into	IN	into
a	DT	a
network	NN	network
of	IN	of
tunnels	NNS	tunnel
underneath	IN	underneath
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
she	PP	she
described	VVD	describe
them	PP	them
as	IN	as
looking	VVG	look
like	IN	like
a	DT	a
spider	NN	spider
web	VV	web
her	PP$	her
daughter	NN	daughter
helped	VVD	help
her	PP	her
translate	VVP	translate
her	PP	her
account	VVP	account
my	PP$	my
mom	NN	mom
is	VBZ	be
telling	VVG	tell
the	DT	the
horrific	JJ	horrific
stories	NNS	story
she's	NNS	she's
saying	VVG	say
that	IN/that	that
many	JJ	many
many	JJ	many
people	NNS	people
a	DT	a
swarm	NN	swarm
of	IN	of
people	NNS	people
came	VVD	come
through	IN	through
the	DT	the
fence	NN	fence
the	DT	the
defense	NN	defense
cost	NN	cost
2	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
shekels	NNS	shekel
and	CC	and
it	PP	it
didn't	VVD	didn't
help	VV	help
even	RB	even
a	DT	a
little	JJ	little
bit	NN	bit
my	PP$	my
mom	NN	mom
is	VBZ	be
saying	VVG	say
that	IN/that	that
she	PP	she
was	VBD	be
taken	VVN	take
on	IN	on
a	DT	a
back	NN	back
of	IN	of
of	IN	of
a	DT	a
motorbik	NN	motorbik
with	IN	with
her	PP	her
body	VV	body
uh	UH	uh
with	IN	with
her	PP$	her
legs	NNS	leg
on	IN	on
one	CD	one
side	NN	side
and	CC	and
her	PP$	her
head	NN	head
on	IN	on
another	DT	another
side	NN	side
that	IN/that	that
she	PP	she
was	VBD	be
taken	VVN	take
through	IN	through
the	DT	the
plowed	VVN	plow
Fields	NP	Fields
with	IN	with
a	DT	a
man	NN	man
in	IN	in
front	NN	front
on	IN	on
one	CD	one
side	NN	side
and	CC	and
a	DT	a
man	NN	man
behind	IN	behind
her	PP$	her
and	CC	and
that	IN/that	that
while	IN	while
she	PP	she
was	VBD	be
do	VV	do
being	VBG	be
taken	VVN	take
she	PP	she
was	VBD	be
hit	VVN	hit
by	IN	by
a	DT	a
sticks	NNS	stick
by	IN	by
shabab	NN	shabab
shabab	NN	shabab
yeah	RB	yeah
shabab	JJ	shabab
PE	NN	pe
people	NNS	people
until	IN	until
they	PP	they
reach	VVP	reach
the	DT	the
tunnel	NN	tunnel
there	RB	there
there	RB	there
they	PP	they
walked	VVD	walk
for	IN	for
a	DT	a
few	JJ	few
kilometers	NNS	kilometer
on	IN	on
the	DT	the
wet	JJ	wet
ground	NN	ground
there	EX	there
are	VBP	be
a	DT	a
huge	JJ	huge
um	JJ	um
huge	JJ	huge
um	NN	um
network	NN	network
of	IN	of
tunnels	NNS	tunnel
underneath	IN	underneath
it	PP	it
looks	VVZ	look
like	IN	like
a	DT	a
spider	NN	spider
web	NN	web
y	NN	y
lifet	NN	lifet
also	RB	also
also	RB	also
spoke	VVD	speak
about	RB	about
