[	SYM	[
Music	NP	Music
]	SYM	]
well	RB	well
we	PP	we
'	POS	'
re	NN	re
about	RB	about
to	TO	to
enter	VV	enter
one	CD	one
of	IN	of
the	DT	the
tunnels	NNS	tunnel
that	WDT	that
was	VBD	be
discovered	VVN	discover
by	IN	by
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
standing	NN	standing
now	RB	now
used	VVN	use
to	TO	to
be	VB	be
a	DT	a
potato	NN	potato
field	NN	field
the	DT	the
tunnel	NN	tunnel
was	VBD	be
completely	RB	completely
concealed	VVN	conceal
we	PP	we
'	POS	'
re	NN	re
at	IN	at
a	DT	a
depth	NN	depth
of	IN	of
about	RB	about
15	CD	@card@
to	TO	to
20	CD	@card@
M	NN	M
that	RB	that
'	POS	'
s	NN	S
about	IN	about
50	CD	@card@
to	TO	to
65	CD	@card@
ft	NNS	ft
now	RB	now
this	DT	this
particular	JJ	particular
tunnel	NN	tunnel
we	PP	we
'	POS	'
re	NN	re
told	VVD	tell
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
professional	JJ	professional
that	IN/that	that
they	PP	they
have	VHP	have
found	VVN	find
it	PP	it
was	VBD	be
built	VVN	build
over	IN	over
the	DT	the
course	NN	course
of	IN	of
several	JJ	several
years	NNS	year
and	CC	and
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
reinforced	VVN	reinforce
concrete	NN	concrete
was	VBD	be
used	VVN	use
several	JJ	several
tons	NNS	ton
were	VBD	be
to	TO	to
and	CC	and
the	DT	the
entrance	NN	entrance
here	RB	here
is	VBZ	be
very	RB	very
narrow	JJ	narrow
and	CC	and
very	RB	very
small	JJ	small
so	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
crouch	VV	crouch
down	RP	down
to	TO	to
get	VV	get
inside	RB	inside
well	RB	well
I	NP	I
'	POS	'
ve	NN	ve
got	VVD	get
to	TO	to
bend	VV	bend
double	RB	double
now	RB	now
to	TO	to
to	TO	to
get	VV	get
in	IN	in
here	RB	here
you	PP	you
can	MD	can
see	VV	see
the	DT	the
roof	NN	roof
is	VBZ	be
very	RB	very
much	RB	much
reinforced	VVN	reinforce
and	CC	and
very	RB	very
smooth	VV	smooth
the	DT	the
Army	NP	Army
says	VVZ	say
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
done	VVN	do
to	TO	to
get	VV	get
this	DT	this
tunnel	NN	tunnel
into	IN	into
operation	NN	operation
along	IN	along
the	DT	the
sides	NNS	side
you	PP	you
can	MD	can
see	VV	see
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
has	VHZ	have
gone	VVN	go
in	IN	in
there	EX	there
'	''	'
s	JJ	s
wiring	NN	wiring
there	EX	there
was	VBD	be
electricity	NN	electricity
in	IN	in
here	RB	here
and	CC	and
there	EX	there
'	''	'
s	VVG	s
a	DT	a
floor	NN	floor
there	RB	there
'	POS	'
s	NNS	s
a	DT	a
roof	NN	roof
it	PP	it
'	POS	'
s	NN	S
not	RB	not
quite	RB	quite
tall	JJ	tall
enough	RB	enough
for	IN	for
somebody	NN	somebody
to	TO	to
stand	VV	stand
comfortably	RB	comfortably
but	CC	but
the	DT	the
Army	NP	Army
believes	VVZ	believe
it	PP	it
was	VBD	be
big	JJ	big
enough	RB	enough
to	TO	to
allow	VV	allow
several	JJ	several
militants	NNS	militant
to	TO	to
pass	VV	pass
through	IN	through
here	RB	here
and	CC	and
they	PP	they
say	VVP	say
that	IN/that	that
that	DT	that
was	VBD	be
the	DT	the
aim	NN	aim
at	IN	at
the	DT	the
nearest	JJS	near
kibuts	NNS	kibuts
the	DT	the
nearest	JJS	near
Israeli	JJ	Israeli
Community	NN	community
is	VBZ	be
only	RB	only
a	DT	a
few	JJ	few
hundred	CD	hundred
meters	NNS	meter
away	RB	away
and	CC	and
just	RB	just
yesterday	RB	yesterday
a	DT	a
tunnel	NN	tunnel
like	IN	like
this	DT	this
was	VBD	be
used	VVN	use
by	IN	by
a	DT	a
group	NN	group
of	IN	of
Palestinian	JJ	Palestinian
militants	NNS	militant
they	PP	they
managed	VVD	manage
to	TO	to
cross	VV	cross
the	DT	the
border	NN	border
below	IN	below
ground	NN	ground
they	PP	they
reached	VVD	reach
an	DT	an
Israeli	JJ	Israeli
kots	NNS	kots
and	CC	and
they	PP	they
fired	VVD	fire
anti	JJ	anti
-	NN	-
tank	NN	tank
missiles	NNS	missile
and	CC	and
killed	VVD	kill
five	CD	five
Israeli	JJ	Israeli
soldiers	NNS	soldier
now	RB	now
Israel	NP	Israel
says	VVZ	say
dismantling	VVG	dismantle
and	CC	and
neutralizing	VVG	neutralize
this	DT	this
tunnel	NN	tunnel
Network	NN	network
which	WDT	which
it	PP	it
calls	VVZ	call
a	DT	a
terror	NN	terror
tunnel	NN	tunnel
network	NN	network
is	VBZ	be
the	DT	the
key	JJ	key
objective	NN	objective
of	IN	of
the	DT	the
offensive	NN	offensive
in	IN	in
Gaza	NP	Gaza
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
Benyamin	NP	Benyamin
Netanyahu	NP	Netanyahu
says	VVZ	say
the	DT	the
operation	NN	operation
in	IN	in
Gaza	NP	Gaza
will	MD	will
not	RB	not
end	VV	end
until	IN	until
the	DT	the
tunnels	NNS	tunnel
have	VHP	have
been	VBN	be
put	VVN	put
out	RP	out
of	IN	of
action	NN	action
