<video_id>o-5xBS1HJl4</video_id>	JJ	<video_id>o-5xBS1HJl4</video_id>
<video_title>Surgeon	NN	<video_title>Surgeon
says	VVZ	say
Gaza's	NP	Gaza's
main	JJ	main
hospital	NN	hospital
has	VHZ	have
lost	VVN	lose
power	NN	power
and	CC	and
is	VBZ	be
under	IN	under
constant	JJ	constant
fire	NN	fire
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Surgeon	NN	<thumbnail_path>data/en_BBCNews\Surgeon
says	VVZ	say
Gaza's	NP	Gaza's
main	JJ	main
hospital	NN	hospital
has	VHZ	have
lost	VVN	lose
power	NN	power
and	CC	and
is	VBZ	be
under	IN	under
constant	JJ	constant
fire	NN	fire
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231111</publish_date>	JJ	<publish_date>20231111</publish_date>
<doc>	NN	<doc>
hello	NN	hello
to	TO	to
you	PP	you
a	DT	a
warm	JJ	warm
welcome	NN	welcome
to	TO	to
the	DT	the
program	NN	program
I'm	NP	I'm
Ben	NP	Ben
Thompson	NP	Thompson
now	RB	now
the	DT	the
Hamas	NNS	Hamas
run	VVP	run
Health	NP	Health
Ministry	NP	Ministry
says	VVZ	say
gaza's	NNS	gaza's
largest	JJS	large
medical	JJ	medical
facility	NN	facility
that's	NNS	that's
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
has	VHZ	have
been	VBN	be
forced	VVN	force
to	TO	to
suspend	VV	suspend
operations	NNS	operation
because	IN	because
it	PP	it
has	VHZ	have
run	VVN	run
out	RP	out
of	IN	of
fuel	NN	fuel
that	WDT	that
comes	VVZ	come
amid	IN	amid
reports	NNS	report
of	IN	of
intensified	JJ	intensified
fighting	VVG	fight
close	NN	close
to	TO	to
a	DT	a
number	NN	number
of	IN	of
hospitals	NNS	hospital
in	IN	in
the	DT	the
territory	NN	territory
overnight	RB	overnight
the	DT	the
BBC	NP	BBC
has	VHZ	have
heard	VVN	hear
from	IN	from
a	DT	a
doctor	NN	doctor
at	IN	at
the	DT	the
alifa	NN	alifa
who	WP	who
says	VVZ	say
that	IN/that	that
its	PP$	its
intensive	JJ	intensive
care	NN	care
units	NNS	unit
had	VHD	have
been	VBN	be
hit	VVN	hit
separately	RB	separately
though	IN	though
he	PP	he
says	VVZ	say
because	IN	because
of	IN	of
fuel	NN	fuel
shortages	NNS	shortage
two	CD	two
patients	NNS	patient
who	WP	who
are	VBP	be
on	IN	on
ventilators	NNS	ventilator
have	VHP	have
died	VVN	die
one	PP	one
of	IN	of
them	PP	them
