<video_id>l_tZ5gFKLSg</video_id>	JJ	<video_id>l_tZ5gFKLSg</video_id>
<video_title>Hamas-run	NN	<video_title>Hamas-run
health	NN	health
ministry	NN	ministry
says	VVZ	say
more	JJR	more
than	IN	than
25,000	CD	@card@
killed	VVN	kill
in	IN	in
Israel	NP	Israel
offensive	NN	offensive
on	IN	on
Gaza	NP	Gaza
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Hamas-run	NN	<thumbnail_path>data/en_BBCNews\Hamas-run
health	NN	health
ministry	NN	ministry
says	VVZ	say
more	JJR	more
than	IN	than
25,000	CD	@card@
killed	VVN	kill
in	IN	in
Israel	NP	Israel
offensive	NN	offensive
on	IN	on
Gaza	NP	Gaza
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240123</publish_date>	NN	<publish_date>20240123</publish_date>
<doc>	NN	<doc>
take	VV	take
you	PP	you
back	RB	back
to	TO	to
Gaza	NP	Gaza
now	RB	now
there's	RB	there's
been	VBN	be
Fierce	JJ	fierce
fighting	NN	fighting
around	IN	around
hanun	NN	hanun
the	DT	the
IDF	NP	IDF
saying	VVG	say
they	PP	they
have	VHP	have
encircled	VVN	encircle
the	DT	the
city	NN	city
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
but	CC	but
also	RB	also
we	PP	we
understand	VVP	understand
there	EX	there
is	VBZ	be
fighting	VVG	fight
around	RP	around
some	DT	some
of	IN	of
the	DT	the
hospitals	NNS	hospital
there	RB	there
that	WDT	that
are	VBP	be
there	RB	there
so	RB	so
let's	NNS	let's
take	VVP	take
you	PP	you
to	TO	to
Gaza	NP	Gaza
we	PP	we
can	MD	can
speak	VV	speak
to	TO	to
Leo	NP	Leo
caner	NN	caner
as	IN	as
the	DT	the
head	NN	head
of	IN	of
mission	NN	mission
for	IN	for
Palestine	NP	Palestine
with	IN	with
the	DT	the
msf	NN	msf
also	RB	also
known	VVN	know
as	IN	as
Doctors	NNS	doctor
Without	IN	without
Borders	NP	Borders
uh	UH	uh
it's	NNS	it's
very	RB	very
good	JJ	good
to	TO	to
see	VV	see
you	PP	you
Leo	NP	Leo
thank	VV	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
where	WRB	where
you	PP	you
are	VBP	be
firstly	RB	firstly
I	PP	I
just	RB	just
arrived	VVD	arrive
in	IN	in
car	NN	car
yesterday	NN	yesterday
and	CC	and
I	PP	I
was	VBD	be
in	IN	in
for	IN	for
the	DT	the
last	JJ	last
two	CD	two
weeks	NNS	week
were	VBD	be
you	PP	you
in	IN	in
hanun	JJ	hanun
yes	NN	yes
we	PP	we
were	VBD	be
in	IN	in
the	DT	the
west	NN	west
we	PP	we
are	VBP	be
living	VVG	live
in	IN	in
the	DT	the
west	JJ	west
side	NN	side
of	IN	of
hunis	NNS	hunis
and	CC	and
I	PP	I
went	VVD	go
to	TO	to
visit	VV	visit
the	DT	the
nas	NNS	nas
hospital	NN	hospital
and	CC	and
the	DT	the
European	JJ	European
hospital	NN	hospital
as	IN	as
well	RB	well
what	WP	what
was	VBD	be
the	DT	the
situation	NN	situation
in	IN	in
those	DT	those
hospitals	NNS	hospital
and	CC	and
Leo	NP	Leo
what	WP	what
was	VBD	be
happening	VVG	happen
around	IN	around
them	PP	them
was	VBD	be
there	RB	there
fighting	VVG	fight
around	RP	around
the	DT	the
hospitals	NNS	hospital
it's	NNS	it's
catastrophic	JJ	catastrophic
you	PP	you
know	VVP	know
I	PP	I
just	RB	just
went	VVD	go
there	RB	there
just	RB	just
a	DT	a
week	NN	week
ago	RB	ago
and	CC	and
it	PP	it
was	VBD	be
already	RB	already
fighting	VVG	fight
quite	RB	quite
close	JJ	close
to	TO	to
the	DT	the
hospital	NN	hospital
when	WRB	when
I	PP	I
was	VBD	be
there	RB	there
there	EX	there
was	VBD	be
a	DT	a
bomb	NN	bomb
who	WP	who
fell	VVD	fall
down	RP	down
just	RB	just
150	CD	@card@
M	NN	M
away	RB	away
from	IN	from
the	DT	the
hospital	NN	hospital
it	PP	it
killed	VVD	kill
two	CD	two
boys	NNS	boy
four	CD	four
years	NNS	year
old	JJ	old
and	CC	and
5	CD	@card@
years	NNS	year
old	JJ	old
plus	IN	plus
six	CD	six
six	CD	six
more	JJR	more
people	NNS	people
uh	UH	uh
and	CC	and
80	CD	@card@
wed	VVN	wed
so	RB	so
already	RB	already
when	WRB	when
I	PP	I
was	VBD	be
there	RB	there
a	DT	a
week	NN	week
ago	RB	ago
the	DT	the
fighting	NN	fighting
was	VBD	be
quite	RB	quite
close	JJ	close
since	IN	since
a	DT	a
few	JJ	few
days	NNS	day
it's	NNS	it's
becoming	VVG	become
increasingly	RB	increasingly
uh	UH	uh
uh	UH	uh
uh	UH	uh
close	VV	close
in	IN	in
the	DT	the
immediate	JJ	immediate
vicinity	NN	vicinity
I	PP	I
just	RB	just
talk	VVP	talk
with	IN	with
my	PP$	my
team	NN	team
this	DT	this
morning	NN	morning
they	PP	they
are	VBP	be
very	RB	very
scared	VVN	scare
about	IN	about
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
they	PP	they
don't	VVD	don't
know	VV	know
where	WRB	where
the	DT	the
troops	NNS	troop
are	VBP	be
they	PP	they
hear	VVP	hear
a	DT	a
lot	NN	lot
of	IN	of
shooting	VVG	shoot
and	CC	and
bombing	VVG	bomb
uh	UH	uh
they	PP	they
are	VBP	be
so	RB	so
scared	VVN	scare
to	TO	to
get	VV	get
out	RP	out
of	IN	of
the	DT	the
hospitals	NNS	hospital
because	IN	because
they	PP	they
are	VBP	be
scared	VVN	scare
of	IN	of
being	VBG	be
shot	VVN	shoot
at	IN	at
like	IN	like
it	PP	it
happened	VVD	happen
in	IN	in
shifa	NN	shifa
hospital	NN	hospital
in	IN	in
in	IN	in
the	DT	the
North	NP	North
like	IN	like
in	IN	in
Indonesian	JJ	Indonesian
Hospital	NN	hospital
in	IN	in
the	DT	the
north	NN	north
as	IN	as
well	UH	well
uh	UH	uh
they're	NN	they're
really	RB	really
terrorized	VVN	terrorize
by	IN	by
what's	NNS	what's
happening	VVG	happen
and	CC	and
we	PP	we
can	MD	can
see	VV	see
that	IN/that	that
currently	RB	currently
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
ring	NN	ring
is	VBZ	be
on	IN	on
purpose	NN	purpose
terrorizing	VVG	terrorize
the	DT	the
healthcare	NN	healthcare
worker	NN	worker
it	PP	it
is	VBZ	be
not	RB	not
acceptable	JJ	acceptable
they	PP	they
had	VHD	have
to	TO	to
bury	VV	bury
bodies	NNS	body
inside	IN	inside
the	DT	the
hospital	NN	hospital
because	IN	because
they	PP	they
were	VBD	be
too	RB	too
scared	VVN	scare
to	TO	to
go	VV	go
to	TO	to
the	DT	the
cemetery	NN	cemetery
that	WDT	that
is	VBZ	be
just	RB	just
100	CD	@card@
meters	NNS	meter
away	RB	away
from	IN	from
the	DT	the
hospital	NN	hospital
and	CC	and
what	WP	what
is	VBZ	be
happening	VVG	happen
in	IN	in
terms	NNS	term
of	IN	of
treating	VVG	treat
people	NNS	people
inside	IN	inside
the	DT	the
hospital	NN	hospital
what	WP	what
is	VBZ	be
needed	VVN	need
there	RB	there
how	WRB	how
overcrowded	VVN	overcrowd
is	VBZ	be
it	PP	it
what	WP	what
do	VVP	do
you	PP	you
have	VHP	have
in	IN	in
terms	NNS	term
of	IN	of
equipment	NN	equipment
do	VVP	do
you	PP	you
know	VVP	know
it	PP	it
was	VBD	be
already	RB	already
overcrowded	VVN	overcrowd
when	WRB	when
I	PP	I
when	WRB	when
I	PP	I
get	VVP	get
there	EX	there
um	VVZ	um
uh	UH	uh
people	NNS	people
everywhere	RB	everywhere
idps	VVZ	idps
everywhere	RB	everywhere
uh	UH	uh
uh	UH	uh
way	NN	way
